###,Menu Sprite,Pokémon,Type 1,Type 2,Score,Location
203,Girafarig,Girafarig,Normal,Psychic,70,Field
209,Snubbull,Snubbull,Normal,,50,Field
210,Granbull,Granbull,Normal,,70,Field
212,Scizor,Scizor,Bug,Steel,90,Field
233,Porygon2,Porygon2,Normal,,80,Field
234,Stantler,Stantler,Normal,,50,Field
235,Smeargle,Smeargle,Normal,,80,Field
238,Smoochum,Smoochum,Ice,Psychic,80,Field
241,Miltank,Miltank,Normal,,70,Field
242,Blissey,Blissey,Normal,,90,Field
255,Torchic,Torchic,Fire,,50,Field
256,Combusken,Combusken,Fire,Fighting,80,Field
257,Blaziken,Blaziken,Fire,Fighting,90,Field
261,Poochyena,Poochyena,Dark,,30,Field
262,Mightyena,Mightyena,Dark,,50,Field
263,Zigzagoon,Zigzagoon,Normal,,30,Field
264,Linoone,Linoone,Normal,,50,Field
276,Taillow,Taillow,Normal,Flying,30,Field
277,Swellow,Swellow,Normal,Flying,50,Field
280,Ralts,Ralts,Psychic,,50,Field
281,Kirlia,Kirlia,Psychic,,70,Field
282,Gardevoir,Gardevoir,Psychic,,80,Field
300,Skitty,Skitty,Normal,,50,Field
301,Delcatty,Delcatty,Normal,,70,Field
309,Electrike,Electrike,Electric,,50,Field
310,Manectric,Manectric,Electric,,70,Field
311,Plusle,Plusle,Electric,,90,Field
312,Minun,Minun,Electric,,90,Field
315,Roselia,Roselia,Grass,Poison,70,Field
325,Spoink,Spoink,Psychic,,50,Field
326,Grumpig,Grumpig,Psychic,,70,Field
327,Spinda,Spinda,Normal,,50,Field
333,Swablu,Swablu,Normal,Flying,50,Field
334,Altaria,Altaria,Dragon,Flying,80,Field
335,Zangoose,Zangoose,Normal,,70,Field
351,Castform,Castform,Normal,,80,Field
360,Wynaut,Wynaut,Psychic,,80,Field
380,Latias,Latias,Dragon,Psychic,90,Field
381,Latios,Latios,Dragon,Psychic,90,Field
384,Rayquaza,Rayquaza,Dragon,Flying,90,Field
10,Caterpie,Caterpie,Bug,,30,Forest
11,Metapod,Metapod,Bug,,50,Forest
12,Butterfree,Butterfree,Bug,Flying,70,Forest
13,Weedle,Weedle,Bug,Poison,30,Forest
14,Kakuna,Kakuna,Bug,Poison,50,Forest
15,Beedrill,Beedrill,Bug,Poison,70,Forest
23,Ekans,Ekans,Poison,,30,Forest
24,Arbok,Arbok,Poison,,50,Forest
25,Pikachu,Pikachu,Electric,,80,Forest
26,Raichu,Raichu,Electric,,90,Forest
43,Oddish,Oddish,Grass,Poison,30,Forest
44,Gloom,Gloom,Grass,Poison,50,Forest
45,Vileplume,Vileplume,Grass,Poison,70,Forest
46,Paras,Paras,Bug,Grass,30,Forest
47,Parasect,Parasect,Bug,Grass,50,Forest
48,Venonat,Venonat,Bug,Poison,30,Forest
49,Venomoth,Venomoth,Bug,Poison,50,Forest
69,Bellsprout,Bellsprout,Grass,Poison,30,Forest
70,Weepinbell,Weepinbell,Grass,Poison,50,Forest
71,Victreebel,Victreebel,Grass,Poison,70,Forest
92,Gastly,Gastly,Ghost,Poison,50,Forest
93,Haunter,Haunter,Ghost,Poison,80,Forest
94,Gengar,Gengar,Ghost,Poison,90,Forest
96,Drowzee,Drowzee,Psychic,,50,Forest
97,Hypno,Hypno,Psychic,,70,Forest
102,Exeggcute,Exeggcute,Grass,Psychic,50,Forest
103,Exeggutor,Exeggutor,Grass,Psychic,70,Forest
114,Tangela,Tangela,Grass,,50,Forest
127,Pinsir,Pinsir,Bug,,70,Forest
151,Mew,Mew,Psychic,,100,Forest
163,Hoothoot,Hoothoot,Normal,Flying,30,Forest
164,Noctowl,Noctowl,Normal,Flying,50,Forest
177,Natu,Natu,Psychic,Flying,50,Forest
178,Xatu,Xatu,Psychic,Flying,70,Forest
182,Bellossom,Bellossom,Grass,,80,Forest
190,Aipom,Aipom,Normal,,70,Forest
198,Murkrow,Murkrow,Dark,Flying,70,Forest
200,Misdreavus,Misdreavus,Ghost,,70,Forest
201,Unown,Unown,Psychic,,70,Forest
204,Pineco,Pineco,Bug,,50,Forest
205,Forretress,Forretress,Bug,Steel,70,Forest
206,Dunsparce,Dunsparce,Normal,,90,Forest
214,Heracross,Heracross,Bug,Fighting,80,Forest
216,Teddiursa,Teddiursa,Normal,,50,Forest
217,Ursaring,Ursaring,Normal,,70,Forest
251,Celebi,Celebi,Psychic,Grass,100,Forest
252,Treecko,Treecko,Grass,,50,Forest
253,Grovyle,Grovyle,Grass,,80,Forest
254,Sceptile,Sceptile,Grass,,90,Forest
265,Wurmple,Wurmple,Bug,,30,Forest
266,Silcoon,Silcoon,Bug,,50,Forest
267,Beautifly,Beautifly,Bug,Flying,70,Forest
268,Cascoon,Cascoon,Bug,,50,Forest
269,Dustox,Dustox,Bug,Poison,70,Forest
273,Seedot,Seedot,Grass,,30,Forest
274,Nuzleaf,Nuzleaf,Grass,Dark,50,Forest
275,Shiftry,Shiftry,Grass,Dark,80,Forest
285,Shroomish,Shroomish,Grass,,50,Forest
286,Breloom,Breloom,Grass,Fighting,70,Forest
287,Slakoth,Slakoth,Normal,,50,Forest
288,Vigoroth,Vigoroth,Normal,,70,Forest
289,Slaking,Slaking,Normal,,80,Forest
290,Nincada,Nincada,Bug,Ground,50,Forest
291,Ninjask,Ninjask,Bug,Flying,70,Forest
292,Shedinja,Shedinja,Bug,Ghost,80,Forest
316,Gulpin,Gulpin,Poison,,50,Forest
317,Swalot,Swalot,Poison,,70,Forest
336,Seviper,Seviper,Poison,,70,Forest
352,Kecleon,Kecleon,Normal,,70,Forest
353,Shuppet,Shuppet,Ghost,,50,Forest
354,Banette,Banette,Ghost,,70,Forest
355,Duskull,Duskull,Ghost,,50,Forest
356,Dusclops,Dusclops,Ghost,,70,Forest
357,Tropius,Tropius,Grass,Flying,70,Forest
27,Sandshrew,Sandshrew,Ground,,50,Mountain
28,Sandslash,Sandslash,Ground,,70,Mountain
35,Clefairy,Clefairy,Normal,,80,Mountain
36,Clefable,Clefable,Normal,,90,Mountain
41,Zubat,Zubat,Poison,Flying,30,Mountain
42,Golbat,Golbat,Poison,Flying,50,Mountain
50,Diglett,Diglett,Ground,,30,Mountain
51,Dugtrio,Dugtrio,Ground,,50,Mountain
56,Mankey,Mankey,Fighting,,50,Mountain
57,Primeape,Primeape,Fighting,,70,Mountain
66,Machop,Machop,Fighting,,50,Mountain
67,Machoke,Machoke,Fighting,,80,Mountain
68,Machamp,Machamp,Fighting,,90,Mountain
74,Geodude,Geodude,Rock,Ground,30,Mountain
75,Graveler,Graveler,Rock,Ground,50,Mountain
76,Golem,Golem,Rock,Ground,70,Mountain
81,Magnemite,Magnemite,Electric,Steel,50,Mountain
82,Magneton,Magneton,Electric,Steel,70,Mountain
95,Onix,Onix,Rock,Ground,80,Mountain
104,Cubone,Cubone,Ground,,50,Mountain
105,Marowak,Marowak,Ground,,70,Mountain
106,Hitmonlee,Hitmonlee,Fighting,,80,Mountain
107,Hitmonchan,Hitmonchan,Fighting,,80,Mountain
109,Koffing,Koffing,Poison,,50,Mountain
110,Weezing,Weezing,Poison,,70,Mountain
111,Rhyhorn,Rhyhorn,Ground,Rock,50,Mountain
112,Rhydon,Rhydon,Ground,Rock,70,Mountain
125,Electabuzz,Electabuzz,Electric,,70,Mountain
126,Magmar,Magmar,Fire,,70,Mountain
142,Aerodactyl,Aerodactyl,Rock,Flying,70,Mountain
144,Articuno,Articuno,Ice,Flying,90,Mountain
145,Zapdos,Zapdos,Electric,Flying,90,Mountain
146,Moltres,Moltres,Fire,Flying,90,Mountain
149,Dragonite,Dragonite,Dragon,Flying,90,Mountain
160,Feraligatr,Feraligatr,Water,,90,Mountain
169,Crobat,Crobat,Poison,Flying,90,Mountain
185,Sudowoodo,Sudowoodo,Rock,,70,Mountain
207,Gligar,Gligar,Ground,Flying,50,Mountain
208,Steelix,Steelix,Steel,Ground,90,Mountain
215,Sneasel,Sneasel,Dark,Ice,50,Mountain
218,Slugma,Slugma,Fire,,50,Mountain
219,Magcargo,Magcargo,Fire,Rock,70,Mountain
220,Swinub,Swinub,Ice,Ground,50,Mountain
221,Piloswine,Piloswine,Ice,Ground,70,Mountain
225,Delibird,Delibird,Ice,Flying,70,Mountain
227,Skarmory,Skarmory,Steel,Flying,70,Mountain
228,Houndour,Houndour,Dark,Fire,50,Mountain
229,Houndoom,Houndoom,Dark,Fire,70,Mountain
231,Phanpy,Phanpy,Ground,,50,Mountain
232,Donphan,Donphan,Ground,,70,Mountain
236,Tyrogue,Tyrogue,Fighting,,80,Mountain
237,Hitmontop,Hitmontop,Fighting,,80,Mountain
239,Elekid,Elekid,Electric,,80,Mountain
240,Magby,Magby,Fire,,80,Mountain
243,Raikou,Raikou,Electric,,90,Mountain
244,Entei,Entei,Fire,,90,Mountain
245,Suicune,Suicune,Water,,90,Mountain
246,Larvitar,Larvitar,Rock,Ground,70,Mountain
247,Pupitar,Pupitar,Rock,Ground,80,Mountain
248,Tyranitar,Tyranitar,Rock,Dark,90,Mountain
249,Lugia,Lugia,Psychic,Flying,90,Mountain
250,Ho-Oh,Ho-Oh,Fire,Flying,90,Mountain
293,Whismur,Whismur,Normal,,50,Mountain
294,Loudred,Loudred,Normal,,70,Mountain
295,Exploud,Exploud,Normal,,80,Mountain
296,Makuhita,Makuhita,Fighting,,50,Mountain
297,Hariyama,Hariyama,Fighting,,70,Mountain
299,Nosepass,Nosepass,Rock,,70,Mountain
302,Sableye,Sableye,Dark,Ghost,70,Mountain
303,Mawile,Mawile,Steel,,70,Mountain
304,Aron,Aron,Steel,Rock,50,Mountain
305,Lairon,Lairon,Steel,Rock,70,Mountain
306,Aggron,Aggron,Steel,Rock,80,Mountain
307,Meditite,Meditite,Fighting,Psychic,50,Mountain
308,Medicham,Medicham,Fighting,Psychic,70,Mountain
313,Volbeat,Volbeat,Bug,,70,Mountain
314,Illumise,Illumise,Bug,,70,Mountain
322,Numel,Numel,Fire,Ground,50,Mountain
323,Camerupt,Camerupt,Fire,Ground,70,Mountain
324,Torkoal,Torkoal,Fire,,70,Mountain
328,Trapinch,Trapinch,Ground,,50,Mountain
329,Vibrava,Vibrava,Ground,Dragon,70,Mountain
330,Flygon,Flygon,Ground,Dragon,80,Mountain
331,Cacnea,Cacnea,Grass,,50,Mountain
332,Cacturne,Cacturne,Grass,Dark,70,Mountain
337,Lunatone,Lunatone,Rock,Psychic,70,Mountain
338,Solrock,Solrock,Rock,Psychic,70,Mountain
343,Baltoy,Baltoy,Ground,Psychic,50,Mountain
344,Claydol,Claydol,Ground,Psychic,70,Mountain
358,Chimecho,Chimecho,Psychic,,80,Mountain
359,Absol,Absol,Dark,,80,Mountain
361,Snorunt,Snorunt,Ice,,50,Mountain
362,Glalie,Glalie,Ice,,70,Mountain
371,Bagon,Bagon,Dragon,,50,Mountain
372,Shelgon,Shelgon,Dragon,,70,Mountain
373,Salamence,Salamence,Dragon,Flying,80,Mountain
374,Beldum,Beldum,Steel,Psychic,70,Mountain
375,Metang,Metang,Steel,Psychic,80,Mountain
376,Metagross,Metagross,Steel,Psychic,90,Mountain
377,Regirock,Regirock,Rock,,90,Mountain
378,Regice,Regice,Ice,,90,Mountain
379,Registeel,Registeel,Steel,,90,Mountain
383,Groudon,Groudon,Ground,,90,Mountain
385,Jirachi,Jirachi,Steel,Psychic,100,Mountain
386,Deoxys,Deoxys,Psychic,,100,Mountain
7,Squirtle,Squirtle,Water,,50,Pond
8,Wartortle,Wartortle,Water,,80,Pond
9,Blastoise,Blastoise,Water,,90,Pond
54,Psyduck,Psyduck,Water,,50,Pond
55,Golduck,Golduck,Water,,70,Pond
60,Poliwag,Poliwag,Water,,50,Pond
61,Poliwhirl,Poliwhirl,Water,,80,Pond
62,Poliwrath,Poliwrath,Water,Fighting,90,Pond
79,Slowpoke,Slowpoke,Water,Psychic,50,Pond
80,Slowbro,Slowbro,Water,Psychic,70,Pond
118,Goldeen,Goldeen,Water,,50,Pond
119,Seaking,Seaking,Water,,70,Pond
129,Magikarp,Magikarp,Water,,30,Pond
130,Gyarados,Gyarados,Water,Flying,90,Pond
147,Dratini,Dratini,Dragon,,70,Pond
148,Dragonair,Dragonair,Dragon,,80,Pond
158,Totodile,Totodile,Water,,50,Pond
159,Croconaw,Croconaw,Water,,80,Pond
183,Marill,Marill,Water,,50,Pond
184,Azumarill,Azumarill,Water,,70,Pond
186,Politoed,Politoed,Water,,80,Pond
194,Wooper,Wooper,Water,Ground,50,Pond
195,Quagsire,Quagsire,Water,Ground,70,Pond
199,Slowking,Slowking,Water,Psychic,80,Pond
258,Mudkip,Mudkip,Water,,50,Pond
259,Marshtomp,Marshtomp,Water,Ground,80,Pond
260,Swampert,Swampert,Water,Ground,90,Pond
270,Lotad,Lotad,Water,Grass,30,Pond
271,Lombre,Lombre,Water,Grass,50,Pond
272,Ludicolo,Ludicolo,Water,Grass,80,Pond
283,Surskit,Surskit,Bug,Water,50,Pond
284,Masquerain,Masquerain,Bug,Flying,70,Pond
298,Azurill,Azurill,Normal,,80,Pond
339,Barboach,Barboach,Water,Ground,50,Pond
340,Whiscash,Whiscash,Water,Ground,70,Pond
341,Corphish,Corphish,Water,,50,Pond
342,Crawdaunt,Crawdaunt,Water,Dark,70,Pond
72,Tentacool,Tentacool,Water,Poison,30,Sea
73,Tentacruel,Tentacruel,Water,Poison,50,Sea
86,Seel,Seel,Water,,50,Sea
87,Dewgong,Dewgong,Water,Ice,70,Sea
90,Shellder,Shellder,Water,,50,Sea
91,Cloyster,Cloyster,Water,Ice,70,Sea
98,Krabby,Krabby,Water,,50,Sea
99,Kingler,Kingler,Water,,70,Sea
116,Horsea,Horsea,Water,,50,Sea
117,Seadra,Seadra,Water,,70,Sea
120,Staryu,Staryu,Water,,50,Sea
121,Starmie,Starmie,Water,Psychic,70,Sea
131,Lapras,Lapras,Water,Ice,90,Sea
138,Omanyte,Omanyte,Rock,Water,50,Sea
139,Omastar,Omastar,Rock,Water,70,Sea
140,Kabuto,Kabuto,Rock,Water,50,Sea
141,Kabutops,Kabutops,Rock,Water,70,Sea
170,Chinchou,Chinchou,Water,Electric,50,Sea
171,Lanturn,Lanturn,Water,Electric,70,Sea
211,Qwilfish,Qwilfish,Water,Poison,80,Sea
213,Shuckle,Shuckle,Bug,Rock,80,Sea
222,Corsola,Corsola,Water,Rock,70,Sea
223,Remoraid,Remoraid,Water,,50,Sea
224,Octillery,Octillery,Water,,70,Sea
226,Mantine,Mantine,Water,Flying,70,Sea
230,Kingdra,Kingdra,Water,Dragon,80,Sea
278,Wingull,Wingull,Water,Flying,30,Sea
279,Pelipper,Pelipper,Water,Flying,50,Sea
318,Carvanha,Carvanha,Water,Dark,50,Sea
319,Sharpedo,Sharpedo,Water,Dark,70,Sea
320,Wailmer,Wailmer,Water,,50,Sea
321,Wailord,Wailord,Water,,80,Sea
345,Lileep,Lileep,Rock,Grass,70,Sea
346,Cradily,Cradily,Rock,Grass,80,Sea
347,Anorith,Anorith,Rock,Bug,70,Sea
348,Armaldo,Armaldo,Rock,Bug,80,Sea
349,Feebas,Feebas,Water,,70,Sea
350,Milotic,Milotic,Water,,90,Sea
363,Spheal,Spheal,Ice,Water,50,Sea
364,Sealeo,Sealeo,Ice,Water,70,Sea
365,Walrein,Walrein,Ice,Water,80,Sea
366,Clamperl,Clamperl,Water,,50,Sea
367,Huntail,Huntail,Water,,80,Sea
368,Gorebyss,Gorebyss,Water,,80,Sea
369,Relicanth,Relicanth,Water,Rock,80,Sea
370,Luvdisc,Luvdisc,Water,,50,Sea
382,Kyogre,Kyogre,Water,,90,Sea
