Pokémon,Color
Pelipper,Orange
Persian,Black
Petilil,Blue
Phanpy,Green
Phantump,Green
Phione,Black
Pichu,Yellow
Pidgeot,Blue
Pidgeotto,Blue
Pidgey,Blue
Pidove,Blue
Pignite,Green
Pikachu,Yellow
Piloswine,Green
Pineco,Yellow
Pinsir,Yellow
Piplup,Blue
Plusle,Yellow
Politoed,Orange
Poliwag,Black
Poliwhirl,Black
Poliwrath,Green
Ponyta,Black
Poochyena,Orange
Porygon,Black
Porygon-Z,Blue
Porygon2,Yellow
Primeape,Green
Prinplup,Blue
Probopass,Green
Psyduck,Orange
Pumpkaboo,Yellow
Pupitar,Black
Purrloin,Black
Purugly,Black
Pyroar,Green
Quagsire,Orange
Quilava,Yellow
Quilladin,Green
Qwilfish,Yellow
Raichu,Yellow
Raikou,Blue
Ralts,Blue
Rampardos,Black
Rapidash,Black
Raticate,Black
Rattata,Black
Rayquaza,Blue
Regice,Green
Regigigas,Green
Regirock,Green
Registeel,Green
Relicanth,Green
Remoraid,Blue
Reshiram,Orange
Reuniclus,Orange
Rhydon,Green
Rhyhorn,Green
Rhyperior,Green
Riolu,Orange
Roggenrola,Green
Roselia,Orange
Roserade,Yellow
Rotom,Black
Rotom (Fan Rotom),Blue
Rotom (Frost Rotom),Green
Rotom (Heat Rotom),Green
Rotom (Mow Rotom),Yellow
Rotom (Wash Rotom),Orange
Rufflet,Blue
Sableye,Yellow
Salamence,Blue
Samurott,Blue
Sandile,Green
Sandshrew,Green
Sandslash,Green
Sawk,Black
Sawsbuck,Yellow
Scatterbug,Black
Sceptile,Blue
Scizor,Green
Scolipede,Green
Scrafty,Black
Scraggy,Black
Scyther,Blue
Seadra,Blue
Seaking,Black
Sealeo,Black
Seedot,Blue
Seel,Black
Seismitoad,Orange
Sentret,Black
Serperior,Orange
Servine,Orange
Seviper,Green
Sewaddle,Yellow
Sharpedo,Green
Shaymin (Land Forme),Yellow
Shaymin (Sky Forme),Blue
Shedinja,Yellow
Shelgon,Black
Shellder,Yellow
Shellos,Green
Shelmet,Blue
Shieldon,Green
Shiftry,Blue
Shinx,Orange
Shroomish,Black
Shuckle,Yellow
Shuppet,Orange
Sigilyph,Blue
Silcoon,Black
Simipour,Blue
Simisage,Yellow
Simisear,Green
Skarmory,Blue
Skiddo,Orange
Skiploom,Yellow
Skitty,Black
Skorupi,Yellow
Skrelp,Yellow
Skuntank,Green
Slaking,Green
Slakoth,Black
Sliggoo,Black
Slowbro,Orange
Slowking,Orange
Slowpoke,Orange
Slugma,Orange
Slurpuff,Orange
Smeargle,Black
Smoochum,Orange
Sneasel,Blue
Snivy,Orange
Snorlax,Green
Snorunt,Yellow
Snover,Yellow
Snubbull,Black
Solosis,Orange
Solrock,Black
Spearow,Blue
Spewpa,Black
Spheal,Black
Spinarak,Yellow
Spinda,Black
Spiritomb,Orange
Spoink,Black
Spritzee,Orange
Squirtle,Green
Stantler,Black
Staraptor,Blue
Staravia,Blue
Starly,Blue
Starmie,Blue
Staryu,Blue
Steelix,Green
Stoutland,Orange
Stunfisk,Green
Stunky,Green
Sudowoodo,Green
Suicune,Orange
Sunflora,Green
Sunkern,Black
Surskit,Yellow
Swablu,Blue
Swadloon,Yellow
Swalot,Yellow
Swampert,Green
Swanna,Blue
Swellow,Blue
Swinub,Green
Swirlix,Orange
Swoobat,Blue
Sylveon,Black
Taillow,Blue
Talonflame,Blue
Tangela,Yellow
Tangrowth,Yellow
Tauros,Black
Teddiursa,Black
Tentacool,Yellow
Tentacruel,Yellow
Tepig,Green
Terrakion,Green
Throh,Green
Thundurus (Incarnate Forme),Black
Thundurus (Therian Forme),Yellow
Timburr,Green
Tirtouga,Orange
Togekiss,Black
Togepi,Black
Togetic,Black
Torchic,Black
Torkoal,Green
Tornadus (Incarnate Forme),Black
Tornadus (Therian Forme),Blue
Torterra,Green
Totodile,Green
Toxicroak,Yellow
Tranquill,Blue
Trapinch,Green
Treecko,Blue
Trevenant,Green
Tropius,Yellow
Trubbish,Yellow
Turtwig,Green
Tympole,Orange
Tynamo,Black
Typhlosion,Yellow
Tyranitar,Green
Tyrantrum,Green
Tyrogue,Green
Tyrunt,Green
Umbreon,Orange
Unfezant,Blue
Unown,Black
Ursaring,Black
Uxie,Black
Vanillish,Black
Vanillite,Black
Vanilluxe,Black
Vaporeon,Orange
Venipede,Green
Venomoth,Blue
Venonat,Blue
Venusaur,Yellow
Vespiquen,Yellow
Vibrava,Blue
Victini,Yellow
Victreebel,Yellow
Vigoroth,Black
Vileplume,Yellow
Virizion,Yellow
Vivillon,Yellow
Volbeat,Yellow
Volcanion,Green
Volcarona,Green
Voltorb,Blue
Vullaby,Orange
Vulpix,Orange
Wailmer,Green
Wailord,Green
Walrein,Black
Wartortle,Green
Watchog,Black
Weavile,Blue
Weedle,Black
Weepinbell,Yellow
Weezing,Orange
Whimsicott,Yellow
Whirlipede,Green
Whiscash,Green
Whismur,Orange
Wigglytuff,Black
Wingull,Orange
Wobbuffet,Black
Woobat,Blue
Wooper,Orange
Wormadam (Plant Cloak),Yellow
Wormadam (Sandy Cloak),Green
Wormadam (Trash Cloak),Orange
Wurmple,Black
Wynaut,Black
Xatu,Blue
Xerneas,Orange
Yamask,Black
Yanma,Yellow
Yanmega,Yellow
Yveltal,Blue
Zangoose,Orange
Zapdos,Blue
Zebstrika,Black
Zekrom,Green
Zigzagoon,Black
Zoroark,Orange
Zorua,Orange
Zubat,Blue
Zweilous,Black
Zygarde,Green
