###,Menu Sprite,Pokémon,Egg Group 1,Egg Group 2,Cycles,Gen II,Gen III,Gen IV,Gen V-VI,Gen VII-VIII
61,,Poliwhirl,Water 1,—,20,5120,5376,5355,5140,5120
62,,Poliwrath,Water 1,—,20,5120,5376,5355,5140,5120
186,,Politoed,Water 1,—,20,5120,5376,5355,5140,5120
63,,Abra,Human-Like,—,20,5120,5376,5355,5140,5120
64,,Kadabra,Human-Like,—,20,5120,5376,5355,5140,5120
65,,Alakazam,Human-Like,—,20,5120,5376,5355,5140,5120
66,,Machop,Human-Like,—,20,5120,5376,5355,5140,5120
67,,Machoke,Human-Like,—,20,5120,5376,5355,5140,5120
68,,Machamp,Human-Like,—,20,5120,5376,5355,5140,5120
69,,Bellsprout,Grass,—,20,5120,5376,5355,5140,5120
70,,Weepinbell,Grass,—,20,5120,5376,5355,5140,5120
71,,Victreebel,Grass,—,20,5120,5376,5355,5140,5120
72,,Tentacool,Water 3,—,20,5120,5376,5355,5140,5120
73,,Tentacruel,Water 3,—,20,5120,5376,5355,5140,5120
74,,Geodude,Mineral,—,15,3840,4096,4080,3855,3840
75,,Graveler,Mineral,—,15,3840,4096,4080,3855,3840
76,,Golem,Mineral,—,15,3840,4096,4080,3855,3840
77,,Ponyta,Field,—,20,5120,5376,5355,5140,5120
78,,Rapidash,Field,—,20,5120,5376,5355,5140,5120
79,,Slowpoke,Monster,Water 1,20,5120,5376,5355,5140,5120
80,,Slowbro,Monster,Water 1,20,5120,5376,5355,5140,5120
199,,Slowking,Monster,Water 1,20,5120,5376,5355,5140,5120
81,,Magnemite,Mineral,—,20,5120,5376,5355,5140,5120
82,,Magneton,Mineral,—,20,5120,5376,5355,5140,5120
462,,Magnezone,Mineral,—,20,—,—,5355,5140,5120
83,,Farfetch'd,Flying,Field,20,5120,5376,5355,5140,5120
865,,Sirfetch'd,Flying,Field,20,—,—,—,—,5120
84,,Doduo,Flying,—,20,5120,5376,5355,5140,5120
85,,Dodrio,Flying,—,20,5120,5376,5355,5140,5120
86,,Seel,Water 1,Field,20,5120,5376,5355,5140,5120
87,,Dewgong,Water 1,Field,20,5120,5376,5355,5140,5120
88,,Grimer,Amorphous,—,20,5120,5376,5355,5140,5120
89,,Muk,Amorphous,—,20,5120,5376,5355,5140,5120
90,,Shellder,Water 3,—,20,5120,5376,5355,5140,5120
91,,Cloyster,Water 3,—,20,5120,5376,5355,5140,5120
92,,Gastly,Amorphous,—,20,5120,5376,5355,5140,5120
93,,Haunter,Amorphous,—,20,5120,5376,5355,5140,5120
94,,Gengar,Amorphous,—,20,5120,5376,5355,5140,5120
95,,Onix,Mineral,—,25,6400,6656,6630,6425,6400
208,,Steelix,Mineral,—,25,6400,6656,6630,6425,6400
96,,Drowzee,Human-Like,—,20,5120,5376,5355,5140,5120
97,,Hypno,Human-Like,—,20,5120,5376,5355,5140,5120
98,,Krabby,Water 3,—,20,5120,5376,5355,5140,5120
99,,Kingler,Water 3,—,20,5120,5376,5355,5140,5120
100,,Voltorb,Mineral,—,20,5120,5376,5355,5140,5120
101,,Electrode,Mineral,—,20,5120,5376,5355,5140,5120
102,,Exeggcute,Grass,—,20,5120,5376,5355,5140,5120
103,,Exeggutor,Grass,—,20,5120,5376,5355,5140,5120
104,,Cubone,Monster,—,20,5120,5376,5355,5140,5120
105,,Marowak,Monster,—,20,5120,5376,5355,5140,5120
236,,Tyrogue,No Eggs Discovered,—,25,6400,6656,6630,6425,6400
106,,Hitmonlee,Human-Like,—,25,6400,6656,6630,6425,6400
107,,Hitmonchan,Human-Like,—,25,6400,6656,6630,6425,6400
237,,Hitmontop,Human-Like,—,25,6400,6656,6630,6425,6400
108,,Lickitung,Monster,—,20,5120,5376,5355,5140,5120
463,,Lickilicky,Monster,—,20,—,—,5355,5140,5120
109,,Koffing,Amorphous,—,20,5120,5376,5355,5140,5120
110,,Weezing,Amorphous,—,20,5120,5376,5355,5140,5120
111,,Rhyhorn,Monster,Field,20,5120,5376,5355,5140,5120
112,,Rhydon,Monster,Field,20,5120,5376,5355,5140,5120
464,,Rhyperior,Monster,Field,20,—,—,5355,5140,5120
440,,Happiny,No Eggs Discovered,—,40,—,—,10455,10280,10240
113,,Chansey,Fairy,—,40,10240,10496,10455,10280,10240
242,,Blissey,Fairy,—,40,10240,10496,10455,10280,10240
114,,Tangela,Grass,—,20,5120,5376,5355,5140,5120
465,,Tangrowth,Grass,—,20,—,—,5355,5140,5120
115,,Kangaskhan,Monster,—,20,5120,5376,5355,5140,5120
116,,Horsea,Water 1,Dragon,20,5120,5376,5355,5140,5120
117,,Seadra,Water 1,Dragon,20,5120,5376,5355,5140,5120
230,,Kingdra,Water 1,Dragon,20,5120,5376,5355,5140,5120
118,,Goldeen,Water 2,—,20,5120,5376,5355,5140,5120
119,,Seaking,Water 2,—,20,5120,5376,5355,5140,5120
120,,Staryu,Water 3,—,20,5120,5376,5355,5140,5120
121,,Starmie,Water 3,—,20,5120,5376,5355,5140,5120
439,,Mime Jr.,No Eggs Discovered,—,25,—,—,6630,6425,6400
122,,Mr. Mime,Human-Like,—,25,6400,6656,6630,6425,6400
866,,Mr. Rime,Human-Like,—,25,—,—,—,—,6400
123,,Scyther,Bug,—,25,6400,6656,6630,6425,6400
212,,Scizor,Bug,—,25,6400,6656,6630,6425,6400
238,,Smoochum,No Eggs Discovered,—,25,6400,6656,6630,6425,6400
124,,Jynx,Human-Like,—,25,6400,6656,6630,6425,6400
239,,Elekid,No Eggs Discovered,—,25,6400,6656,6630,6425,6400
125,,Electabuzz,Human-Like,—,25,6400,6656,6630,6425,6400
466,,Electivire,Human-Like,—,25,—,—,6630,6425,6400
240,,Magby,No Eggs Discovered,—,25,6400,6656,6630,6425,6400
126,,Magmar,Human-Like,—,25,6400,6656,6630,6425,6400
467,,Magmortar,Human-Like,—,25,—,—,6630,6425,6400
127,,Pinsir,Bug,—,25,6400,6656,6630,6425,6400
128,,Tauros,Field,—,20,5120,5376,5355,5140,5120
129,,Magikarp,Water 2,Dragon,5,1280,1536,1530,1285,1280
130,,Gyarados,Water 2,Dragon,5,1280,1536,1530,1285,1280
131,,Lapras,Monster,Water 1,40,10240,10496,10455,10280,10240
132,,Ditto,Ditto,—,20,5120,5376,5355,5140,5120
133,,Eevee,Field,—,35,8960,9216,9180,8995,8960
134,,Vaporeon,Field,—,35,8960,9216,9180,8995,8960
135,,Jolteon,Field,—,35,8960,9216,9180,8995,8960
136,,Flareon,Field,—,35,8960,9216,9180,8995,8960
196,,Espeon,Field,—,35,8960,9216,9180,8995,8960
197,,Umbreon,Field,—,35,8960,9216,9180,8995,8960
470,,Leafeon,Field,—,35,—,—,9180,8995,8960
471,,Glaceon,Field,—,35,—,—,9180,8995,8960
700,,Sylveon,Field,—,35,—,—,—,8995,8960
137,,Porygon,Mineral,—,20,5120,5376,5355,5140,5120
233,,Porygon2,Mineral,—,20,5120,5376,5355,5140,5120
474,,Porygon-Z,Mineral,—,20,—,—,5355,5140,5120
138,,Omanyte,Water 1,Water 3,30,7680,7936,7905,7710,7680
139,,Omastar,Water 1,Water 3,30,7680,7936,7905,7710,7680
140,,Kabuto,Water 1,Water 3,30,7680,7936,7905,7710,7680
141,,Kabutops,Water 1,Water 3,30,7680,7936,7905,7710,7680
142,,Aerodactyl,Flying,—,35,8960,9216,9180,8995,8960
446,,Munchlax,No Eggs Discovered,—,40,—,—,10455,10280,10240
143,,Snorlax,Monster,—,40,10240,10496,10455,10280,10240
144,,Articuno,No Eggs Discovered,—,80,20480,20736,20655,20560,20480
145,,Zapdos,No Eggs Discovered,—,80,20480,20736,20655,20560,20480
146,,Moltres,No Eggs Discovered,—,80,20480,20736,20655,20560,20480
147,,Dratini,Water 1,Dragon,40,10240,10496,10455,10280,10240
148,,Dragonair,Water 1,Dragon,40,10240,10496,10455,10280,10240
149,,Dragonite,Water 1,Dragon,40,10240,10496,10455,10280,10240
150,,Mewtwo,No Eggs Discovered,—,120,30720,30976,30855,30840,30720
151,,Mew,No Eggs Discovered,—,120,30720,30976,30855,30840,30720
152,,Chikorita,Monster,Grass,20,5120,5376,5355,5140,5120
153,,Bayleef,Monster,Grass,20,5120,5376,5355,5140,5120
154,,Meganium,Monster,Grass,20,5120,5376,5355,5140,5120
155,,Cyndaquil,Field,—,20,5120,5376,5355,5140,5120
156,,Quilava,Field,—,20,5120,5376,5355,5140,5120
157,,Typhlosion,Field,—,20,5120,5376,5355,5140,5120
158,,Totodile,Monster,Water 1,20,5120,5376,5355,5140,5120
159,,Croconaw,Monster,Water 1,20,5120,5376,5355,5140,5120
160,,Feraligatr,Monster,Water 1,20,5120,5376,5355,5140,5120
161,,Sentret,Field,—,15,3840,4096,4080,3855,3840
162,,Furret,Field,—,15,3840,4096,4080,3855,3840
163,,Hoothoot,Flying,—,15,3840,4096,4080,3855,3840
164,,Noctowl,Flying,—,15,3840,4096,4080,3855,3840
165,,Ledyba,Bug,—,15,3840,4096,4080,3855,3840
166,,Ledian,Bug,—,15,3840,4096,4080,3855,3840
167,,Spinarak,Bug,—,15,3840,4096,4080,3855,3840
168,,Ariados,Bug,—,15,3840,4096,4080,3855,3840
170,,Chinchou,Water 2,—,20,5120,5376,5355,5140,5120
171,,Lanturn,Water 2,—,20,5120,5376,5355,5140,5120
175,,Togepi,No Eggs Discovered,—,10,2560,2816,2805,2570,2560
176,,Togetic,Flying,Fairy,10,2560,2816,2805,2570,2560
468,,Togekiss,Flying,Fairy,10,—,—,2805,2570,2560
177,,Natu,Flying,—,20,5120,5376,5355,5140,5120
178,,Xatu,Flying,—,20,5120,5376,5355,5140,5120
179,,Mareep,Monster,Field,20,5120,5376,5355,5140,5120
180,,Flaaffy,Monster,Field,20,5120,5376,5355,5140,5120
181,,Ampharos,Monster,Field,20,5120,5376,5355,5140,5120
298,,Azurill,No Eggs Discovered,—,10,—,2816,2805,2570,2560
183,,Marill,Water 1,Fairy,10,2560,2816,2805,2570,2560
184,,Azumarill,Water 1,Fairy,10,2560,2816,2805,2570,2560
438,,Bonsly,No Eggs Discovered,—,20,—,—,5355,5140,5120
185,,Sudowoodo,Mineral,—,20,5120,5376,5355,5140,5120
187,,Hoppip,Fairy,Grass,20,5120,5376,5355,5140,5120
188,,Skiploom,Fairy,Grass,20,5120,5376,5355,5140,5120
189,,Jumpluff,Fairy,Grass,20,5120,5376,5355,5140,5120
190,,Aipom,Field,—,20,5120,5376,5355,5140,5120
424,,Ambipom,Field,—,20,—,—,5355,5140,5120
191,,Sunkern,Grass,—,20,5120,5376,5355,5140,5120
192,,Sunflora,Grass,—,20,5120,5376,5355,5140,5120
193,,Yanma,Bug,—,20,5120,5376,5355,5140,5120
469,,Yanmega,Bug,—,20,—,—,5355,5140,5120
194,,Wooper,Water 1,Field,20,5120,5376,5355,5140,5120
195,,Quagsire,Water 1,Field,20,5120,5376,5355,5140,5120
198,,Murkrow,Flying,—,20,5120,5376,5355,5140,5120
430,,Honchkrow,Flying,—,20,—,—,5355,5140,5120
200,,Misdreavus,Amorphous,—,25,6400,6656,6630,6425,6400
429,,Mismagius,Amorphous,—,25,—,—,6630,6425,6400
201,,Unown,No Eggs Discovered,—,40,10240,10496,10455,10280,10240
360,,Wynaut,No Eggs Discovered,—,20,—,5376,5355,5140,5120
202,,Wobbuffet,Amorphous,—,20,5120,5376,5355,5140,5120
203,,Girafarig,Field,—,20,5120,5376,5355,5140,5120
204,,Pineco,Bug,—,20,5120,5376,5355,5140,5120
205,,Forretress,Bug,—,20,5120,5376,5355,5140,5120
206,,Dunsparce,Field,—,20,5120,5376,5355,5140,5120
207,,Gligar,Bug,—,20,5120,5376,5355,5140,5120
472,,Gliscor,Bug,—,20,—,—,5355,5140,5120
209,,Snubbull,Field,Fairy,20,5120,5376,5355,5140,5120
210,,Granbull,Field,Fairy,20,5120,5376,5355,5140,5120
211,,Qwilfish,Water 2,—,20,5120,5376,5355,5140,5120
213,,Shuckle,Bug,—,20,5120,5376,5355,5140,5120
214,,Heracross,Bug,—,25,6400,6656,6630,6425,6400
215,,Sneasel,Field,—,20,5120,5376,5355,5140,5120
461,,Weavile,Field,—,20,—,—,5355,5140,5120
216,,Teddiursa,Field,—,20,5120,5376,5355,5140,5120
217,,Ursaring,Field,—,20,5120,5376,5355,5140,5120
218,,Slugma,Amorphous,—,20,5120,5376,5355,5140,5120
219,,Magcargo,Amorphous,—,20,5120,5376,5355,5140,5120
220,,Swinub,Field,—,20,5120,5376,5355,5140,5120
221,,Piloswine,Field,—,20,5120,5376,5355,5140,5120
473,,Mamoswine,Field,—,20,—,—,5355,5140,5120
222,,Corsola,Water 1,Water 3,20,5120,5376,5355,5140,5120
864,,Cursola,Water 1,Water 3,20,—,—,—,—,5120
223,,Remoraid,Water 1,Water 2,20,5120,5376,5355,5140,5120
224,,Octillery,Water 1,Water 2,20,5120,5376,5355,5140,5120
225,,Delibird,Water 1,Field,20,5120,5376,5355,5140,5120
458,,Mantyke,No Eggs Discovered,—,25,—,—,6630,6425,6400
226,,Mantine,Water 1,—,25,6400,6656,6630,6425,6400
227,,Skarmory,Flying,—,25,6400,6656,6630,6425,6400
228,,Houndour,Field,—,20,5120,5376,5355,5140,5120
229,,Houndoom,Field,—,20,5120,5376,5355,5140,5120
231,,Phanpy,Field,—,20,5120,5376,5355,5140,5120
232,,Donphan,Field,—,20,5120,5376,5355,5140,5120
234,,Stantler,Field,—,20,5120,5376,5355,5140,5120
235,,Smeargle,Field,—,20,5120,5376,5355,5140,5120
241,,Miltank,Field,—,20,5120,5376,5355,5140,5120
243,,Raikou,No Eggs Discovered,—,80,20480,20736,20655,20560,20480
244,,Entei,No Eggs Discovered,—,80,20480,20736,20655,20560,20480
245,,Suicune,No Eggs Discovered,—,80,20480,20736,20655,20560,20480
246,,Larvitar,Monster,—,40,10240,10496,10455,10280,10240
247,,Pupitar,Monster,—,40,10240,10496,10455,10280,10240
248,,Tyranitar,Monster,—,40,10240,10496,10455,10280,10240
249,,Lugia,No Eggs Discovered,—,120,30720,30976,30855,30840,30720
250,,Ho-Oh,No Eggs Discovered,—,120,30720,30976,30855,30840,30720
251,,Celebi,No Eggs Discovered,—,120,30720,30976,30855,30840,30720
252,,Treecko,Monster,Dragon,20,—,5376,5355,5140,5120
253,,Grovyle,Monster,Dragon,20,—,5376,5355,5140,5120
254,,Sceptile,Monster,Dragon,20,—,5376,5355,5140,5120
255,,Torchic,Field,—,20,—,5376,5355,5140,5120
256,,Combusken,Field,—,20,—,5376,5355,5140,5120
257,,Blaziken,Field,—,20,—,5376,5355,5140,5120
258,,Mudkip,Monster,Water 1,20,—,5376,5355,5140,5120
259,,Marshtomp,Monster,Water 1,20,—,5376,5355,5140,5120
260,,Swampert,Monster,Water 1,20,—,5376,5355,5140,5120
261,,Poochyena,Field,—,15,—,4096,4080,3855,3840
262,,Mightyena,Field,—,15,—,4096,4080,3855,3840
263,,Zigzagoon,Field,—,15,—,4096,4080,3855,3840
862,,Obstagoon,Field,—,15,—,—,—,—,3840
264,,Linoone,Field,—,15,—,4096,4080,3855,3840
265,,Wurmple,Bug,—,15,—,4096,4080,3855,3840
266,,Silcoon,Bug,—,15,—,4096,4080,3855,3840
267,,Beautifly,Bug,—,15,—,4096,4080,3855,3840
268,,Cascoon,Bug,—,15,—,4096,4080,3855,3840
269,,Dustox,Bug,—,15,—,4096,4080,3855,3840
270,,Lotad,Water 1,Grass,15,—,4096,4080,3855,3840
271,,Lombre,Water 1,Grass,15,—,4096,4080,3855,3840
272,,Ludicolo,Water 1,Grass,15,—,4096,4080,3855,3840
273,,Seedot,Field,Grass,15,—,4096,4080,3855,3840
274,,Nuzleaf,Field,Grass,15,—,4096,4080,3855,3840
275,,Shiftry,Field,Grass,15,—,4096,4080,3855,3840
276,,Taillow,Flying,—,15,—,4096,4080,3855,3840
277,,Swellow,Flying,—,15,—,4096,4080,3855,3840
278,,Wingull,Water 1,Flying,20,—,5376,5355,5140,5120
279,,Pelipper,Water 1,Flying,20,—,5376,5355,5140,5120
280,,Ralts,Human-Like*,Amorphous,20,—,5376,5355,5140,5120
281,,Kirlia,Human-Like*,Amorphous,20,—,5376,5355,5140,5120
282,,Gardevoir,Human-Like*,Amorphous,20,—,5376,5355,5140,5120
475,,Gallade,Human-Like*,Amorphous,20,—,—,5355,5140,5120
283,,Surskit,Water 1,Bug,15,—,4096,4080,3855,3840
284,,Masquerain,Water 1,Bug,15,—,4096,4080,3855,3840
285,,Shroomish,Fairy,Grass,15,—,4096,4080,3855,3840
286,,Breloom,Fairy,Grass,15,—,4096,4080,3855,3840
287,,Slakoth,Field,—,15,—,4096,4080,3855,3840
288,,Vigoroth,Field,—,15,—,4096,4080,3855,3840
289,,Slaking,Field,—,15,—,4096,4080,3855,3840
290,,Nincada,Bug,—,15,—,4096,4080,3855,3840
291,,Ninjask,Bug,—,15,—,4096,4080,3855,3840
292,,Shedinja,Mineral,—,15,—,4096,4080,3855,3840
293,,Whismur,Monster,Field,20,—,5376,5355,5140,5120
294,,Loudred,Monster,Field,20,—,5376,5355,5140,5120
295,,Exploud,Monster,Field,20,—,5376,5355,5140,5120
296,,Makuhita,Human-Like,—,20,—,5376,5355,5140,5120
297,,Hariyama,Human-Like,—,20,—,5376,5355,5140,5120
299,,Nosepass,Mineral,—,20,—,5376,5355,5140,5120
476,,Probopass,Mineral,—,20,—,—,5355,5140,5120
300,,Skitty,Field,Fairy,15,—,4096,4080,3855,3840
301,,Delcatty,Field,Fairy,15,—,4096,4080,3855,3840
302,,Sableye,Human-Like,—,25,—,6656,6630,6425,6400
303,,Mawile,Field,Fairy,20,—,5376,5355,5140,5120
304,,Aron,Monster,—,35,—,9216,9180,8995,8960
305,,Lairon,Monster,—,35,—,9216,9180,8995,8960
306,,Aggron,Monster,—,35,—,9216,9180,8995,8960
307,,Meditite,Human-Like,—,20,—,5376,5355,5140,5120
308,,Medicham,Human-Like,—,20,—,5376,5355,5140,5120
309,,Electrike,Field,—,20,—,5376,5355,5140,5120
310,,Manectric,Field,—,20,—,5376,5355,5140,5120
311,,Plusle,Fairy,—,20,—,5376,5355,5140,5120
312,,Minun,Fairy,—,20,—,5376,5355,5140,5120
313,,Volbeat,Bug,Human-Like,15,—,4096,4080,3855,3840
314,,Illumise,Bug,Human-Like,15,—,4096,4080,3855,3840
406,,Budew,No Eggs Discovered,—,20,—,—,5355,5140,5120
315,,Roselia,Fairy,Grass,20,—,5376,5355,5140,5120
407,,Roserade,Fairy,Grass,20,—,—,5355,5140,5120
316,,Gulpin,Amorphous,—,20,—,5376,5355,5140,5120
317,,Swalot,Amorphous,—,20,—,5376,5355,5140,5120
318,,Carvanha,Water 2,—,20,—,5376,5355,5140,5120
319,,Sharpedo,Water 2,—,20,—,5376,5355,5140,5120
320,,Wailmer,Field,Water 2,40,—,10496,10455,10280,10240
321,,Wailord,Field,Water 2,40,—,10496,10455,10280,10240
322,,Numel,Field,—,20,—,5376,5355,5140,5120
323,,Camerupt,Field,—,20,—,5376,5355,5140,5120
324,,Torkoal,Field,—,20,—,5376,5355,5140,5120
325,,Spoink,Field,—,20,—,5376,5355,5140,5120
326,,Grumpig,Field,—,20,—,5376,5355,5140,5120
327,,Spinda,Field,Human-Like,15,—,4096,4080,3855,3840
328,,Trapinch,Bug,Dragon*,20,—,5376,5355,5140,5120
329,,Vibrava,Bug,Dragon*,20,—,5376,5355,5140,5120
330,,Flygon,Bug,Dragon*,20,—,5376,5355,5140,5120
331,,Cacnea,Grass,Human-Like,20,—,5376,5355,5140,5120
332,,Cacturne,Grass,Human-Like,20,—,5376,5355,5140,5120
333,,Swablu,Flying,Dragon,20,—,5376,5355,5140,5120
334,,Altaria,Flying,Dragon,20,—,5376,5355,5140,5120
335,,Zangoose,Field,—,20,—,5376,5355,5140,5120
336,,Seviper,Field,Dragon,20,—,5376,5355,5140,5120
337,,Lunatone,Mineral,—,25,—,6656,6630,6425,6400
338,,Solrock,Mineral,—,25,—,6656,6630,6425,6400
339,,Barboach,Water 2,—,20,—,5376,5355,5140,5120
340,,Whiscash,Water 2,—,20,—,5376,5355,5140,5120
341,,Corphish,Water 1,Water 3,15,—,4096,4080,3855,3840
342,,Crawdaunt,Water 1,Water 3,15,—,4096,4080,3855,3840
343,,Baltoy,Mineral,—,20,—,5376,5355,5140,5120
344,,Claydol,Mineral,—,20,—,5376,5355,5140,5120
345,,Lileep,Water 3,—,30,—,7936,7905,7710,7680
346,,Cradily,Water 3,—,30,—,7936,7905,7710,7680
347,,Anorith,Water 3,—,30,—,7936,7905,7710,7680
348,,Armaldo,Water 3,—,30,—,7936,7905,7710,7680
349,,Feebas,Water 1,Dragon,20,—,5376,5355,5140,5120
350,,Milotic,Water 1,Dragon,20,—,5376,5355,5140,5120
351,,Castform,Fairy,Amorphous,25,—,6656,6630,6425,6400
352,,Kecleon,Field,—,20,—,5376,5355,5140,5120
353,,Shuppet,Amorphous,—,25,—,6656,6630,6425,6400
354,,Banette,Amorphous,—,25,—,6656,6630,6425,6400
355,,Duskull,Amorphous,—,25,—,6656,6630,6425,6400
356,,Dusclops,Amorphous,—,25,—,6656,6630,6425,6400
477,,Dusknoir,Amorphous,—,25,—,—,6630,6425,6400
357,,Tropius,Monster,Grass,25,—,6656,6630,6425,6400
433,,Chingling,No Eggs Discovered,—,25,—,—,6630,6425,6400
358,,Chimecho,Amorphous,—,25,—,6656,6630,6425,6400
359,,Absol,Field,—,25,—,6656,6630,6425,6400
361,,Snorunt,Fairy,Mineral,20,—,5376,5355,5140,5120
362,,Glalie,Fairy,Mineral,20,—,5376,5355,5140,5120
478,,Froslass,Fairy,Mineral,20,—,—,5355,5140,5120
363,,Spheal,Water 1,Field,20,—,5376,5355,5140,5120
364,,Sealeo,Water 1,Field,20,—,5376,5355,5140,5120
365,,Walrein,Water 1,Field,20,—,5376,5355,5140,5120
366,,Clamperl,Water 1,—,20,—,5376,5355,5140,5120
367,,Huntail,Water 1,—,20,—,5376,5355,5140,5120
368,,Gorebyss,Water 1,—,20,—,5376,5355,5140,5120
369,,Relicanth,Water 1,Water 2,40,—,10496,10455,10280,10240
370,,Luvdisc,Water 2,—,20,—,5376,5355,5140,5120
371,,Bagon,Dragon,—,40,—,10496,10455,10280,10240
372,,Shelgon,Dragon,—,40,—,10496,10455,10280,10240
373,,Salamence,Dragon,—,40,—,10496,10455,10280,10240
374,,Beldum,Mineral,—,40,—,10496,10455,10280,10240
375,,Metang,Mineral,—,40,—,10496,10455,10280,10240
376,,Metagross,Mineral,—,40,—,10496,10455,10280,10240
377,,Regirock,No Eggs Discovered,—,80,—,20736,20655,20560,20480
378,,Regice,No Eggs Discovered,—,80,—,20736,20655,20560,20480
379,,Registeel,No Eggs Discovered,—,80,—,20736,20655,20560,20480
380,,Latias,No Eggs Discovered,—,120,—,30976,30855,30840,30720
381,,Latios,No Eggs Discovered,—,120,—,30976,30855,30840,30720
382,,Kyogre,No Eggs Discovered,—,120,—,30976,30855,30840,30720
383,,Groudon,No Eggs Discovered,—,120,—,30976,30855,30840,30720
384,,Rayquaza,No Eggs Discovered,—,120,—,30976,30855,30840,30720
385,,Jirachi,No Eggs Discovered,—,120,—,30976,30855,30840,30720
386,,Deoxys,No Eggs Discovered,—,120,—,30976,30855,30840,30720
387,,Turtwig,Monster,Grass,20,—,—,5355,5140,5120
