###,Menu Sprite,Pokémon,Exp.,HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Total EVs
193,,Yanma,147,0,0,0,0,0,1,1
194,,Wooper,52,1,0,0,0,0,0,1
195,,Quagsire,137,2,0,0,0,0,0,2
196,,Espeon,197,0,0,0,2,0,0,2
197,,Umbreon,197,0,0,0,0,2,0,2
198,,Murkrow,107,0,0,0,0,0,1,1
199,,Slowking,164,0,0,0,0,3,0,3
200,,Misdreavus,147,0,0,0,0,1,0,1
201,,Unown,61,0,1,0,1,0,0,2
202,,Wobbuffet,177,2,0,0,0,0,0,2
203,,Girafarig,149,0,0,0,2,0,0,2
204,,Pineco,60,0,0,1,0,0,0,1
205,,Forretress,118,0,0,2,0,0,0,2
206,,Dunsparce,125,1,0,0,0,0,0,1
207,,Gligar,108,0,0,1,0,0,0,1
208,,Steelix,196,0,0,2,0,0,0,2
209,,Snubbull,63,0,1,0,0,0,0,1
210,,Granbull,178,0,2,0,0,0,0,2
211,,Qwilfish,100,0,1,0,0,0,0,1
212,,Scizor,200,0,2,0,0,0,0,2
213,,Shuckle,80,0,0,1,0,1,0,2
214,,Heracross,200,0,2,0,0,0,0,2
215,,Sneasel,132,0,0,0,0,0,1,1
216,,Teddiursa,124,0,1,0,0,0,0,1
217,,Ursaring,189,0,2,0,0,0,0,2
218,,Slugma,78,0,0,0,1,0,0,1
219,,Magcargo,154,0,0,2,0,0,0,2
220,,Swinub,78,0,1,0,0,0,0,1
221,,Piloswine,160,1,1,0,0,0,0,2
222,,Corsola,113,0,0,1,0,1,0,2
223,,Remoraid,78,0,0,0,1,0,0,1
224,,Octillery,164,0,1,0,1,0,0,2
225,,Delibird,183,0,0,0,0,0,1,1
226,,Mantine,168,0,0,0,0,2,0,2
227,,Skarmory,168,0,0,2,0,0,0,2
228,,Houndour,114,0,0,0,1,0,0,1
229,,Houndoom,204,0,0,0,2,0,0,2
230,,Kingdra,207,0,1,0,1,1,0,3
231,,Phanpy,124,1,0,0,0,0,0,1
232,,Donphan,189,0,1,1,0,0,0,2
233,,Porygon2,180,0,0,0,2,0,0,2
234,,Stantler,165,0,1,0,0,0,0,1
235,,Smeargle,106,0,0,0,0,0,1,1
236,,Tyrogue,91,0,1,0,0,0,0,1
237,,Hitmontop,138,0,0,0,0,2,0,2
238,,Smoochum,87,0,0,0,1,0,0,1
239,,Elekid,106,0,0,0,0,0,1,1
240,,Magby,117,0,0,0,0,0,1,1
241,,Miltank,200,0,0,2,0,0,0,2
242,,Blissey,255,3,0,0,0,0,0,3
243,,Raikou,216,0,0,0,1,0,2,3
244,,Entei,217,1,2,0,0,0,0,3
245,,Suicune,215,0,0,1,0,2,0,3
246,,Larvitar,67,0,1,0,0,0,0,1
247,,Pupitar,144,0,2,0,0,0,0,2
248,,Tyranitar,218,0,3,0,0,0,0,3
249,,Lugia,220,0,0,0,0,3,0,3
250,,Ho-Oh,220,0,0,0,0,3,0,3
251,,Celebi,64,3,0,0,0,0,0,3
252,,Treecko,65,0,0,0,0,0,1,1
253,,Grovyle,141,0,0,0,0,0,2,2
254,,Sceptile,208,0,0,0,0,0,3,3
255,,Torchic,65,0,0,0,1,0,0,1
256,,Combusken,142,0,1,0,1,0,0,2
257,,Blaziken,209,0,3,0,0,0,0,3
258,,Mudkip,65,0,1,0,0,0,0,1
259,,Marshtomp,143,0,2,0,0,0,0,2
260,,Swampert,210,0,3,0,0,0,0,3
261,,Poochyena,55,0,1,0,0,0,0,1
262,,Mightyena,128,0,2,0,0,0,0,2
263,,Zigzagoon,60,0,0,0,0,0,1,1
264,,Linoone,128,0,0,0,0,0,2,2
265,,Wurmple,54,1,0,0,0,0,0,1
266,,Silcoon,72,0,0,2,0,0,0,2
267,,Beautifly,161,0,0,0,3,0,0,3
268,,Cascoon,72,0,0,2,0,0,0,2
269,,Dustox,161,0,0,0,0,3,0,3
270,,Lotad,74,0,0,0,0,1,0,1
271,,Lombre,141,0,0,0,0,2,0,2
272,,Ludicolo,181,0,0,0,0,3,0,3
273,,Seedot,74,0,0,1,0,0,0,1
274,,Nuzleaf,141,0,2,0,0,0,0,2
275,,Shiftry,181,0,3,0,0,0,0,3
276,,Taillow,59,0,0,0,0,0,1,1
277,,Swellow,162,0,0,0,0,0,2,2
278,,Wingull,64,0,0,0,0,0,1,1
279,,Pelipper,164,0,0,2,0,0,0,2
280,,Ralts,70,0,0,0,1,0,0,1
281,,Kirlia,140,0,0,0,2,0,0,2
282,,Gardevoir,208,0,0,0,3,0,0,3
283,,Surskit,63,0,0,0,0,0,1,1
284,,Masquerain,128,0,0,0,1,1,0,2
285,,Shroomish,65,1,0,0,0,0,0,1
286,,Breloom,165,0,2,0,0,0,0,2
287,,Slakoth,83,1,0,0,0,0,0,1
288,,Vigoroth,126,0,0,0,0,0,2,2
289,,Slaking,210,3,0,0,0,0,0,3
290,,Nincada,65,0,0,1,0,0,0,1
291,,Ninjask,155,0,0,0,0,0,2,2
292,,Shedinja,95,2,0,0,0,0,0,2
293,,Whismur,68,1,0,0,0,0,0,1
294,,Loudred,126,2,0,0,0,0,0,2
295,,Exploud,184,3,0,0,0,0,0,3
296,,Makuhita,87,1,0,0,0,0,0,1
297,,Hariyama,184,2,0,0,0,0,0,2
298,,Azurill,33,1,0,0,0,0,0,1
299,,Nosepass,108,0,0,1,0,0,0,1
300,,Skitty,65,0,0,0,0,0,1,1
301,,Delcatty,138,1,0,0,0,0,1,2
302,,Sableye,98,0,1,1,0,0,0,2
303,,Mawile,98,0,1,1,0,0,0,2
304,,Aron,96,0,0,1,0,0,0,1
305,,Lairon,152,0,0,2,0,0,0,2
306,,Aggron,205,0,0,3,0,0,0,3
307,,Meditite,91,0,0,0,0,0,1,1
308,,Medicham,153,0,0,0,0,0,2,2
309,,Electrike,104,0,0,0,0,0,1,1
310,,Manectric,168,0,0,0,0,0,2,2
311,,Plusle,120,0,0,0,0,0,1,1
312,,Minun,120,0,0,0,0,0,1,1
313,,Volbeat,146,0,0,0,0,0,1,1
314,,Illumise,146,0,0,0,0,0,1,1
315,,Roselia,152,0,0,0,2,0,0,2
316,,Gulpin,75,1,0,0,0,0,0,1
317,,Swalot,168,2,0,0,0,0,0,2
318,,Carvanha,88,0,1,0,0,0,0,1
319,,Sharpedo,175,0,2,0,0,0,0,2
320,,Wailmer,137,1,0,0,0,0,0,1
321,,Wailord,206,2,0,0,0,0,0,2
322,,Numel,88,0,0,0,1,0,0,1
323,,Camerupt,175,0,1,0,1,0,0,2
324,,Torkoal,161,0,0,2,0,0,0,2
325,,Spoink,89,0,0,0,0,1,0,1
326,,Grumpig,164,0,0,0,0,2,0,2
327,,Spinda,85,0,0,0,1,0,0,1
328,,Trapinch,73,0,1,0,0,0,0,1
329,,Vibrava,126,0,1,0,0,0,1,2
330,,Flygon,197,0,1,0,0,0,2,3
331,,Cacnea,97,0,0,0,1,0,0,1
332,,Cacturne,177,0,1,0,1,0,0,2
333,,Swablu,74,0,0,0,0,1,0,1
334,,Altaria,188,0,0,0,0,2,0,2
335,,Zangoose,165,0,2,0,0,0,0,2
336,,Seviper,165,0,1,0,1,0,0,2
337,,Lunatone,150,0,0,0,2,0,0,2
338,,Solrock,150,0,2,0,0,0,0,2
339,,Barboach,92,1,0,0,0,0,0,1
340,,Whiscash,158,2,0,0,0,0,0,2
341,,Corphish,111,0,1,0,0,0,0,1
342,,Crawdaunt,161,0,2,0,0,0,0,2
343,,Baltoy,58,0,0,0,0,1,0,1
344,,Claydol,189,0,0,0,0,2,0,2
345,,Lileep,99,0,0,0,0,1,0,1
346,,Cradily,199,0,0,0,0,2,0,2
347,,Anorith,99,0,1,0,0,0,0,1
348,,Armaldo,199,0,2,0,0,0,0,2
349,,Feebas,61,0,0,0,0,0,1,1
350,,Milotic,213,0,0,0,0,2,0,2
351,,Castform,145,1,0,0,0,0,0,1
352,,Kecleon,132,0,0,0,0,1,0,1
353,,Shuppet,97,0,1,0,0,0,0,1
354,,Banette,179,0,2,0,0,0,0,2
355,,Duskull,97,0,0,0,0,1,0,1
356,,Dusclops,179,0,0,1,0,1,0,2
357,,Tropius,169,2,0,0,0,0,0,2
358,,Chimecho,147,0,0,0,1,1,0,2
359,,Absol,174,0,2,0,0,0,0,2
360,,Wynaut,44,1,0,0,0,0,0,1
361,,Snorunt,74,1,0,0,0,0,0,1
362,,Glalie,187,2,0,0,0,0,0,2
363,,Spheal,75,1,0,0,0,0,0,1
364,,Sealeo,128,2,0,0,0,0,0,2
365,,Walrein,192,3,0,0,0,0,0,3
366,,Clamperl,142,0,0,1,0,0,0,1
367,,Huntail,178,0,1,1,0,0,0,2
368,,Gorebyss,178,0,0,0,2,0,0,2
369,,Relicanth,198,1,0,1,0,0,0,2
370,,Luvdisc,110,0,0,0,0,0,1,1
371,,Bagon,89,0,1,0,0,0,0,1
372,,Shelgon,144,0,0,2,0,0,0,2
373,,Salamence,218,0,3,0,0,0,0,3
374,,Beldum,103,0,0,1,0,0,0,1
375,,Metang,153,0,0,2,0,0,0,2
376,,Metagross,210,0,0,3,0,0,0,3
377,,Regirock,217,0,0,3,0,0,0,3
378,,Regice,216,0,0,0,0,3,0,3
379,,Registeel,215,0,0,2,0,1,0,3
380,,Latias,211,0,0,0,0,3,0,3
381,,Latios,211,0,0,0,3,0,0,3
382,,Kyogre,218,0,0,0,3,0,0,3
383,,Groudon,218,0,3,0,0,0,0,3
384,,Rayquaza,220,0,2,0,1,0,0,3
385,,Jirachi,215,3,0,0,0,0,0,3
386,,Deoxys (Normal Forme),215,0,1,0,1,0,1,3
386,,Deoxys (Attack Forme),215,0,2,0,1,0,0,3
386,,Deoxys (Defense Forme),215,0,0,2,0,1,0,3
386,,Deoxys (Speed Forme),215,0,0,0,0,0,3,3
387,,Turtwig,64,0,1,0,0,0,0,1
388,,Grotle,141,0,1,1,0,0,0,2
389,,Torterra,208,0,2,1,0,0,0,3
390,,Chimchar,65,0,0,0,0,0,1,1
391,,Monferno,142,0,0,0,1,0,1,2
392,,Infernape,209,0,1,0,1,0,1,3
393,,Piplup,66,0,0,0,1,0,0,1
394,,Prinplup,143,0,0,0,2,0,0,2
395,,Empoleon,210,0,0,0,3,0,0,3
396,,Starly,56,0,0,0,0,0,1,1
397,,Staravia,113,0,0,0,0,0,2,2
398,,Staraptor,172,0,3,0,0,0,0,3
399,,Bidoof,58,1,0,0,0,0,0,1
400,,Bibarel,116,0,2,0,0,0,0,2
401,,Kricketot,54,0,0,1,0,0,0,1
402,,Kricketune,159,0,2,0,0,0,0,2
403,,Shinx,60,0,1,0,0,0,0,1
404,,Luxio,117,0,2,0,0,0,0,2
405,,Luxray,194,0,3,0,0,0,0,3
406,,Budew,68,0,0,0,1,0,0,1
407,,Roserade,204,0,0,0,3,0,0,3
408,,Cranidos,99,0,1,0,0,0,0,1
409,,Rampardos,199,0,2,0,0,0,0,2
410,,Shieldon,99,0,0,1,0,0,0,1
411,,Bastiodon,199,0,0,2,0,0,0,2
412,,Burmy,61,0,0,0,0,1,0,1
413,,Wormadam (Plant Cloak),159,0,0,0,0,2,0,2
413,,Wormadam (Sandy Cloak),159,0,0,2,0,0,0,2
413,,Wormadam (Trash Cloak),159,0,0,1,0,1,0,2
414,,Mothim,159,0,1,0,1,0,0,2
415,,Combee,63,0,0,0,0,0,1,1
416,,Vespiquen,188,0,0,1,0,1,0,2
417,,Pachirisu,120,0,0,0,0,0,1,1
418,,Buizel,75,0,0,0,0,0,1,1
419,,Floatzel,178,0,0,0,0,0,2,2
420,,Cherubi,68,0,0,0,1,0,0,1
421,,Cherrim,133,0,0,0,2,0,0,2
422,,Shellos,73,1,0,0,0,0,0,1
423,,Gastrodon,176,2,0,0,0,0,0,2
424,,Ambipom,186,0,0,0,0,0,2,2
425,,Drifloon,127,1,0,0,0,0,0,1
426,,Drifblim,204,2,0,0,0,0,0,2
427,,Buneary,84,0,0,0,0,0,1,1
428,,Lopunny,178,0,0,0,0,0,2,2
429,,Mismagius,187,0,0,0,1,1,0,2
430,,Honchkrow,187,0,2,0,0,0,0,2
431,,Glameow,71,0,0,0,0,0,1,1
432,,Purugly,183,0,0,0,0,0,2,2
433,,Chingling,74,0,0,0,1,0,0,1
434,,Stunky,79,0,0,0,0,0,1,1
435,,Skuntank,209,2,0,0,0,0,0,2
436,,Bronzor,72,0,0,1,0,0,0,1
437,,Bronzong,188,0,0,1,0,1,0,2
438,,Bonsly,68,0,0,1,0,0,0,1
439,,Mime Jr.,78,0,0,0,0,1,0,1
440,,Happiny,255,1,0,0,0,0,0,1
441,,Chatot,107,0,1,0,0,0,0,1
442,,Spiritomb,168,0,0,1,0,1,0,2
443,,Gible,67,0,1,0,0,0,0,1
444,,Gabite,144,0,2,0,0,0,0,2
445,,Garchomp,218,0,3,0,0,0,0,3
446,,Munchlax,94,1,0,0,0,0,0,1
447,,Riolu,72,0,1,0,0,0,0,1
448,,Lucario,204,0,1,0,1,0,0,2
449,,Hippopotas,95,0,0,1,0,0,0,1
450,,Hippowdon,198,0,0,2,0,0,0,2
451,,Skorupi,114,0,0,1,0,0,0,1
452,,Drapion,204,0,0,2,0,0,0,2
453,,Croagunk,83,0,1,0,0,0,0,1
454,,Toxicroak,181,0,2,0,0,0,0,2
455,,Carnivine,164,0,2,0,0,0,0,2
456,,Finneon,90,0,0,0,0,0,1,1
457,,Lumineon,156,0,0,0,0,0,2,2
458,,Mantyke,108,0,0,0,0,1,0,1
459,,Snover,131,0,1,0,0,0,0,1
460,,Abomasnow,214,0,1,0,1,0,0,2
461,,Weavile,199,0,1,0,0,0,1,2
462,,Magnezone,211,0,0,0,3,0,0,3
463,,Lickilicky,193,3,0,0,0,0,0,3
464,,Rhyperior,217,0,3,0,0,0,0,3
465,,Tangrowth,211,0,0,2,0,0,0,2
466,,Electivire,199,0,3,0,0,0,0,3
467,,Magmortar,199,0,0,0,3,0,0,3
468,,Togekiss,220,0,0,0,2,1,0,3
469,,Yanmega,198,0,2,0,0,0,0,2
470,,Leafeon,196,0,0,2,0,0,0,2
471,,Glaceon,196,0,0,0,2,0,0,2
472,,Gliscor,192,0,0,2,0,0,0,2
473,,Mamoswine,207,0,3,0,0,0,0,3
474,,Porygon-Z,185,0,0,0,3,0,0,3
475,,Gallade,208,0,3,0,0,0,0,3
476,,Probopass,198,0,0,1,0,2,0,3
477,,Dusknoir,210,0,0,1,0,2,0,3
478,,Froslass,187,0,0,0,0,0,2,2
479,,Rotom,132,0,0,0,1,0,1,2
480,,Uxie,210,0,0,2,0,1,0,3
481,,Mesprit,210,0,1,0,1,1,0,3
482,,Azelf,210,0,2,0,1,0,0,3
483,,Dialga,220,0,0,0,3,0,0,3
484,,Palkia,220,0,0,0,3,0,0,3
485,,Heatran,215,0,0,0,3,0,0,3
486,,Regigigas,220,0,3,0,0,0,0,3
487,,Giratina,220,3,0,0,0,0,0,3
488,,Cresselia,210,0,0,0,0,3,0,3
489,,Phione,165,1,0,0,0,0,0,1
490,,Manaphy,215,3,0,0,0,0,0,3
491,,Darkrai,210,0,0,0,2,0,1,3
492,,Shaymin,64,3,0,0,0,0,0,3
493,,Arceus,255,3,0,0,0,0,0,3
