###,Menu Sprite,Pokémon,HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Total,Average,Strengh Summary
80,,Slowbro (Mega Slowbro),95,75,180,130,80,30,590,98.33,
83,,Farfetch'd,52,90,55,58,62,60,377,62.83,
85,,Dodrio,60,110,70,60,60,110,470,78.33,
87,,Dewgong,90,70,80,70,95,70,475,79.17,
89,,Muk,105,105,75,65,100,50,500,83.33,
89,,Muk (Alolan Muk),105,105,75,65,100,50,500,83.33,
91,,Cloyster,50,95,180,85,45,70,525,87.5,
94,,Gengar,60,65,60,130,75,110,500,83.33,
94,,Gengar (Mega Gengar),60,65,80,170,95,130,600,100,
97,,Hypno,85,73,70,73,115,67,483,80.5,
99,,Kingler,55,130,115,50,50,75,475,79.17,
101,,Electrode,60,50,70,80,80,150,490,81.67,
101,,Electrode (Hisuian Electrode),60,50,70,80,80,150,490,81.67,
103,,Exeggutor,95,95,85,125,75,55,530,88.33,
103,,Exeggutor (Alolan Exeggutor),95,105,85,125,75,45,530,88.33,
105,,Marowak,60,80,110,50,80,45,425,70.83,
105,,Marowak (Alolan Marowak),60,80,110,50,80,45,425,70.83,
106,,Hitmonlee,50,120,53,35,110,87,455,75.83,
107,,Hitmonchan,50,105,79,35,110,76,455,75.83,
110,,Weezing,65,90,120,85,70,60,490,81.67,
110,,Weezing (Galarian Weezing),65,90,120,85,70,60,490,81.67,
115,,Kangaskhan,105,95,80,40,80,90,490,81.67,
115,,Kangaskhan (Mega Kangaskhan),105,125,100,60,100,100,590,98.33,
119,,Seaking,80,92,65,65,80,68,450,75,
121,,Starmie,60,75,85,100,85,115,520,86.67,
122,,Mr. Mime,40,45,65,100,120,90,460,76.67,
124,,Jynx,65,50,35,115,95,95,455,75.83,
127,,Pinsir,65,125,100,55,70,85,500,83.33,
127,,Pinsir (Mega Pinsir),65,155,120,65,90,105,600,100,
128,,Tauros,75,100,95,40,70,110,490,81.67,
130,,Gyarados,95,125,79,60,100,81,540,90,
130,,Gyarados (Mega Gyarados),95,155,109,70,130,81,640,106.67,
131,,Lapras,130,85,80,85,95,60,535,89.17,
132,,Ditto,48,48,48,48,48,48,288,48,
134,,Vaporeon,130,65,60,110,95,65,525,87.5,
135,,Jolteon,65,65,60,110,95,130,525,87.5,
136,,Flareon,65,130,60,95,110,65,525,87.5,
139,,Omastar,70,60,125,115,70,55,495,82.5,
141,,Kabutops,60,115,105,65,70,80,495,82.5,
142,,Aerodactyl,80,105,65,60,75,130,515,85.83,
142,,Aerodactyl (Mega Aerodactyl),80,135,85,70,95,150,615,102.5,
143,,Snorlax,160,110,65,65,110,30,540,90,
144,,Articuno,90,85,100,95,125,85,580,96.67,
144,,Articuno (Galarian Articuno),90,85,85,125,100,95,580,96.67,
145,,Zapdos,90,90,85,125,90,100,580,96.67,
145,,Zapdos (Galarian Zapdos),90,125,90,85,90,100,580,96.67,
146,,Moltres,90,100,90,125,85,90,580,96.67,
146,,Moltres (Galarian Moltres),90,85,90,100,125,90,580,96.67,
149,,Dragonite,91,134,95,100,100,80,600,100,
150,,Mewtwo,106,110,90,154,90,130,680,113.33,
150,,Mewtwo (Mega Mewtwo X),106,190,100,154,100,130,780,130,
150,,Mewtwo (Mega Mewtwo Y),106,150,70,194,120,140,780,130,
151,,Mew,100,100,100,100,100,100,600,100,
154,,Meganium,80,82,100,83,100,80,525,87.5,
157,,Typhlosion,78,84,78,109,85,100,534,89,
157,,Typhlosion (Hisuian Typhlosion),73,84,78,119,85,95,534,89,
160,,Feraligatr,85,105,100,79,83,78,530,88.33,
162,,Furret,85,76,64,45,55,90,415,69.17,
164,,Noctowl,100,50,50,86,96,70,452,75.33,
166,,Ledian,55,35,50,55,110,85,390,65,
168,,Ariados,70,90,70,60,70,40,400,66.67,
169,,Crobat,85,90,80,70,80,130,535,89.17,
171,,Lanturn,125,58,58,76,76,67,460,76.67,
178,,Xatu,65,75,70,95,70,95,470,78.33,
181,,Ampharos,90,75,85,115,90,55,510,85,
181,,Ampharos (Mega Ampharos),90,95,105,165,110,45,610,101.67,
182,,Bellossom,75,80,95,90,100,50,490,81.67,
184,,Azumarill,100,50,80,60,80,50,420,70,
185,,Sudowoodo,70,100,115,30,65,30,410,68.33,
186,,Politoed,90,75,75,90,100,70,500,83.33,
189,,Jumpluff,75,55,70,55,95,110,460,76.67,
192,,Sunflora,75,75,55,105,85,30,425,70.83,
195,,Quagsire,95,85,85,65,65,35,430,71.67,
196,,Espeon,65,65,60,130,95,110,525,87.5,
197,,Umbreon,95,65,110,60,130,65,525,87.5,
199,,Slowking,95,75,80,100,110,30,490,81.67,
199,,Slowking (Galarian Slowking),95,65,80,110,110,30,490,81.67,
201,,Unown,48,72,48,72,48,48,336,56,
202,,Wobbuffet,190,33,58,33,58,33,405,67.5,
203,,Girafarig,70,80,65,90,65,85,455,75.83,
205,,Forretress,75,90,140,60,60,40,465,77.5,
206,,Dunsparce,100,70,70,65,65,45,415,69.17,
208,,Steelix,75,85,200,55,65,30,510,85,
208,,Steelix (Mega Steelix),75,125,230,55,95,30,610,101.67,
210,,Granbull,90,120,75,60,60,45,450,75,
211,,Qwilfish,65,95,85,55,55,85,440,73.33,
212,,Scizor,70,130,100,55,80,65,500,83.33,
212,,Scizor (Mega Scizor),70,150,140,65,100,75,600,100,
213,,Shuckle,20,10,230,10,230,5,505,84.17,
214,,Heracross,80,125,75,40,95,85,500,83.33,
214,,Heracross (Mega Heracross),80,185,115,40,105,75,600,100,
219,,Magcargo,60,50,120,90,80,30,430,71.67,
222,,Corsola,65,55,95,65,95,35,410,68.33,
224,,Octillery,75,105,75,105,75,45,480,80,
225,,Delibird,45,55,45,65,45,75,330,55,
226,,Mantine,85,40,70,80,140,70,485,80.83,
227,,Skarmory,65,80,140,40,70,70,465,77.5,
229,,Houndoom,75,90,50,110,80,95,500,83.33,
229,,Houndoom (Mega Houndoom),75,90,90,140,90,115,600,100,
230,,Kingdra,75,95,95,95,95,85,540,90,
232,,Donphan,90,120,120,60,60,50,500,83.33,
235,,Smeargle,55,20,35,20,45,75,250,41.67,
237,,Hitmontop,50,95,95,35,110,70,455,75.83,
241,,Miltank,95,80,105,40,70,100,490,81.67,
242,,Blissey,255,10,10,75,135,55,540,90,
243,,Raikou,90,85,75,115,100,115,580,96.67,
244,,Entei,115,115,85,90,75,100,580,96.67,
245,,Suicune,100,75,115,90,115,85,580,96.67,
248,,Tyranitar,100,134,110,95,100,61,600,100,
248,,Tyranitar (Mega Tyranitar),100,164,150,95,120,71,700,116.67,
249,,Lugia,106,90,130,90,154,110,680,113.33,
250,,Ho-Oh,106,130,90,110,154,90,680,113.33,
251,,Celebi,100,100,100,100,100,100,600,100,
254,,Sceptile,70,85,65,105,85,120,530,88.33,
254,,Sceptile (Mega Sceptile),70,110,75,145,85,145,630,105,
257,,Blaziken,80,120,70,110,70,80,530,88.33,
257,,Blaziken (Mega Blaziken),80,160,80,130,80,100,630,105,
260,,Swampert,100,110,90,85,90,60,535,89.17,
260,,Swampert (Mega Swampert),100,150,110,95,110,70,635,105.83,
262,,Mightyena,70,90,70,60,60,70,420,70,
264,,Linoone,78,70,61,50,61,100,420,70,
267,,Beautifly,60,70,50,100,50,65,395,65.83,
269,,Dustox,60,50,70,50,90,65,385,64.17,
272,,Ludicolo,80,70,70,90,100,70,480,80,
275,,Shiftry,90,100,60,90,60,80,480,80,
277,,Swellow,60,85,60,75,50,125,455,75.83,
279,,Pelipper,60,50,100,95,70,65,440,73.33,
282,,Gardevoir,68,65,65,125,115,80,518,86.33,
282,,Gardevoir (Mega Gardevoir),68,85,65,165,135,100,618,103,
284,,Masquerain,70,60,62,100,82,80,454,75.67,
286,,Breloom,60,130,80,60,60,70,460,76.67,
289,,Slaking,150,160,100,95,65,100,670,111.67,
291,,Ninjask,61,90,45,50,50,160,456,76,
292,,Shedinja,1,90,45,30,30,40,236,39.33,
295,,Exploud,104,91,63,91,73,68,490,81.67,
297,,Hariyama,144,120,60,40,60,50,474,79,
301,,Delcatty,70,65,65,55,55,90,400,66.67,
302,,Sableye,50,75,75,65,65,50,380,63.33,
302,,Sableye (Mega Sableye),50,85,125,85,115,20,480,80,
303,,Mawile,50,85,85,55,55,50,380,63.33,
303,,Mawile (Mega Mawile),50,105,125,55,95,50,480,80,
306,,Aggron,70,110,180,60,60,50,530,88.33,
306,,Aggron (Mega Aggron),70,140,230,60,80,50,630,105,
308,,Medicham,60,60,75,60,75,80,410,68.33,
308,,Medicham (Mega Medicham),60,100,85,80,85,100,510,85,
310,,Manectric,70,75,60,105,60,105,475,79.17,
310,,Manectric (Mega Manectric),70,75,80,135,80,135,575,95.83,
311,,Plusle,60,50,40,85,75,95,405,67.5,
312,,Minun,60,40,50,75,85,95,405,67.5,
313,,Volbeat,65,73,75,47,85,85,430,71.67,
314,,Illumise,65,47,75,73,85,85,430,71.67,
317,,Swalot,100,73,83,73,83,55,467,77.83,
319,,Sharpedo,70,120,40,95,40,95,460,76.67,
319,,Sharpedo (Mega Sharpedo),70,140,70,110,65,105,560,93.33,
321,,Wailord,170,90,45,90,45,60,500,83.33,
323,,Camerupt,70,100,70,105,75,40,460,76.67,
323,,Camerupt (Mega Camerupt),70,120,100,145,105,20,560,93.33,
324,,Torkoal,70,85,140,85,70,20,470,78.33,
326,,Grumpig,80,45,65,90,110,80,470,78.33,
327,,Spinda,60,60,60,60,60,60,360,60,
330,,Flygon,80,100,80,80,80,100,520,86.67,
332,,Cacturne,70,115,60,115,60,55,475,79.17,
334,,Altaria,75,70,90,70,105,80,490,81.67,
334,,Altaria (Mega Altaria),75,110,110,110,105,80,590,98.33,
335,,Zangoose,73,115,60,60,60,90,458,76.33,
336,,Seviper,73,100,60,100,60,65,458,76.33,
337,,Lunatone,90,55,65,95,85,70,460,76.67,
338,,Solrock,90,95,85,55,65,70,460,76.67,
340,,Whiscash,110,78,73,76,71,60,468,78,
342,,Crawdaunt,63,120,85,90,55,55,468,78,
344,,Claydol,60,70,105,70,120,75,500,83.33,
346,,Cradily,86,81,97,81,107,43,495,82.5,
348,,Armaldo,75,125,100,70,80,45,495,82.5,
350,,Milotic,95,60,79,100,125,81,540,90,
351,,Castform,70,70,70,70,70,70,420,70,
352,,Kecleon,60,90,70,60,120,40,440,73.33,
354,,Banette,64,115,65,83,63,65,455,75.83,
354,,Banette (Mega Banette),64,165,75,93,83,75,555,92.5,
357,,Tropius,99,68,83,72,87,51,460,76.67,
358,,Chimecho,75,50,80,95,90,65,455,75.83,
359,,Absol,65,130,60,75,60,75,465,77.5,
359,,Absol (Mega Absol),65,150,60,115,60,115,565,94.17,
362,,Glalie,80,80,80,80,80,80,480,80,
362,,Glalie (Mega Glalie),80,120,80,120,80,100,580,96.67,
365,,Walrein,110,80,90,95,90,65,530,88.33,
367,,Huntail,55,104,105,94,75,52,485,80.83,
368,,Gorebyss,55,84,105,114,75,52,485,80.83,
369,,Relicanth,100,90,130,45,65,55,485,80.83,
370,,Luvdisc,43,30,55,40,65,97,330,55,
373,,Salamence,95,135,80,110,80,100,600,100,
373,,Salamence (Mega Salamence),95,145,130,120,90,120,700,116.67,
376,,Metagross,80,135,130,95,90,70,600,100,
376,,Metagross (Mega Metagross),80,145,150,105,110,110,700,116.67,
377,,Regirock,80,100,200,50,100,50,580,96.67,
378,,Regice,80,50,100,100,200,50,580,96.67,
379,,Registeel,80,75,150,75,150,50,580,96.67,
380,,Latias,80,80,90,110,130,110,600,100,
380,,Latias (Mega Latias),80,100,120,140,150,110,700,116.67,
381,,Latios,80,90,80,130,110,110,600,100,
381,,Latios (Mega Latios),80,130,100,160,120,110,700,116.67,
382,,Kyogre,100,100,90,150,140,90,670,111.67,
382,,Kyogre (Primal Kyogre),100,150,90,180,160,90,770,128.33,
383,,Groudon,100,150,140,100,90,90,670,111.67,
383,,Groudon (Primal Groudon),100,180,160,150,90,90,770,128.33,
384,,Rayquaza,105,150,90,150,90,95,680,113.33,
384,,Rayquaza (Mega Rayquaza),105,180,100,180,100,115,780,130,
385,,Jirachi,100,100,100,100,100,100,600,100,
386,,Deoxys (Normal Forme),50,150,50,150,50,150,600,100,
386,,Deoxys (Attack Forme),50,180,20,180,20,150,600,100,
386,,Deoxys (Defense Forme),50,70,160,70,160,90,600,100,
386,,Deoxys (Speed Forme),50,95,90,95,90,180,600,100,
389,,Torterra,95,109,105,75,85,56,525,87.5,
392,,Infernape,76,104,71,104,71,108,534,89,
395,,Empoleon,84,86,88,111,101,60,530,88.33,
398,,Staraptor,85,120,70,50,60,100,485,80.83,
400,,Bibarel,79,85,60,55,60,71,410,68.33,
402,,Kricketune,77,85,51,55,51,65,384,64,
405,,Luxray,80,120,79,95,79,70,523,87.17,
407,,Roserade,60,70,65,125,105,90,515,85.83,
409,,Rampardos,97,165,60,65,50,58,495,82.5,
411,,Bastiodon,60,52,168,47,138,30,495,82.5,
413,,Wormadam (Plant Cloak),60,59,85,79,105,36,424,70.67,
413,,Wormadam (Sandy Cloak),60,79,105,59,85,36,424,70.67,
413,,Wormadam (Trash Cloak),60,69,95,69,95,36,424,70.67,
414,,Mothim,70,94,50,94,50,66,424,70.67,
416,,Vespiquen,70,80,102,80,102,40,474,79,
417,,Pachirisu,60,45,70,45,90,95,405,67.5,
419,,Floatzel,85,105,55,85,50,115,495,82.5,
421,,Cherrim,70,60,70,87,78,85,450,75,
423,,Gastrodon,111,83,68,92,82,39,475,79.17,
424,,Ambipom,75,100,66,60,66,115,482,80.33,
426,,Drifblim,150,80,44,90,54,80,498,83,
428,,Lopunny,65,76,84,54,96,105,480,80,
428,,Lopunny (Mega Lopunny),65,136,94,54,96,135,580,96.67,
429,,Mismagius,60,60,60,105,105,105,495,82.5,
430,,Honchkrow,100,125,52,105,52,71,505,84.17,
432,,Purugly,71,82,64,64,59,112,452,75.33,
435,,Skuntank,103,93,67,71,61,84,479,79.83,
437,,Bronzong,67,89,116,79,116,33,500,83.33,
441,,Chatot,76,65,45,92,42,91,411,68.5,
442,,Spiritomb,50,92,108,92,108,35,485,80.83,
445,,Garchomp,108,130,95,80,85,102,600,100,
445,,Garchomp (Mega Garchomp),108,170,115,120,95,92,700,116.67,
448,,Lucario,70,110,70,115,70,90,525,87.5,
448,,Lucario (Mega Lucario),70,145,88,140,70,112,625,104.17,
450,,Hippowdon,108,112,118,68,72,47,525,87.5,
452,,Drapion,70,90,110,60,75,95,500,83.33,
454,,Toxicroak,83,106,65,86,65,85,490,81.67,
455,,Carnivine,74,100,72,90,72,46,454,75.67,
457,,Lumineon,69,69,76,69,86,91,460,76.67,
460,,Abomasnow,90,92,75,92,85,60,494,82.33,
460,,Abomasnow (Mega Abomasnow),90,132,105,132,105,30,594,99,
461,,Weavile,70,120,65,45,85,125,510,85,
462,,Magnezone,70,70,115,130,90,60,535,89.17,
463,,Lickilicky,110,85,95,80,95,50,515,85.83,
464,,Rhyperior,115,140,130,55,55,40,535,89.17,
465,,Tangrowth,100,100,125,110,50,50,535,89.17,
466,,Electivire,75,123,67,95,85,95,540,90,
467,,Magmortar,75,95,67,125,95,83,540,90,
468,,Togekiss,85,50,95,120,115,80,545,90.83,
469,,Yanmega,86,76,86,116,56,95,515,85.83,
470,,Leafeon,65,110,130,60,65,95,525,87.5,
471,,Glaceon,65,60,110,130,95,65,525,87.5,
472,,Gliscor,75,95,125,45,75,95,510,85,
473,,Mamoswine,110,130,80,70,60,80,530,88.33,
474,,Porygon-Z,85,80,70,135,75,90,535,89.17,
475,,Gallade,68,125,65,65,115,80,518,86.33,
475,,Gallade (Mega Gallade),68,165,95,65,115,110,618,103,
476,,Probopass,60,55,145,75,150,40,525,87.5,
477,,Dusknoir,45,100,135,65,135,45,525,87.5,
478,,Froslass,70,80,70,80,70,110,480,80,
479,,Rotom,50,50,77,95,77,91,440,73.33,
479,,Rotom (Heat Rotom),50,65,107,105,107,86,520,86.67,
479,,Rotom (Wash Rotom),50,65,107,105,107,86,520,86.67,
479,,Rotom (Frost Rotom),50,65,107,105,107,86,520,86.67,
479,,Rotom (Fan Rotom),50,65,107,105,107,86,520,86.67,
479,,Rotom (Mow Rotom),50,65,107,105,107,86,520,86.67,
480,,Uxie,75,75,130,75,130,95,580,96.67,
481,,Mesprit,80,105,105,105,105,80,580,96.67,
482,,Azelf,75,125,70,125,70,115,580,96.67,
483,,Dialga,100,120,120,150,100,90,680,113.33,
483,,Dialga (Origin Forme),100,100,120,150,120,90,680,113.33,
484,,Palkia,90,120,100,150,120,100,680,113.33,
484,,Palkia (Origin Forme),90,100,100,150,120,120,680,113.33,
485,,Heatran,91,90,106,130,106,77,600,100,
486,,Regigigas,110,160,110,80,110,100,670,111.67,
487,,Giratina (Altered Forme),150,100,120,100,120,90,680,113.33,
487,,Giratina (Origin Forme),150,120,100,120,100,90,680,113.33,
488,,Cresselia,120,70,120,75,130,85,600,100,
489,,Phione,80,80,80,80,80,80,480,80,
490,,Manaphy,100,100,100,100,100,100,600,100,
491,,Darkrai,70,90,90,135,90,125,600,100,
492,,Shaymin (Land Forme),100,100,100,100,100,100,600,100,
492,,Shaymin (Sky Forme),100,103,75,120,75,127,600,100,
493,,Arceus,120,120,120,120,120,120,720,120,
494,,Victini,100,100,100,100,100,100,600,100,
497,,Serperior,75,75,95,75,95,113,528,88,
500,,Emboar,110,123,65,100,65,65,528,88,
503,,Samurott,95,100,85,108,70,70,528,88,
503,,Samurott (Hisuian Samurott),90,108,80,100,65,85,528,88,
505,,Watchog,60,85,69,60,69,77,420,70,
508,,Stoutland,85,110,90,45,90,80,500,83.33,
510,,Liepard,64,88,50,88,50,106,446,74.33,
512,,Simisage,75,98,63,98,63,101,498,83,
514,,Simisear,75,98,63,98,63,101,498,83,
516,,Simipour,75,98,63,98,63,101,498,83,
518,,Musharna,116,55,85,107,95,29,487,81.17,
521,,Unfezant,80,115,80,65,55,93,488,81.33,
523,,Zebstrika,75,100,63,80,63,116,497,82.83,
526,,Gigalith,85,135,130,60,80,25,515,85.83,
528,,Swoobat,67,57,55,77,55,114,425,70.83,
530,,Excadrill,110,135,60,50,65,88,508,84.67,
531,,Audino,103,60,86,60,86,50,445,74.17,
531,,Audino (Mega Audino),103,60,126,80,126,50,545,90.83,
534,,Conkeldurr,105,140,95,55,65,45,505,84.17,
537,,Seismitoad,105,95,75,85,75,74,509,84.83,
538,,Throh,120,100,85,30,85,45,465,77.5,
539,,Sawk,75,125,75,30,75,85,465,77.5,
542,,Leavanny,75,103,80,70,80,92,500,83.33,
545,,Scolipede,60,100,89,55,69,112,485,80.83,
547,,Whimsicott,60,67,85,77,75,116,480,80,
549,,Lilligant,70,60,75,110,75,90,480,80,
549,,Lilligant (Hisuian Lilligant),70,105,75,50,75,105,480,80,
553,,Krookodile,95,117,80,65,70,92,519,86.5,
555,,Darmanitan (Standard Mode),105,140,55,30,55,95,480,80,
555,,Darmanitan (Zen Mode),105,30,105,140,105,55,540,90,
555,,Darmanitan (Galarian Standard Mode),105,140,55,30,55,95,480,80,
555,,Darmanitan (Galarian Zen Mode),105,160,55,30,55,135,540,90,
556,,Maractus,75,86,67,106,67,60,461,76.83,
558,,Crustle,70,105,125,65,75,45,485,80.83,
560,,Scrafty,65,90,115,45,115,58,488,81.33,
561,,Sigilyph,72,58,80,103,80,97,490,81.67,
563,,Cofagrigus,58,50,145,95,105,30,483,80.5,
565,,Carracosta,74,108,133,83,65,32,495,82.5,
567,,Archeops,75,140,65,112,65,110,567,94.5,
569,,Garbodor,80,95,82,60,82,75,474,79,
571,,Zoroark,60,105,60,120,60,105,510,85,
571,,Zoroark (Hisuian Zoroark),55,100,60,125,60,110,510,85,
573,,Cinccino,75,95,60,65,60,115,470,78.33,
576,,Gothitelle,70,55,95,95,110,65,490,81.67,
579,,Reuniclus,110,65,75,125,85,30,490,81.67,
581,,Swanna,75,87,63,87,63,98,473,78.83,
584,,Vanilluxe,71,95,85,110,95,79,535,89.17,
586,,Sawsbuck,80,100,70,60,70,95,475,79.17,
587,,Emolga,55,75,60,75,60,103,428,71.33,
589,,Escavalier,70,135,105,60,105,20,495,82.5,
591,,Amoonguss,114,85,70,85,80,30,464,77.33,
593,,Jellicent,100,60,70,85,105,60,480,80,
594,,Alomomola,165,75,80,40,45,65,470,78.33,
596,,Galvantula,70,77,60,97,60,108,472,78.67,
598,,Ferrothorn,74,94,131,54,116,20,489,81.5,
601,,Klinklang,60,100,115,70,85,90,520,86.67,
604,,Eelektross,85,115,80,105,80,50,515,85.83,
606,,Beheeyem,75,75,75,125,95,40,485,80.83,
609,,Chandelure,60,55,90,145,90,80,520,86.67,
612,,Haxorus,76,147,90,60,70,97,540,90,
614,,Beartic,95,130,80,70,80,50,505,84.17,
615,,Cryogonal,80,50,50,95,135,105,515,85.83,
617,,Accelgor,80,70,40,100,60,145,495,82.5,
618,,Stunfisk,109,66,84,81,99,32,471,78.5,
618,,Stunfisk (Galarian Stunfisk),109,81,99,66,84,32,471,78.5,
620,,Mienshao,65,125,60,95,60,105,510,85,
621,,Druddigon,77,120,90,60,90,48,485,80.83,
623,,Golurk,89,124,80,55,80,55,483,80.5,
625,,Bisharp,65,125,100,60,70,70,490,81.67,
626,,Bouffalant,95,110,95,40,95,55,490,81.67,
628,,Braviary,100,123,75,57,75,80,510,85,
628,,Braviary (Hisuian Braviary),110,83,70,112,70,65,510,85,
630,,Mandibuzz,110,65,105,55,95,80,510,85,
631,,Heatmor,85,97,66,105,66,65,484,80.67,
632,,Durant,58,109,112,48,48,109,484,80.67,
635,,Hydreigon,92,105,90,125,90,98,600,100,
637,,Volcarona,85,60,65,135,105,100,550,91.67,
638,,Cobalion,91,90,129,90,72,108,580,96.67,
639,,Terrakion,91,129,90,72,90,108,580,96.67,
640,,Virizion,91,90,72,90,129,108,580,96.67,
641,,Tornadus (Incarnate Forme),79,115,70,125,80,111,580,96.67,
641,,Tornadus (Therian Forme),79,100,80,110,90,121,580,96.67,
642,,Thundurus (Incarnate Forme),79,115,70,125,80,111,580,96.67,
642,,Thundurus (Therian Forme),79,105,70,145,80,101,580,96.67,
643,,Reshiram,100,120,100,150,120,90,680,113.33,
644,,Zekrom,100,150,120,120,100,90,680,113.33,
645,,Landorus (Incarnate Forme),89,125,90,115,80,101,600,100,
645,,Landorus (Therian Forme),89,145,90,105,80,91,600,100,
646,,Kyurem,125,130,90,130,90,95,660,110,
646,,Kyurem (Black Kyurem),125,170,100,120,90,95,700,116.67,
646,,Kyurem (White Kyurem),125,120,90,170,100,95,700,116.67,
647,,Keldeo,91,72,90,129,90,108,580,96.67,
648,,Meloetta (Aria Forme),100,77,77,128,128,90,600,100,
648,,Meloetta (Pirouette Forme),100,128,90,77,77,128,600,100,
649,,Genesect,71,120,95,120,95,99,600,100,
652,,Chesnaught,88,107,122,74,75,64,530,88.33,
655,,Delphox,75,69,72,114,100,104,534,89,
658,,Greninja,72,95,67,103,71,122,530,88.33,
658,,Greninja (Ash-Greninja),72,145,67,153,71,132,640,106.67,
660,,Diggersby,85,56,77,50,77,78,423,70.5,
663,,Talonflame,78,81,71,74,69,126,499,83.17,
666,,Vivillon,80,52,50,90,50,89,411,68.5,
668,,Pyroar,86,68,72,109,66,106,507,84.5,
671,,Florges,78,65,68,112,154,75,552,92,
673,,Gogoat,123,100,62,97,81,68,531,88.5,
675,,Pangoro,95,124,78,69,71,58,495,82.5,
676,,Furfrou,75,80,60,65,90,102,472,78.67,
678,,Meowstic,74,48,76,83,81,104,466,77.67,
681,,Aegislash (Shield Forme),60,50,140,50,140,60,500,83.33,
681,,Aegislash (Blade Forme),60,140,50,140,50,60,500,83.33,
683,,Aromatisse,101,72,72,99,89,29,462,77,
685,,Slurpuff,82,80,86,85,75,72,480,80,
687,,Malamar,86,92,88,68,75,73,482,80.33,
689,,Barbaracle,72,105,115,54,86,68,500,83.33,
691,,Dragalge,65,75,90,97,123,44,494,82.33,
693,,Clawitzer,71,73,88,120,89,59,500,83.33,
695,,Heliolisk,62,55,52,109,94,109,481,80.17,
697,,Tyrantrum,82,121,119,69,59,71,521,86.83,
699,,Aurorus,123,77,72,99,92,58,521,86.83,
700,,Sylveon,95,65,65,110,130,60,525,87.5,
701,,Hawlucha,78,92,75,74,63,118,500,83.33,
702,,Dedenne,67,58,57,81,67,101,431,71.83,
703,,Carbink,50,50,150,50,150,50,500,83.33,
706,,Goodra,90,100,70,110,150,80,600,100,
706,,Goodra (Hisuian Goodra),80,100,100,110,150,60,600,100,
707,,Klefki,57,80,91,80,87,75,470,78.33,
709,,Trevenant,85,110,76,65,82,56,474,79,
711,,Gourgeist (Small Size),55,85,122,58,75,99,494,82.33,
