###,Menu Sprite,Pokémon,III-VII,VIII
318,,Carvanha,35,35
319,,Sharpedo,35,35
320,,Wailmer,70,50
321,,Wailord,70,50
322,,Numel,70,50
323,,Camerupt,70,50
324,,Torkoal,70,50
325,,Spoink,70,50
326,,Grumpig,70,50
327,,Spinda,70,50
328,,Trapinch,70,50
329,,Vibrava,70,50
330,,Flygon,70,50
331,,Cacnea,35,35
332,,Cacturne,35,35
333,,Swablu,70,50
334,,Altaria,70,50
335,,Zangoose,70,50
336,,Seviper,70,50
337,,Lunatone,70,50
338,,Solrock,70,50
339,,Barboach,70,50
340,,Whiscash,70,50
341,,Corphish,70,50
342,,Crawdaunt,70,50
343,,Baltoy,70,50
344,,Claydol,70,50
345,,Lileep,70,50
346,,Cradily,70,50
347,,Anorith,70,50
348,,Armaldo,70,50
349,,Feebas,70,50
350,,Milotic,70,50
351,,Castform,70,50
352,,Kecleon,70,50
353,,Shuppet,35,35
354,,Banette,35,35
355,,Duskull,35,35
356,,Dusclops,35,35
357,,Tropius,70,50
358,,Chimecho,70,50
359,,Absol,35,35
360,,Wynaut,70,50
361,,Snorunt,70,50
362,,Glalie,70,50
363,,Spheal,70,50
364,,Sealeo,70,50
365,,Walrein,70,50
366,,Clamperl,70,50
367,,Huntail,70,50
368,,Gorebyss,70,50
369,,Relicanth,70,50
370,,Luvdisc,70,50
371,,Bagon,35,35
372,,Shelgon,35,35
373,,Salamence,35,35
374,,Beldum,35,35
375,,Metang,35,35
376,,Metagross,35,35
377,,Regirock,35,35
378,,Regice,35,35
379,,Registeel,35,35
380,,Latias,90,90
381,,Latios,90,90
382,,Kyogre,0,0
383,,Groudon,0,0
384,,Rayquaza,0,0
385,,Jirachi,100,100
386,,Deoxys,0,0
387,,Turtwig,70,50
388,,Grotle,70,50
389,,Torterra,70,50
390,,Chimchar,70,50
391,,Monferno,70,50
392,,Infernape,70,50
393,,Piplup,70,50
394,,Prinplup,70,50
395,,Empoleon,70,50
396,,Starly,70,50
397,,Staravia,70,50
398,,Staraptor,70,50
399,,Bidoof,70,50
400,,Bibarel,70,50
401,,Kricketot,70,50
402,,Kricketune,70,50
403,,Shinx,70,50
404,,Luxio,100,100
405,,Luxray,70,50
406,,Budew,70,50
407,,Roserade,70,50
408,,Cranidos,70,50
409,,Rampardos,70,50
410,,Shieldon,70,50
411,,Bastiodon,70,50
412,,Burmy,70,50
413,,Wormadam,70,50
414,,Mothim,70,50
415,,Combee,70,50
416,,Vespiquen,70,50
417,,Pachirisu,100,100
418,,Buizel,70,50
419,,Floatzel,70,50
420,,Cherubi,70,50
421,,Cherrim,70,50
422,,Shellos,70,50
423,,Gastrodon,70,50
424,,Ambipom,100,100
425,,Drifloon,70,50
426,,Drifblim,70,50
427,,Buneary,0,0
428,,Lopunny,140,140
429,,Mismagius,35,35
430,,Honchkrow,35,35
431,,Glameow,70,50
432,,Purugly,70,50
433,,Chingling,70,50
434,,Stunky,70,50
435,,Skuntank,70,50
436,,Bronzor,70,50
437,,Bronzong,70,50
438,,Bonsly,70,50
439,,Mime Jr.,70,50
440,,Happiny,140,140
441,,Chatot,35,35
442,,Spiritomb,70,50
443,,Gible,70,50
444,,Gabite,70,50
445,,Garchomp,70,50
446,,Munchlax,70,50
447,,Riolu,70,50
448,,Lucario,70,50
449,,Hippopotas,70,50
450,,Hippowdon,70,50
451,,Skorupi,70,50
452,,Drapion,70,50
453,,Croagunk,100,100
454,,Toxicroak,70,50
455,,Carnivine,70,50
456,,Finneon,70,50
457,,Lumineon,70,50
458,,Mantyke,70,50
459,,Snover,70,50
460,,Abomasnow,70,50
461,,Weavile,35,35
462,,Magnezone,70,50
463,,Lickilicky,70,50
464,,Rhyperior,70,50
465,,Tangrowth,70,50
466,,Electivire,70,50
467,,Magmortar,70,50
468,,Togekiss,70,50
469,,Yanmega,70,50
470,,Leafeon,35,35
471,,Glaceon,35,35
472,,Gliscor,70,50
473,,Mamoswine,70,50
474,,Porygon-Z,70,50
475,,Gallade,35,35
476,,Probopass,70,50
477,,Dusknoir,35,35
478,,Froslass,70,50
479,,Rotom,70,50
480,,Uxie,140,140
481,,Mesprit,140,140
482,,Azelf,140,140
483,,Dialga,0,0
484,,Palkia,0,0
485,,Heatran,100,100
486,,Regigigas,0,0
487,,Giratina,0,0
488,,Cresselia,100,100
489,,Phione,70,50
490,,Manaphy,70,50
491,,Darkrai,0,0
492,,Shaymin,100,100
493,,Arceus,0,0
494,,Victini,100,100
495,,Snivy,70,50
496,,Servine,70,50
497,,Serperior,70,50
498,,Tepig,70,50
499,,Pignite,70,50
500,,Emboar,70,50
501,,Oshawott,70,50
502,,Dewott,70,50
503,,Samurott,70,50
504,,Patrat,70,50
505,,Watchog,70,50
506,,Lillipup,70,50
507,,Herdier,70,50
508,,Stoutland,70,50
509,,Purrloin,70,50
510,,Liepard,70,50
511,,Pansage,70,50
512,,Simisage,70,50
513,,Pansear,70,50
514,,Simisear,70,50
515,,Panpour,70,50
516,,Simipour,70,50
517,,Munna,70,50
518,,Musharna,70,50
519,,Pidove,70,50
520,,Tranquill,70,50
521,,Unfezant,70,50
522,,Blitzle,70,50
523,,Zebstrika,70,50
524,,Roggenrola,70,50
525,,Boldore,70,50
526,,Gigalith,70,50
527,,Woobat,70,50
528,,Swoobat,70,50
529,,Drilbur,70,50
530,,Excadrill,70,50
531,,Audino,70,50
532,,Timburr,70,70
533,,Gurdurr,70,50
534,,Conkeldurr,70,50
535,,Tympole,70,50
536,,Palpitoad,70,50
537,,Seismitoad,70,50
538,,Throh,70,50
539,,Sawk,70,50
540,,Sewaddle,70,50
541,,Swadloon,70,50
542,,Leavanny,70,50
543,,Venipede,70,50
544,,Whirlipede,70,50
545,,Scolipede,70,50
546,,Cottonee,70,50
547,,Whimsicott,70,50
548,,Petilil,70,50
549,,Lilligant,70,50
550,,Basculin,70,50
551,,Sandile,70,50
552,,Krokorok,70,50
553,,Krookodile,70,50
554,,Darumaka,70,50
555,,Darmanitan,70,50
556,,Maractus,70,50
557,,Dwebble,70,50
558,,Crustle,70,50
559,,Scraggy,35,35
560,,Scrafty,70,50
561,,Sigilyph,70,50
562,,Yamask,70,50
563,,Cofagrigus,70,50
564,,Tirtouga,70,50
565,,Carracosta,70,50
566,,Archen,70,50
567,,Archeops,70,50
568,,Trubbish,70,50
569,,Garbodor,70,50
570,,Zorua,70,50
571,,Zoroark,70,50
572,,Minccino,70,50
573,,Cinccino,70,50
574,,Gothita,70,50
575,,Gothorita,70,50
576,,Gothitelle,70,50
577,,Solosis,70,50
578,,Duosion,70,50
579,,Reuniclus,70,50
580,,Ducklett,70,50
581,,Swanna,70,50
582,,Vanillite,70,50
583,,Vanillish,70,50
584,,Vanilluxe,70,50
585,,Deerling,70,50
586,,Sawsbuck,70,50
587,,Emolga,70,50
588,,Karrablast,70,50
589,,Escavalier,70,50
590,,Foongus,70,50
591,,Amoonguss,70,50
592,,Frillish,70,50
593,,Jellicent,70,50
594,,Alomomola,70,50
595,,Joltik,70,50
596,,Galvantula,70,50
597,,Ferroseed,70,50
598,,Ferrothorn,70,50
599,,Klink,70,50
600,,Klang,70,50
601,,Klinklang,70,50
602,,Tynamo,70,50
603,,Eelektrik,70,50
604,,Eelektross,70,50
605,,Elgyem,70,50
606,,Beheeyem,70,50
607,,Litwick,70,50
608,,Lampent,70,50
609,,Chandelure,70,50
610,,Axew,35,35
611,,Fraxure,35,35
612,,Haxorus,35,35
613,,Cubchoo,70,50
614,,Beartic,70,50
615,,Cryogonal,70,50
616,,Shelmet,70,50
617,,Accelgor,70,50
618,,Stunfisk,70,70
618,,Stunfisk (Galarian Form),—,50
619,,Mienfoo,70,50
620,,Mienshao,70,50
621,,Druddigon,70,50
622,,Golett,70,50
623,,Golurk,70,50
624,,Pawniard,35,35
625,,Bisharp,35,35
626,,Bouffalant,70,50
627,,Rufflet,70,50
628,,Braviary,70,50
629,,Vullaby,35,35
630,,Mandibuzz,35,35
631,,Heatmor,70,50
632,,Durant,70,50
633,,Deino,35,35
634,,Zweilous,35,35
635,,Hydreigon,35,35
636,,Larvesta,70,50
637,,Volcarona,70,50
638,,Cobalion,35,35
639,,Terrakion,35,35
640,,Virizion,35,35
641,,Tornadus,90,90
642,,Thundurus,90,90
643,,Reshiram,0,0
644,,Zekrom,0,0
645,,Landorus,90,90
646,,Kyurem,0,0
647,,Keldeo,35,35
648,,Meloetta,100,100
649,,Genesect,0,0
650,,Chespin,70,50
651,,Quilladin,70,50
652,,Chesnaught,70,50
653,,Fennekin,70,50
654,,Braixen,70,50
655,,Delphox,70,50
656,,Froakie,70,50
657,,Frogadier,70,50
658,,Greninja,70,50
659,,Bunnelby,70,50
660,,Diggersby,70,50
661,,Fletchling,70,50
662,,Fletchinder,70,50
663,,Talonflame,70,50
664,,Scatterbug,70,50
665,,Spewpa,70,50
666,,Vivillon,70,50
667,,Litleo,70,50
668,,Pyroar,70,50
669,,Flabébé,70,50
670,,Floette,70,50
671,,Florges,70,50
672,,Skiddo,70,50
673,,Gogoat,70,50
674,,Pancham,70,50
675,,Pangoro,70,50
676,,Furfrou,70,50
677,,Espurr,70,50
678,,Meowstic,70,50
679,,Honedge,70,50
680,,Doublade,70,50
681,,Aegislash,70,50
682,,Spritzee,70,50
683,,Aromatisse,70,50
684,,Swirlix,70,50
685,,Slurpuff,70,50
686,,Inkay,70,50
687,,Malamar,70,50
688,,Binacle,70,50
689,,Barbaracle,70,50
690,,Skrelp,70,50
691,,Dragalge,70,50
692,,Clauncher,70,50
693,,Clawitzer,70,50
694,,Helioptile,70,50
695,,Heliolisk,70,50
696,,Tyrunt,70,50
697,,Tyrantrum,70,50
698,,Amaura,70,50
699,,Aurorus,70,50
700,,Sylveon,70,50
701,,Hawlucha,70,50
702,,Dedenne,70,50
703,,Carbink,70,50
704,,Goomy,35,35
705,,Sliggoo,35,35
706,,Goodra,35,35
707,,Klefki,70,50
708,,Phantump,70,50
709,,Trevenant,70,50
710,,Pumpkaboo,70,50
711,,Gourgeist,70,50
712,,Bergmite,70,50
713,,Avalugg,70,50
714,,Noibat,70,50
715,,Noivern,70,50
716,,Xerneas,0,0
717,,Yveltal,0,0
718,,Zygarde,0,0
719,,Diancie,70,50
720,,Hoopa,100,100
720,,Hoopa Unbound,100,50
721,,Volcanion,100,100
722,,Rowlet,70,50
723,,Dartrix,70,50
724,,Decidueye,70,50
725,,Litten,70,50
726,,Torracat,70,50
727,,Incineroar,70,50
728,,Popplio,70,50
729,,Brionne,70,50
730,,Primarina,70,50
731,,Pikipek,70,50
732,,Trumbeak,70,50
733,,Toucannon,70,50
734,,Yungoos,70,50
735,,Gumshoos,70,50
736,,Grubbin,70,50
737,,Charjabug,70,50
738,,Vikavolt,70,50
739,,Crabrawler,70,50
740,,Crabominable,70,50
741,,Oricorio,70,50
742,,Cutiefly,70,50
743,,Ribombee,70,50
744,,Rockruff,70,50
745,,Lycanroc,70,50
746,,Wishiwashi,70,50
747,,Mareanie,70,50
748,,Toxapex,70,50
749,,Mudbray,70,50
750,,Mudsdale,70,50
751,,Dewpider,70,50
752,,Araquanid,70,50
753,,Fomantis,70,50
754,,Lurantis,70,50
755,,Morelull,70,50
756,,Shiinotic,70,50
757,,Salandit,70,50
758,,Salazzle,70,50
759,,Stufful,70,50
760,,Bewear,70,50
761,,Bounsweet,70,50
762,,Steenee,70,50
763,,Tsareena,70,50
764,,Comfey,70,50
765,,Oranguru,70,50
766,,Passimian,70,50
767,,Wimpod,70,50
768,,Golisopod,70,50
769,,Sandygast,70,50
770,,Palossand,70,50
771,,Pyukumuku,70,50
772,,Type: Null,0,0
773,,Silvally,0,0
774,,Minior,70,50
775,,Komala,70,50
776,,Turtonator,70,50
777,,Togedemaru,70,50
778,,Mimikyu,70,50
779,,Bruxish,70,50
780,,Drampa,70,50
781,,Dhelmise,70,50
782,,Jangmo-o,70,50
783,,Hakamo-o,70,50
784,,Kommo-o,70,50
785,,Tapu Koko,70,50
786,,Tapu Lele,70,50
787,,Tapu Bulu,70,50
788,,Tapu Fini,70,50
789,,Cosmog,0,0
790,,Cosmoem,0,0
791,,Solgaleo,0,0
792,,Lunala,0,0
793,,Nihilego,0,0
794,,Buzzwole,0,0
795,,Pheromosa,0,0
796,,Xurkitree,0,0
797,,Celesteela,0,0
798,,Kartana,0,0
799,,Guzzlord,0,0
800,,Necrozma,0,0
801,,Magearna,0,0
802,,Marshadow,0,0
803,,Poipole,0,0
804,,Naganadel,0,0
805,,Stakataka,0,0
806,,Blacephalon,0,0
807,,Zeraora,0,0
808,,Meltan,0,0
809,,Melmetal,0,0
810,,Grookey,—,50
811,,Thwackey,—,50
812,,Rillaboom,—,50
813,,Scorbunny,—,50
814,,Raboot,—,50
815,,Cinderace,—,50
816,,Sobble,—,50
817,,Drizzile,—,50
818,,Inteleon,—,50
819,,Skwovet,—,50
820,,Greedent,—,50
821,,Rookidee,—,50
822,,Corvisquire,—,50
823,,Corviknight,—,50
824,,Blipbug,—,50
825,,Dottler,—,50
826,,Orbeetle,—,50
827,,Nickit,—,50
828,,Thievul,—,50
829,,Gossifleur,—,50
830,,Eldegoss,—,50
831,,Wooloo,—,50
832,,Dubwool,—,50
833,,Chewtle,—,50
834,,Drednaw,—,50
835,,Yamper,—,50
836,,Boltund,—,50
837,,Rolycoly,—,50
838,,Carkol,—,50
839,,Coalossal,—,50
840,,Applin,—,50
841,,Flapple,—,50
842,,Appletun,—,50
843,,Silicobra,—,50
844,,Sandaconda,—,50
845,,Cramorant,—,50
846,,Arrokuda,—,50
847,,Barraskewda,—,50
848,,Toxel,—,50
849,,Toxtricity,—,50
850,,Sizzlipede,—,50
851,,Centiskorch,—,50
852,,Clobbopus,—,50
853,,Grapploct,—,50
854,,Sinistea,—,50
855,,Polteageist,—,50
856,,Hatenna,—,50
857,,Hattrem,—,50
858,,Hatterene,—,50
859,,Impidimp,—,50
860,,Morgrem,—,50
861,,Grimmsnarl,—,50
862,,Obstagoon,—,50
863,,Perrserker,—,50
864,,Cursola,—,50
865,,Sirfetch'd,—,50
866,,Mr. Rime,—,50
867,,Runerigus,—,50
868,,Milcery,—,50
869,,Alcremie,—,50
870,,Falinks,—,50
871,,Pincurchin,—,50
872,,Snom,—,50
873,,Frosmoth,—,50
874,,Stonjourner,—,50
875,,Eiscue,—,50
876,,Indeedee,—,140
877,,Morpeko,—,50
878,,Cufant,—,50
879,,Copperajah,—,50
880,,Dracozolt,—,50
881,,Arctozolt,—,50
882,,Dracovish,—,50
883,,Arctovish,—,50
884,,Duraludon,—,50
885,,Dreepy,—,50
886,,Drakloak,—,50
887,,Dragapult,—,50
888,,Zacian,—,0
889,,Zamazenta,—,0
890,,Eternatus,—,0
891,,Kubfu,—,50
892,,Urshifu,—,50
893,,Zarude,—,0
894,,Regieleki,—,35
895,,Regidrago,—,35
896,,Glastrier,—,35
897,,Spectrier,—,35
898,,Calyrex,—,100
