Udex,Ndex,Menu Sprite,Pokémon,Type 1,Type 2
#125,#619,,Mienfoo,Fighting,
#126,#620,,Mienshao,Fighting,
#127,#621,,Druddigon,Dragon,
#128,#622,,Golett,Ground,Ghost
#129,#623,,Golurk,Ground,Ghost
#130,#624,,Pawniard,Dark,Steel
#131,#625,,Bisharp,Dark,Steel
#132,#626,,Bouffalant,Normal,
#133,#627,,Rufflet,Normal,Flying
#134,#628,,Braviary,Normal,Flying
#135,#629,,Vullaby,Dark,Flying
#136,#630,,Mandibuzz,Dark,Flying
#137,#631,,Heatmor,Fire,
#138,#632,,Durant,Bug,Steel
#139,#633,,Deino,Dark,Dragon
#140,#634,,Zweilous,Dark,Dragon
#141,#635,,Hydreigon,Dark,Dragon
#142,#636,,Larvesta,Bug,Fire
#143,#637,,Volcarona,Bug,Fire
#144,#638,,Cobalion,Steel,Fighting
#145,#639,,Terrakion,Rock,Fighting
#146,#640,,Virizion,Grass,Fighting
#147,#641,,Tornadus,Flying,
#148,#642,,Thundurus,Electric,Flying
#149,#643,,Reshiram,Dragon,Fire
#150,#644,,Zekrom,Dragon,Electric
#151,#645,,Landorus,Ground,Flying
#152,#646,,Kyurem,Dragon,Ice
#153,#647,,Keldeo,Water,Fighting
#154,#648,,Meloetta,Normal,Psychic
#154,#648,,Meloetta,Normal,Fighting
#155,#649,,Genesect,Bug,Steel
