Ndex,Menu Sprite,English,Traditional,Simplified,Pinyin,Yale
42,,Golbat,大嘴蝠,大嘴蝠,Dàzuǐfú,Daaihjéuifūk
43,,Oddish,走路草,走路草,Zǒulùcǎo,Jáulouhchóu
44,,Gloom,臭臭花,臭臭花,Chòuchòuhuā,Chauchaufā
45,,Vileplume,霸王花,霸王花,Bàwánghuā,Bawòhngfā
46,,Paras,派拉斯,派拉斯,Pàilāsī,Pāailāaisī
47,,Parasect,派拉斯特,派拉斯特,Pàilāsītè,Pāailāaisīdahk
48,,Venonat,毛球,毛球,Máoqiú,Mòuhkàuh
49,,Venomoth,摩魯蛾,摩鲁蛾,Mólǔ'é,Mōlóuh'ngòh
50,,Diglett,地鼠,地鼠,Dìshǔ,Deihsyú
51,,Dugtrio,三地鼠,三地鼠,Sāndìshǔ,Sāamdeihsyú
52,,Meowth,喵喵,喵喵,Miāomiāo,Mēumēu
53,,Persian,貓老大,猫老大,Māolǎodà,Māaulóuhdaaih
54,,Psyduck,可達鴨,可达鸭,Kědáyā,Hódaaht'aap
55,,Golduck,哥達鴨,哥达鸭,Gēdáyā,Gōdaaht'aap
56,,Mankey,猴怪,猴怪,Hóuguài,Hàuhgwaai
57,,Primeape,火爆猴,火暴猴,Huǒbàohóu,Fóbaauhàuh
58,,Growlithe,卡蒂狗,卡蒂狗,Kǎdìgǒu,Kādaigáu
59,,Arcanine,風速狗,风速狗,Fēngsùgǒu,Fūngchūkgáu
60,,Poliwag,蚊香蝌蚪,蚊香蝌蚪,Wénxiāngkēdǒu,Mānhēungfōdáu
61,,Poliwhirl,蚊香君,蚊香君,Wénxiāngjūn,Mānhēunggwān
62,,Poliwrath,蚊香泳士,蚊香泳士,Wénxiāngyǒngshì,Mānhēungwihngsih
63,,Abra,凱西,凯西,Kǎixī,Hóisāi
64,,Kadabra,勇基拉,勇基拉,Yǒngjīlā,Yúhnggēilāai
65,,Alakazam,胡地,胡地,Húdì,Wùhdeih
66,,Machop,腕力,腕力,Wànlì,Wúnlihk
67,,Machoke,豪力,豪力,Háolì,Hòuhlihk
68,,Machamp,怪力,怪力,Guàilì,Gwaailihk
69,,Bellsprout,喇叭芽,喇叭芽,Lǎbāyá,Lābā'ngàh
70,,Weepinbell,口呆花,口呆花,Kǒudāihuā,Háungòihfā
71,,Victreebel,大食花,大食花,Dàshíhuā,Daaihsihkfā
72,,Tentacool,瑪瑙水母,玛瑙水母,Mǎnǎoshuǐmǔ,Máhnóuhséuimóuh
73,,Tentacruel,毒刺水母,毒刺水母,Dúcìshuǐmǔ,Duhkchiséuimóuh
74,,Geodude,小拳石,小拳石,Xiǎoquánshí,Síukyùhnsehk
75,,Graveler,隆隆石,隆隆石,Lónglóngshí,Lùhnglùhngsehk
76,,Golem,隆隆岩,隆隆岩,Lónglóngyán,Lùhnglùhngngàahm
77,,Ponyta,小火馬,小火马,Xiǎohuǒmǎ,Síufómáh
78,,Rapidash,烈焰馬,烈焰马,Lièyànmǎ,Lihtyihmmáh
79,,Slowpoke,呆呆獸,呆呆兽,Dāidāishòu,Ngòingòihsau
80,,Slowbro,呆殼獸,呆壳兽,Dāikéshòu,Ngòihhoksau
81,,Magnemite,小磁怪,小磁怪,Xiǎocíguài,Síuchìhgwaai
82,,Magneton,三合一磁怪,三合一磁怪,Sānhéyīcíguài,Sāamhahpyātchìhgwaai
83,,Farfetch'd,大蔥鴨,大葱鸭,Dàcōngyā,Daaihchūng'aap
84,,Doduo,嘟嘟,嘟嘟,Dūdū,Dōudōu
85,,Dodrio,嘟嘟利,嘟嘟利,Dūdūlì,Dōudōuleih
86,,Seel,小海獅,小海狮,Xiǎohǎishī,Síuhóisī
87,,Dewgong,白海獅,白海狮,Báihǎishī,Baahkhóisī
88,,Grimer,臭泥,臭泥,Chòuní,Chaunàih
89,,Muk,臭臭泥,臭臭泥,Chòuchòuní,Chauchaunàih
90,,Shellder,大舌貝,大舌贝,Dàshébèi,Daaihsitbui
91,,Cloyster,刺甲貝,刺甲贝,Cìjiǎbèi,Chigaapbui
92,,Gastly,鬼斯,鬼斯,Guǐsī,Gwáisī
93,,Haunter,鬼斯通,鬼斯通,Guǐsītōng,Gwáisītūng
94,,Gengar,耿鬼,耿鬼,Gěngguǐ,Gánggwái
95,,Onix,大岩蛇,大岩蛇,Dàyánshé,Daaihngàahmsèh
96,,Drowzee,催眠貘,催眠貘,Cuīmiánmò,Chēuimìhnmohk
97,,Hypno,引夢貘人,引梦貘人,Yǐnmèngmòrén,Yáhnmuhngmohkyàhn
98,,Krabby,大鉗蟹,大钳蟹,Dàqiánxiè,Daaihkìhmháaih
99,,Kingler,巨鉗蟹,巨钳蟹,Jùqiánxiè,Geuihkìhmháaih
100,,Voltorb,霹靂電球,霹雳电球,Pīlìdiànqiú,Pīklīkdihnkàuh
101,,Electrode,頑皮雷彈,顽皮雷弹,Wánpíléidàn,Wàahnpèihlèuidáan
102,,Exeggcute,蛋蛋,蛋蛋,Dàndàn,Dàahndáan
103,,Exeggutor,椰蛋樹,椰蛋树,Yédànshù;,
"Yēdànshù""",Yèhdáansyuh,,,,,
104,,Cubone,卡拉卡拉,卡拉卡拉,Kǎlākǎlā,Kālāaikālāai
105,,Marowak,嘎啦嘎啦,嘎啦嘎啦,Gālagāla,Gālāaigālāai
106,,Hitmonlee,飛腿郎,飞腿郎,Fēituǐláng,Fēitéuilòhng
107,,Hitmonchan,快拳郎,快拳郎,Kuàiquánláng,Faaikyùhnlòhng
108,,Lickitung,大舌頭,大舌头,Dàshétóu,Daaihsittàuh
109,,Koffing,瓦斯彈,瓦斯弹,Wǎsīdàn,Ngáhsīdáan
110,,Weezing,雙彈瓦斯,双弹瓦斯,Shuāngdànwǎsī,Sēungdáanngáhsī
111,,Rhyhorn,獨角犀牛,独角犀牛,Dújiǎoxīniú,Duhkgoksāingàuh
112,,Rhydon,鑽角犀獸,钻角犀兽,Zuānjiǎoxīshòu,Jyungoksāisau
113,,Chansey,吉利蛋,吉利蛋,Jílìdàn,Gātleihdáan
114,,Tangela,蔓藤怪,蔓藤怪,Mànténgguài,Maahntàhnggwaai
115,,Kangaskhan,袋獸,袋兽,Dàishòu,Doihsau
116,,Horsea,墨海馬,墨海马,Mòhǎimǎ,Mahkhóimáh
117,,Seadra,海刺龍,海刺龙,Hǎicìlóng,Hóichilùhng
118,,Goldeen,角金魚,角金鱼,Jiǎojīnyú,Gokgāmyùh
119,,Seaking,金魚王,金鱼王,Jīnyúwáng,Gāmyùhwòhng
120,,Staryu,海星星,海星星,Hǎixīngxīng,Hóisīngsīng
121,,Starmie,寶石海星,宝石海星,Bǎoshíhǎixīng,Bóusehkhóisīng
122,,Mr. Mime,魔牆人偶,魔墙人偶,Móqiángrénǒu,Mōchèuhngyàhnngáuh
123,,Scyther,飛天螳螂,飞天螳螂,Fēitiāntángláng,Fēitīntòhnglòhng
124,,Jynx,迷唇姐,迷唇姐,Míchúnjiě,Màihsèuhnjé
125,,Electabuzz,電擊獸,电击兽,Diànjíshòu;,
"Diànjīshòu""",Dihngīksau,,,,,
126,,Magmar,鴨嘴火獸,鸭嘴火兽,Yāzuǐhuǒshòu,Aapjéuifósau
127,,Pinsir,凱羅斯,凯罗斯,Kǎiluósī,Hóilòhsī
128,,Tauros,肯泰羅,肯泰罗,Kěntàiluó,Hángtaailòh
129,,Magikarp,鯉魚王,鲤鱼王,Lǐyúwáng,Léihyùhwòhng
130,,Gyarados,暴鯉龍,暴鲤龙,Bàolǐlóng,Bouhléihlùhng
131,,Lapras,拉普拉斯,拉普拉斯,Lāpǔlāsī,Lāaipóulāaisī
132,,Ditto,百變怪,百变怪,Bǎibiànguài,Baakbingwaai
133,,Eevee,伊布,伊布,Yībù,Yībou
134,,Vaporeon,水伊布,水伊布,Shuǐyībù,Séuiyībou
135,,Jolteon,雷伊布,雷伊布,Léiyībù,Lèuihyībou
136,,Flareon,火伊布,火伊布,Huǒyībù,Fóyībou
137,,Porygon,多邊獸,多边兽,Duōbiānshòu,Dōbīnsau
138,,Omanyte,菊石獸,菊石兽,Júshíshòu,Gūksehksau
139,,Omastar,多刺菊石獸,多刺菊石兽,Duōcìjúshíshòu,Dōchigūksehksau
140,,Kabuto,化石盔,化石盔,Huàshíkuī,Fasehkkwāi
141,,Kabutops,鐮刀盔,镰刀盔,Liándāokuī,Lìhmdōukwāi
142,,Aerodactyl,化石翼龍,化石翼龙,Huàshíyìlóng,Fasehkyihklùhng
143,,Snorlax,卡比獸,卡比兽,Kǎbǐshòu,Kābéisau
144,,Articuno,急凍鳥,急冻鸟,Jídòngniǎo,Gāpdungníuh
145,,Zapdos,閃電鳥,闪电鸟,Shǎndiànniǎo,Símdihnníuh
146,,Moltres,火焰鳥,火焰鸟,Huǒyànniǎo,Fóyihmníuh
147,,Dratini,迷你龍,迷你龙,Mínǐlóng,Màihnéihlùhng
148,,Dragonair,哈克龍,哈克龙,Hākèlóng,Hāhāklùhng
149,,Dragonite,快龍,快龙,Kuàilóng,Faailùhng
150,,Mewtwo,超夢,超梦,Chāomèng,Chīumuhng
151,,Mew,夢幻,梦幻,Mènghuàn,Muhngwaahn
152,,Chikorita,菊草葉,菊草叶,Júcǎoyè,Gūkchóuyihp
153,,Bayleef,月桂葉,月桂叶,Yuèguìyè,Yuhtgwaiyihp
154,,Meganium,大竺葵,大竺葵,Dàzhúkuí,Daaihjūkkwàih
155,,Cyndaquil,火球鼠,火球鼠,Huǒqiúshǔ,Fókàuhsyú
156,,Quilava,火岩鼠,火岩鼠,Huǒyánshǔ,Fóngàahmsyú
157,,Typhlosion,火爆獸,火暴兽,Huǒbàoshòu,Fóbaausau
158,,Totodile,小鋸鱷,小锯鳄,Xiǎojù'è,Síugeungohk
159,,Croconaw,藍鱷,蓝鳄,Lán'è,Làahmngohk
160,,Feraligatr,大力鱷,大力鳄,Dàlì'è,Daaihlihkngohk
161,,Sentret,尾立,尾立,Wěilì,Méihlaahp
162,,Furret,大尾立,大尾立,Dàwěilì,Daaihméihlaahp
163,,Hoothoot,咕咕,咕咕,Gūgū,Gūgū
164,,Noctowl,貓頭夜鷹,猫头夜鹰,Māotóuyèyīng,Māautàuhyehyīng
165,,Ledyba,芭瓢蟲,芭瓢虫,Bāpiáochóng,Bāpìuhchùhng
166,,Ledian,安瓢蟲,安瓢虫,Ānpiáochóng,Ōnpìuhchùhng
167,,Spinarak,圓絲蛛,圆丝蛛,Yuánsīzhū,Yùhnsījyū
168,,Ariados,阿利多斯,阿利多斯,Ālìduōsī,Aleihdōsī
169,,Crobat,叉字蝠,叉字蝠,Chāzìfú,Chājihfūk
170,,Chinchou,燈籠魚,灯笼鱼,Dēnglóngyú,Dānglùhngyùh
171,,Lanturn,電燈怪,电灯怪,Diàndēngguài,Dihndānggwaai
172,,Pichu,皮丘,皮丘,Píqiū,Pèihyāu
173,,Cleffa,皮寶寶,皮宝宝,Píbǎobao,Pèihbóubóu
174,,Igglybuff,寶寶丁,宝宝丁,Bǎobaodīng,Bóubóudīng
175,,Togepi,波克比,波克比,Bōkèbǐ,Bōhākbéi
176,,Togetic,波克基古,波克基古,Bōkèjīgǔ,Bōhākgēigú
177,,Natu,天然雀,天然雀,Tiānránquè,Tīnyìhnjéuk
178,,Xatu,天然鳥,天然鸟,Tiānránniǎo,Tīnyìhnníuh
179,,Mareep,咩利羊,咩利羊,Miēlìyáng,Mēleihyèuhng
180,,Flaaffy,茸茸羊,茸茸羊,Róngróngyáng,Yùhngyùhngyèuhng
181,,Ampharos,電龍,电龙,Diànlóng,Dihnlùhng
182,,Bellossom,美麗花,美丽花,Měilìhuā,Méihlaihfā
183,,Marill,瑪力露,玛力露,Mǎlìlù,Máhlihklouh
184,,Azumarill,瑪力露麗,玛力露丽,Mǎlìlùlì,Máhlihklouhlaih
185,,Sudowoodo,樹才怪,树才怪‎,Shùcáiguài,Syuhchòihgwaai
186,,Politoed,蚊香蛙皇,蚊香蛙皇,Wénxiāngwāhuáng,Mānhēungwāwòhng
187,,Hoppip,毽子草,毽子草,Jiànzǐcǎo,Yínjíchóu
188,,Skiploom,毽子花,毽子花,Jiànzǐhuā,Yínjífā
189,,Jumpluff,毽子棉,毽子棉,Jiànzǐmián,Yínjímìhn
190,,Aipom,長尾怪手,长尾怪手,Chángwěiguàishǒu,Chèuhngméihgwaaisáu
191,,Sunkern,向日種子,向日种子,Xiàngrìzhǒngzǐ,Heungyahtjúngjí
192,,Sunflora,向日花怪,向日花怪,Xiàngrìhuāguài,Heungyahtfāgwaai
193,,Yanma,蜻蜻蜓,蜻蜻蜓,Qīngqīngtíng,Chīngchīngtìhng
194,,Wooper,烏波,乌波,Wūbō,Wūbō
195,,Quagsire,沼王,沼王,Zhǎowáng,Jíuwòhng
196,,Espeon,太陽伊布,太阳伊布,Tàiyángyībù,Taaiyèuhngyībou
197,,Umbreon,月亮伊布,月亮伊布,Yuèliàngyībù,Yuhtleuhngyībou
198,,Murkrow,黑暗鴉,黑暗鸦,Hēi'ànyā,Hāk'am'ā
199,,Slowking,呆呆王,呆呆王,Dāidāiwáng,Ngòingòihwòhng
200,,Misdreavus,夢妖,梦妖,Mèngyāo,Muhngyíu
201,,Unown,未知圖騰,未知图腾,Wèizhītúténg,Meihjītòuhtàhng
202,,Wobbuffet,果然翁,果然翁,Guǒránwēng,Gwóyìhnyūng
203,,Girafarig,麒麟奇,麒麟奇,Qílínqí,Kèihlèuhnkèih
204,,Pineco,榛果球,榛果球,Zhēnguǒqiú,Jēungwókàuh
205,,Forretress,佛烈托斯,佛烈托斯,Fúliètuōsī,Fahtlihttoksī
206,,Dunsparce,土龍弟弟,土龙弟弟,Tǔlóngdìdì,Tóulùhngdàihdái
207,,Gligar,天蠍,天蝎,Tiānxiē,Tīnkit
208,,Steelix,大鋼蛇,大钢蛇,Dàgāngshé,Daaihgongsèh
209,,Snubbull,布魯,布鲁,Bùlú,Boulóuh
210,,Granbull,布魯皇,布鲁皇,Bùlǔhuáng,Boulóuhwòhng
211,,Qwilfish,千針魚,千针鱼,Qiānzhēnyú,Chīnjāmyùh
212,,Scizor,巨鉗螳螂,巨钳螳螂,Jùqiántángláng,Geuihkìhmtòhnglòhng
213,,Shuckle,壺壺,壶壶,Húhú,Wùhwùh
214,,Heracross,赫拉克羅斯,赫拉克罗斯,Hèlākèluósī,Hāklāaihāklòhsī
215,,Sneasel,狃拉,狃拉,Niǔlā,Náulāai
216,,Teddiursa,熊寶寶,熊宝宝,Xióngbǎobao,Hùhngbóubóu
217,,Ursaring,圈圈熊,圈圈熊,Quānquānxióng,Hyūnhyūnhùhng
218,,Slugma,熔岩蟲,熔岩虫,Róngyánchóng,Yùhngngàahmchùhng
219,,Magcargo,熔岩蝸牛,熔岩蜗牛,Róngyánguāniú;,
"Róngyánwōniú""",Yùhngngàahmwōngàuh,,,,,
220,,Swinub,小山豬,小山猪,Xiǎoshānzhū,Síusāanjyū
221,,Piloswine,長毛豬,长毛猪,Chángmáozhū,Chèuhngmòuhjyū
222,,Corsola,太陽珊瑚,太阳珊瑚,Tàiyángshānhú,Taaiyèuhngsāanwùh
223,,Remoraid,鐵炮魚,铁炮鱼,Tiěpàoyú,Titpaauyùh
224,,Octillery,章魚桶,章鱼桶,Zhāngyútǒng,Jēungyùhtúng
225,,Delibird,信使鳥,信使鸟,Xìnshǐniǎo,Seunsíníuh
226,,Mantine,巨翅飛魚,巨翅飞鱼,Jùchìfēiyú,Geuihchifēiyùh
227,,Skarmory,盔甲鳥,盔甲鸟,Kuījiǎniǎo,Kwāigaapníuh
228,,Houndour,戴魯比,戴鲁比,Dàilǔbǐ,Daailóuhbéi
229,,Houndoom,黑魯加,黑鲁加,Hēilǔjiā,Hāklóuhgā
230,,Kingdra,刺龍王,刺龙王,Cìlóngwáng,Chilùhngwòhng
231,,Phanpy,小小象,小小象,Xiǎoxiǎoxiàng,Síusíujeuhng
232,,Donphan,頓甲,顿甲,Dùnjiǎ,Deuhngaap
233,,Porygon2,多邊獸Ⅱ,多边兽２型,Duōbiānshòu-II;,
"Duōbiānshòu Èrxíng""",Dōbīnsau-II,,,,,
234,,Stantler,驚角鹿,惊角鹿,Jīngjiǎolù,Gīnggokluhk
235,,Smeargle,圖圖犬,图图犬,Tútúquǎn,Tòuhtòuhhyún
236,,Tyrogue,無畏小子,无畏小子,Wúwèixiǎozi,Mòuhwaisíují
237,,Hitmontop,戰舞郎,战舞郎,Zhànwǔláng,Jinmóuhlòhng
238,,Smoochum,迷唇娃,迷唇娃,Míchúnwá,Màihsèuhnwā
239,,Elekid,電擊怪,电击怪,Diànjíguài,Dihngīkgwaai
240,,Magby,鴨嘴寶寶,鸭嘴宝宝,Yāzuǐbǎobao,Aapjéuibóubóu
241,,Miltank,大奶罐,大奶罐,Dànǎiguàn,Daaihnáaihgun
242,,Blissey,幸福蛋,幸福蛋,Xìngfúdàn,Hahngfūkdáan
243,,Raikou,雷公,雷公,Léigōng,Lèuihgūng
244,,Entei,炎帝,炎帝,Yándì,Yìhmdai
245,,Suicune,水君,水君,Shuǐjūn,Séuigwān
246,,Larvitar,幼基拉斯,幼基拉斯,Yòujīlāsī,Yaugēilāaisī
247,,Pupitar,沙基拉斯,沙基拉斯,Shājīlāsī,Sāgēilāaisī
248,,Tyranitar,班基拉斯,班基拉斯,Bānjīlāsī,Bāangēilāaisī
249,,Lugia,洛奇亞,洛奇亚,Luòqíyǎ;,
"Luòqíyà""",Lokkèih'a,,,,,
250,,Ho-Oh,鳳王,凤王,Fèngwáng,Fuhngwòhng
251,,Celebi,時拉比,时拉比,Shílābǐ,Sìhlāaibéi
252,,Treecko,木守宮,木守宫,Mùshǒugōng,Muhksáugūng
253,,Grovyle,森林蜥蜴,森林蜥蜴,Sēnlínxīyì,Sāmlàhmsīkyihk
254,,Sceptile,蜥蜴王,蜥蜴王,Xīyìwáng,Sīkyihkwòhng
255,,Torchic,火稚雞,火稚鸡,Huǒzhìjī,Fójigāi
256,,Combusken,力壯雞,力壮鸡,Lìzhuàngjī,Lihkjohnggāi
257,,Blaziken,火焰雞,火焰鸡,Huǒyànjī,Fóyihmgāi
258,,Mudkip,水躍魚,水跃鱼,Shuǐyuèyú,Séuiyeuhkyùh
259,,Marshtomp,沼躍魚,沼跃鱼,Zhǎoyuèyú,Jíuyeuhkyùh
260,,Swampert,巨沼怪,巨沼怪,Jùzhǎoguài,Geuihjíugwaai
261,,Poochyena,土狼犬,土狼犬,Tǔlángquǎn,Tóulòhnghyún
262,,Mightyena,大狼犬,大狼犬,Dàlángquǎn,Daaihlòhnghyún
263,,Zigzagoon,蛇紋熊,蛇纹熊,Shéwénxióng,Sèhmàhnhùhng
264,,Linoone,直衝熊,直冲熊,Zhíchōngxióng,Jihkchūnghùhng
265,,Wurmple,刺尾蟲,刺尾虫,Cìwěichóng,Chiméihchùhng
266,,Silcoon,甲殼繭,甲壳茧,Jiǎkéjiǎn,Gaaphokgáan
267,,Beautifly,狩獵鳳蝶,狩猎凤蝶,Shòulièfèngdié,Saulihpfuhngdihp
268,,Cascoon,盾甲繭,盾甲茧,Dùnjiǎjiǎn,Téuhngaapgáan
269,,Dustox,毒粉蛾,毒粉蛾,Dúfěn'é,Duhkfanngòh
270,,Lotad,蓮葉童子,莲叶童子,Liányètóngzǐ,Lìhnyihptùhngjí
271,,Lombre,蓮帽小童,莲帽小童,Liánmàoxiǎotóng,Lìhnmóusíutùhng
272,,Ludicolo,樂天河童,乐天河童,Lètiānhétóng,Lohktīnhòhtùhng
273,,Seedot,橡實果,橡实果,Xiàngshíguǒ,Jeuhngsahtgwó
274,,Nuzleaf,長鼻葉,长鼻叶,Chángbíyè,Chèuhngbeihyihp
275,,Shiftry,狡猾天狗,狡猾天狗,Jiǎohuátiāngǒu,Gáauwaahttīngáu
276,,Taillow,傲骨燕,傲骨燕,Àogǔyàn,Ngouhgwātyin
277,,Swellow,大王燕,大王燕,Dàwángyàn,Daaihwòhngyin
278,,Wingull,長翅鷗,长翅鸥,Chángchì'ōu,Chèuhngchi'āu
279,,Pelipper,大嘴鷗,大嘴鸥,Dàzuǐ'ōu,Daaihjéui'āu
280,,Ralts,拉魯拉絲,拉鲁拉丝,Lālǔlāsī,Lāailóuhlāaisī
281,,Kirlia,奇魯莉安,奇鲁莉安,Qílǔlì'ān,Kèihlouhleih'ōn
282,,Gardevoir,沙奈朵,沙奈朵,Shānàiduǒ,Sānoihdó
283,,Surskit,溜溜糖球,溜溜糖球,Liūliūtángqiú,Līulīutóngkàuh
284,,Masquerain,雨翅蛾,雨翅蛾,Yǔchì'é,Yúhchi'ngòh
285,,Shroomish,蘑蘑菇,蘑蘑菇,Mómógū,Mòhmòhgū
286,,Breloom,斗笠菇,斗笠菇,Dǒulìgū,Dáulāpgū
287,,Slakoth,懶人獺,懒人獭,Lǎnréntà;,
"Lǎnréntǎ""",Láahnyàhnchaat,,,,,
288,,Vigoroth,過動猿,过动猿,Guòdòngyuán,Gwoduhngyùhn
289,,Slaking,請假王,请假王,Qǐngjiàwáng,Chénggawòhng
290,,Nincada,土居忍士,土居忍士,Tǔjūrěnshì,Tóugēuiyáhnsih
291,,Ninjask,鐵面忍者,铁面忍者,Tiěmiànrěnzhě,Titmihnyánjé
292,,Shedinja,脫殼忍者,脱壳忍者,Tuōkérěnzhě,Tyuthokyánjé
293,,Whismur,咕妞妞,咕妞妞,Gūniūniū,Gūnáunáu
294,,Loudred,吼爆彈,吼爆弹,Hǒubàodàn,Hāubaaudáan
295,,Exploud,爆音怪,爆音怪,Bàoyīnguài,Baauyāmgwaai
296,,Makuhita,幕下力士,幕下力士,Mùxiàlìshì,Mohkhahlihksih
297,,Hariyama,鐵掌力士,铁掌力士,Tiězhǎnglìshì,Titjéunglihksih
298,,Azurill,露力麗,露力丽,Lùlìlì,Louhlihklaih
299,,Nosepass,朝北鼻,朝北鼻,Cháoběibí,Chìuhbākbeih
300,,Skitty,向尾喵,向尾喵,Xiàngwěimiāo,Héungméihmēu
301,,Delcatty,優雅貓,优雅猫,Yōuyǎmāo,Yāungáhmāau
302,,Sableye,勾魂眼,勾魂眼,Gōuhúnyǎn,Ngāuwàhnngáahn
303,,Mawile,大嘴娃,大嘴娃,Dàzuǐwá,Daaihjéuiwā
304,,Aron,可可多拉,可可多拉,Kěkěduōlā,Hóhódōlāai
305,,Lairon,可多拉,可多拉,Kěduōlā,Hódōlāai
306,,Aggron,波士可多拉,波士可多拉,Bōshìkěduōlā,Bōsihhódōlāai
307,,Meditite,瑪沙那,玛沙那,Mǎshānà,Máhsānáh
308,,Medicham,恰雷姆,恰雷姆,Qiàléimǔ,Hāplèuihmóuh
309,,Electrike,落雷獸,落雷兽,Luòléishòu,Lohklèuihsau
310,,Manectric,雷電獸,雷电兽,Léidiànshòu,Lèuihdihnsau
311,,Plusle,正電拍拍,正电拍拍,Zhèngdiànpāipāi,Jingdihnpaakpaak
312,,Minun,負電拍拍,负电拍拍,Fùdiànpāipāi,Fuhdihnpaakpaak
313,,Volbeat,電螢蟲,电萤虫,Diànyíngchóng,Dihnyìhngchùhng
314,,Illumise,甜甜螢,甜甜萤,Tiántiányíng,Tìhmtìhmyìhng
315,,Roselia,毒薔薇,毒蔷薇,Dúqiángwéi;,
"Dúqiángwēi""",Duhkchèuhngmèih,,,,,
316,,Gulpin,溶食獸,溶食兽,Róngshíshòu,Yùhngsihksau
317,,Swalot,吞食獸,吞食兽,Tūnshíshòu,Tānsihksau
318,,Carvanha,利牙魚,利牙鱼,Lìyáyú,Leihngàh'yùh
319,,Sharpedo,巨牙鯊,巨牙鲨,Jùyáshā,Geuihngàhsā
320,,Wailmer,吼吼鯨,吼吼鲸,Hǒuhǒujīng,Háuháukìhng
321,,Wailord,吼鯨王,吼鲸王,Hǒujīngwáng,Háukìhngwòhng
322,,Numel,呆火駝,呆火驼,Dāihuǒtuó,Ngòihfótòh
323,,Camerupt,噴火駝,喷火驼,Pēnhuǒtuó,Panfótòh
324,,Torkoal,煤炭龜,煤炭龟,Méitàngūi,Mùihtaangwāi
325,,Spoink,跳跳豬,跳跳猪,Tiàotiàozhū,Tiutiujyū
326,,Grumpig,噗噗豬,噗噗猪,Pūpūzhū,Pokpokjyū
327,,Spinda,晃晃斑,晃晃斑,Huànghuàngbān,Fóngfóngbāan
328,,Trapinch,大顎蟻,大颚蚁,Dà'èyǐ,Daaihngohkngáih
