IoAdex,Ndex,Menu Sprite,Pokémon,Type 1,Type 2
#155,#525,,Boldore,Rock,
#156,#526,,Gigalith,Rock,
#157,#744,,Rockruff,Rock,
#158,#745,,Lycanroc,Rock,
#159,#757,,Salandit,Poison,Fire
#160,#758,,Salazzle,Poison,Fire
#161,#559,,Scraggy,Dark,Fighting
#162,#560,,Scrafty,Dark,Fighting
#163,#619,,Mienfoo,Fighting,
#164,#620,,Mienshao,Fighting,
#165,#782,,Jangmo-o,Dragon,
#166,#783,,Hakamo-o,Dragon,Fighting
#167,#784,,Kommo-o,Dragon,Fighting
#168,#027,,Sandshrew,Ground,
#168,#027,,Sandshrew,Ice,Steel
#169,#028,,Sandslash,Ground,
#169,#028,,Sandslash,Ice,Steel
#170,#104,,Cubone,Ground,
#171,#105,,Marowak,Ground,
#171,#105,,Marowak,Fire,Ghost
#172,#115,,Kangaskhan,Normal,
#173,#324,,Torkoal,Fire,
#174,#843,,Silicobra,Ground,
#175,#844,,Sandaconda,Ground,
#176,#551,,Sandile,Ground,Dark
#177,#552,,Krokorok,Ground,Dark
#178,#553,,Krookodile,Ground,Dark
#179,#627,,Rufflet,Normal,Flying
#180,#628,,Braviary,Normal,Flying
#181,#629,,Vullaby,Dark,Flying
#182,#630,,Mandibuzz,Dark,Flying
#183,#111,,Rhyhorn,Ground,Rock
#184,#112,,Rhydon,Ground,Rock
#185,#464,,Rhyperior,Ground,Rock
#186,#636,,Larvesta,Bug,Fire
#187,#637,,Volcarona,Bug,Fire
#188,#170,,Chinchou,Water,Electric
#189,#171,,Lanturn,Water,Electric
#190,#320,,Wailmer,Water,
#191,#321,,Wailord,Water,
#192,#592,,Frillish,Water,Ghost
#192,#592,,Frillish,Water,Ghost
#193,#593,,Jellicent,Water,Ghost
#193,#593,,Jellicent,Water,Ghost
#194,#690,,Skrelp,Poison,Water
#195,#691,,Dragalge,Poison,Dragon
#196,#692,,Clauncher,Water,
#197,#693,,Clawitzer,Water,
#198,#116,,Horsea,Water,
#199,#117,,Seadra,Water,
#200,#230,,Kingdra,Water,Dragon
#201,#548,,Petilil,Grass,
#202,#549,,Lilligant,Grass,
#203,#415,,Combee,Bug,Flying
#204,#416,,Vespiquen,Bug,Flying
#205,#102,,Exeggcute,Grass,Psychic
#206,#103,,Exeggutor,Grass,Psychic
#206,#103,,Exeggutor,Grass,Dragon
#207,#132,,Ditto,Normal,
#208,#137,,Porygon,Normal,
#209,#233,,Porygon2,Normal,
#210,#474,,Porygon-Z,Normal,
#211,#893,,Zarude,Dark,Grass
