Udex,Ndex,Menu Sprite,Pokémon,Type 1,Type 2
#130,#599,,Klink,Steel,
#131,#600,,Klang,Steel,
#132,#601,,Klinklang,Steel,
#133,#406,,Budew,Grass,Poison
#134,#315,,Roselia,Grass,Poison
#135,#407,,Roserade,Grass,Poison
#136,#574,,Gothita,Psychic,
#137,#575,,Gothorita,Psychic,
#138,#576,,Gothitelle,Psychic,
#139,#577,,Solosis,Psychic,
#140,#578,,Duosion,Psychic,
#141,#579,,Reuniclus,Psychic,
#142,#415,,Combee,Bug,Flying
#143,#416,,Vespiquen,Bug,Flying
#144,#587,,Emolga,Electric,Flying
#145,#214,,Heracross,Bug,Fighting
#146,#127,,Pinsir,Bug,
#147,#522,,Blitzle,Electric,
#148,#523,,Zebstrika,Electric,
#149,#418,,Buizel,Water,
#150,#419,,Floatzel,Water,
#151,#570,,Zorua,Dark,
#152,#571,,Zoroark,Dark,
#153,#580,,Ducklett,Water,Flying
#154,#581,,Swanna,Water,Flying
#155,#588,,Karrablast,Bug,
#156,#589,,Escavalier,Bug,Steel
#157,#616,,Shelmet,Bug,
#158,#617,,Accelgor,Bug,
#159,#585,,Deerling,Normal,Grass
#160,#586,,Sawsbuck,Normal,Grass
#161,#590,,Foongus,Grass,Poison
#162,#591,,Amoonguss,Grass,Poison
#163,#351,,Castform,Normal,
#164,#299,,Nosepass,Rock,
#165,#476,,Probopass,Rock,Steel
#166,#304,,Aron,Steel,Rock
#167,#305,,Lairon,Steel,Rock
#168,#306,,Aggron,Steel,Rock
#169,#343,,Baltoy,Ground,Psychic
#170,#344,,Claydol,Ground,Psychic
#171,#636,,Larvesta,Bug,Fire
#172,#637,,Volcarona,Bug,Fire
#173,#595,,Joltik,Bug,Electric
#174,#596,,Galvantula,Bug,Electric
#175,#597,,Ferroseed,Grass,Steel
#176,#598,,Ferrothorn,Grass,Steel
#177,#602,,Tynamo,Electric,
#178,#603,,Eelektrik,Electric,
#179,#604,,Eelektross,Electric,
#180,#592,,Frillish,Water,Ghost
#180,#592,,Frillish,Water,Ghost
#181,#593,,Jellicent,Water,Ghost
#181,#593,,Jellicent,Water,Ghost
#182,#594,,Alomomola,Water,
#183,#610,,Axew,Dragon,
#184,#611,,Fraxure,Dragon,
#185,#612,,Haxorus,Dragon,
#186,#335,,Zangoose,Normal,
#187,#336,,Seviper,Poison,
#188,#605,,Elgyem,Psychic,
#189,#606,,Beheeyem,Psychic,
#190,#607,,Litwick,Ghost,Fire
#191,#608,,Lampent,Ghost,Fire
#192,#609,,Chandelure,Ghost,Fire
#193,#631,,Heatmor,Fire,
#194,#632,,Durant,Bug,Steel
#195,#613,,Cubchoo,Ice,
#196,#614,,Beartic,Ice,
#197,#615,,Cryogonal,Ice,
#198,#641,,Tornadus,Flying,
#198,#641,,Tornadus,Flying,
#199,#642,,Thundurus,Electric,Flying
#199,#642,,Thundurus,Electric,Flying
#200,#645,,Landorus,Ground,Flying
#200,#645,,Landorus,Ground,Flying
#201,#451,,Skorupi,Poison,Bug
#202,#452,,Drapion,Poison,Dark
#203,#227,,Skarmory,Steel,Flying
#204,#322,,Numel,Fire,Ground
#205,#323,,Camerupt,Fire,Ground
#206,#325,,Spoink,Psychic,
#207,#326,,Grumpig,Psychic,
#208,#425,,Drifloon,Ghost,Flying
#209,#426,,Drifblim,Ghost,Flying
#210,#353,,Shuppet,Ghost,
#211,#354,,Banette,Ghost,
#212,#278,,Wingull,Water,Flying
#213,#279,,Pelipper,Water,Flying
#214,#337,,Lunatone,Rock,Psychic
#215,#338,,Solrock,Rock,Psychic
#216,#359,,Absol,Dark,
#217,#114,,Tangela,Grass,
#218,#465,,Tangrowth,Grass,
#219,#619,,Mienfoo,Fighting,
#220,#620,,Mienshao,Fighting,
#221,#207,,Gligar,Ground,Flying
#222,#472,,Gliscor,Ground,Flying
#223,#624,,Pawniard,Dark,Steel
#224,#625,,Bisharp,Dark,Steel
#225,#638,,Cobalion,Steel,Fighting
#226,#639,,Terrakion,Rock,Fighting
#227,#640,,Virizion,Grass,Fighting
#228,#535,,Tympole,Water,
#229,#536,,Palpitoad,Water,Ground
#230,#537,,Seismitoad,Water,Ground
#231,#618,,Stunfisk,Ground,Electric
#232,#213,,Shuckle,Bug,Rock
#233,#458,,Mantyke,Water,Flying
#234,#226,,Mantine,Water,Flying
#235,#223,,Remoraid,Water,
#236,#224,,Octillery,Water,
#237,#222,,Corsola,Water,Rock
#238,#120,,Staryu,Water,
#239,#121,,Starmie,Water,Psychic
#240,#320,,Wailmer,Water,
#241,#321,,Wailord,Water,
#242,#131,,Lapras,Water,Ice
#243,#363,,Spheal,Ice,Water
#244,#364,,Sealeo,Ice,Water
#245,#365,,Walrein,Ice,Water
#246,#333,,Swablu,Normal,Flying
#247,#334,,Altaria,Dragon,Flying
#248,#037,,Vulpix,Fire,
#249,#038,,Ninetales,Fire,
#250,#436,,Bronzor,Steel,Psychic
#251,#437,,Bronzong,Steel,Psychic
#252,#215,,Sneasel,Dark,Ice
#253,#461,,Weavile,Dark,Ice
#254,#225,,Delibird,Ice,Flying
#255,#582,,Vanillite,Ice,
#256,#583,,Vanillish,Ice,
#257,#584,,Vanilluxe,Ice,
#258,#220,,Swinub,Ice,Ground
#259,#221,,Piloswine,Ice,Ground
#260,#473,,Mamoswine,Ice,Ground
#261,#132,,Ditto,Normal,
#262,#374,,Beldum,Steel,Psychic
#263,#375,,Metang,Steel,Psychic
#264,#376,,Metagross,Steel,Psychic
#265,#086,,Seel,Water,
#266,#087,,Dewgong,Water,Ice
#267,#538,,Throh,Fighting,
#268,#539,,Sawk,Fighting,
#269,#626,,Bouffalant,Normal,
#270,#621,,Druddigon,Dragon,
#271,#622,,Golett,Ground,Ghost
#272,#623,,Golurk,Ground,Ghost
#273,#633,,Deino,Dark,Dragon
#274,#634,,Zweilous,Dark,Dragon
#275,#635,,Hydreigon,Dark,Dragon
#276,#287,,Slakoth,Normal,
#277,#288,,Vigoroth,Normal,
#278,#289,,Slaking,Normal,
#279,#341,,Corphish,Water,
#280,#342,,Crawdaunt,Water,Dark
#281,#174,,Igglybuff,Normal,
#282,#039,,Jigglypuff,Normal,
#283,#040,,Wigglytuff,Normal,
#284,#108,,Lickitung,Normal,
#285,#463,,Lickilicky,Normal,
#286,#193,,Yanma,Bug,Flying
#287,#469,,Yanmega,Bug,Flying
#288,#357,,Tropius,Grass,Flying
#289,#455,,Carnivine,Grass,
#290,#453,,Croagunk,Poison,Fighting
#291,#454,,Toxicroak,Poison,Fighting
#292,#246,,Larvitar,Rock,Ground
#293,#247,,Pupitar,Rock,Ground
#294,#248,,Tyranitar,Rock,Dark
#295,#643,,Reshiram,Dragon,Fire
#296,#644,,Zekrom,Dragon,Electric
#297,#646,,Kyurem,Dragon,Ice
#297,#646,,Kyurem,Dragon,Ice
#297,#646,,Kyurem,Dragon,Ice
#298,#647,,Keldeo,Water,Fighting
#298,#647,,Keldeo,Water,Fighting
#299,#648,,Meloetta,Normal,Psychic
#299,#648,,Meloetta,Normal,Fighting
#300,#649,,Genesect,Bug,Steel
