Ndex,Menu Sprite,English,French
166,,Ledian,Coxyclaque
167,,Spinarak,Mimigal
168,,Ariados,Migalos
169,,Crobat,Nostenfer
170,,Chinchou,Loupio
171,,Lanturn,Lanturn
172,,Pichu,Pichu
173,,Cleffa,Mélo
174,,Igglybuff,Toudoudou
175,,Togepi,Togepi
176,,Togetic,Togetic
177,,Natu,Natu
178,,Xatu,Xatu
179,,Mareep,Wattouat
180,,Flaaffy,Lainergie
181,,Ampharos,Pharamp
182,,Bellossom,Joliflor
183,,Marill,Marill
184,,Azumarill,Azumarill
185,,Sudowoodo,Simularbre
186,,Politoed,Tarpaud
187,,Hoppip,Granivol
188,,Skiploom,Floravol
189,,Jumpluff,Cotovol
190,,Aipom,Capumain
191,,Sunkern,Tournegrin
192,,Sunflora,Héliatronc
193,,Yanma,Yanma
194,,Wooper,Axoloto
195,,Quagsire,Maraiste
196,,Espeon,Mentali
197,,Umbreon,Noctali
198,,Murkrow,Cornèbre
199,,Slowking,Roigada
200,,Misdreavus,Feuforêve
201,,Unown,Zarbi
202,,Wobbuffet,Qulbutoké
203,,Girafarig,Girafarig
204,,Pineco,Pomdepik
205,,Forretress,Foretress
206,,Dunsparce,Insolourdo
207,,Gligar,Scorplane
208,,Steelix,Steelix
209,,Snubbull,Snubbull
210,,Granbull,Granbull
211,,Qwilfish,Qwilfish
212,,Scizor,Cizayox
213,,Shuckle,Caratroc
214,,Heracross,Scarhino
215,,Sneasel,Farfuret
216,,Teddiursa,Teddiursa
217,,Ursaring,Ursaring
218,,Slugma,Limagma
219,,Magcargo,Volcaropod
220,,Swinub,Marcacrin
221,,Piloswine,Cochignon
222,,Corsola,Corayon
223,,Remoraid,Rémoraid
224,,Octillery,Octillery
225,,Delibird,Cadoizo
226,,Mantine,Démanta
227,,Skarmory,Airmure
228,,Houndour,Malosse
229,,Houndoom,Démolosse
230,,Kingdra,Hyporoi
231,,Phanpy,Phanpy
232,,Donphan,Donphan
233,,Porygon2,Porygon2
234,,Stantler,Cerfrousse
235,,Smeargle,Queulorior
236,,Tyrogue,Debugant
237,,Hitmontop,Kapoera
238,,Smoochum,Lippouti
239,,Elekid,Élekid
240,,Magby,Magby
241,,Miltank,Écrémeuh
242,,Blissey,Leuphorie
243,,Raikou,Raikou
244,,Entei,Entei
245,,Suicune,Suicune
246,,Larvitar,Embrylex
247,,Pupitar,Ymphect
248,,Tyranitar,Tyranocif
249,,Lugia,Lugia
250,,Ho-Oh,Ho-Oh
251,,Celebi,Celebi
252,,Treecko,Arcko
253,,Grovyle,Massko
254,,Sceptile,Jungko
255,,Torchic,Poussifeu
256,,Combusken,Galifeu
257,,Blaziken,Braségali
258,,Mudkip,Gobou
259,,Marshtomp,Flobio
260,,Swampert,Laggron
261,,Poochyena,Medhyèna
262,,Mightyena,Grahyèna
263,,Zigzagoon,Zigzaton
264,,Linoone,Linéon
265,,Wurmple,Chenipotte
266,,Silcoon,Armulys
267,,Beautifly,Charmillon
268,,Cascoon,Blindalys
269,,Dustox,Papinox
270,,Lotad,Nénupiot
271,,Lombre,Lombre
272,,Ludicolo,Ludicolo
273,,Seedot,Grainipiot
274,,Nuzleaf,Pifeuil
275,,Shiftry,Tengalice
276,,Taillow,Nirondelle
277,,Swellow,Hélédelle
278,,Wingull,Goélise
279,,Pelipper,Bekipan
280,,Ralts,Tarsal
281,,Kirlia,Kirlia
282,,Gardevoir,Gardevoir
283,,Surskit,Arakdo
284,,Masquerain,Maskadra
285,,Shroomish,Balignon
286,,Breloom,Chapignon
287,,Slakoth,Parecool
288,,Vigoroth,Vigoroth
289,,Slaking,Monaflèmit
290,,Nincada,Ningale
291,,Ninjask,Ninjask
292,,Shedinja,Munja
293,,Whismur,Chuchmur
294,,Loudred,Ramboum
295,,Exploud,Brouhabam
296,,Makuhita,Makuhita
297,,Hariyama,Hariyama
298,,Azurill,Azurill
299,,Nosepass,Tarinor
300,,Skitty,Skitty
301,,Delcatty,Delcatty
302,,Sableye,Ténéfix
303,,Mawile,Mysdibule
304,,Aron,Galekid
305,,Lairon,Galegon
306,,Aggron,Galeking
307,,Meditite,Méditikka
308,,Medicham,Charmina
309,,Electrike,Dynavolt
310,,Manectric,Élecsprint
311,,Plusle,Posipi
312,,Minun,Négapi
313,,Volbeat,Muciole
314,,Illumise,Lumivole
315,,Roselia,Rosélia
316,,Gulpin,Gloupti
317,,Swalot,Avaltout
318,,Carvanha,Carvanha
319,,Sharpedo,Sharpedo
320,,Wailmer,Wailmer
321,,Wailord,Wailord
322,,Numel,Chamallot
323,,Camerupt,Camérupt
324,,Torkoal,Chartor
325,,Spoink,Spoink
326,,Grumpig,Groret
327,,Spinda,Spinda
328,,Trapinch,Kraknoix
329,,Vibrava,Vibraninf
330,,Flygon,Libégon
331,,Cacnea,Cacnea
332,,Cacturne,Cacturne
333,,Swablu,Tylton
334,,Altaria,Altaria
335,,Zangoose,Mangriff
336,,Seviper,Séviper
337,,Lunatone,Séléroc
338,,Solrock,Solaroc
339,,Barboach,Barloche
340,,Whiscash,Barbicha
341,,Corphish,Écrapince
342,,Crawdaunt,Colhomard
343,,Baltoy,Balbuto
344,,Claydol,Kaorine
345,,Lileep,Lilia
346,,Cradily,Vacilys
347,,Anorith,Anorith
348,,Armaldo,Armaldo
349,,Feebas,Barpau
350,,Milotic,Milobellus
351,,Castform,Morphéo
352,,Kecleon,Kecleon
353,,Shuppet,Polichombr
354,,Banette,Branette
355,,Duskull,Skelénox
356,,Dusclops,Téraclope
357,,Tropius,Tropius
358,,Chimecho,Éoko
359,,Absol,Absol
360,,Wynaut,Okéoké
361,,Snorunt,Stalgamin
362,,Glalie,Oniglali
363,,Spheal,Obalie
364,,Sealeo,Phogleur
365,,Walrein,Kaimorse
366,,Clamperl,Coquiperl
367,,Huntail,Serpang
368,,Gorebyss,Rosabyss
369,,Relicanth,Relicanth
370,,Luvdisc,Lovdisc
371,,Bagon,Draby
372,,Shelgon,Drackhaus
373,,Salamence,Drattak
374,,Beldum,Terhal
375,,Metang,Métang
376,,Metagross,Métalosse
377,,Regirock,Regirock
378,,Regice,Regice
379,,Registeel,Registeel
380,,Latias,Latias
381,,Latios,Latios
382,,Kyogre,Kyogre
383,,Groudon,Groudon
384,,Rayquaza,Rayquaza
385,,Jirachi,Jirachi
386,,Deoxys,Deoxys
387,,Turtwig,Tortipouss
388,,Grotle,Boskara
389,,Torterra,Torterra
390,,Chimchar,Ouisticram
391,,Monferno,Chimpenfeu
392,,Infernape,Simiabraz
393,,Piplup,Tiplouf
394,,Prinplup,Prinplouf
395,,Empoleon,Pingoléon
396,,Starly,Étourmi
397,,Staravia,Étourvol
398,,Staraptor,Étouraptor
399,,Bidoof,Keunotor
400,,Bibarel,Castorno
401,,Kricketot,Crikzik
402,,Kricketune,Mélokrik
403,,Shinx,Lixy
404,,Luxio,Luxio
405,,Luxray,Luxray
406,,Budew,Rozbouton
407,,Roserade,Roserade
408,,Cranidos,Kranidos
409,,Rampardos,Charkos
410,,Shieldon,Dinoclier
411,,Bastiodon,Bastiodon
412,,Burmy,Cheniti
413,,Wormadam,Cheniselle
414,,Mothim,Papilord
415,,Combee,Apitrini
416,,Vespiquen,Apireine
417,,Pachirisu,Pachirisu
418,,Buizel,Mustébouée
419,,Floatzel,Mustéflott
420,,Cherubi,Ceribou
421,,Cherrim,Ceriflor
422,,Shellos,Sancoki
423,,Gastrodon,Tritosor
424,,Ambipom,Capidextre
425,,Drifloon,Baudrive
426,,Drifblim,Grodrive
427,,Buneary,Laporeille
428,,Lopunny,Lockpin
429,,Mismagius,Magirêve
430,,Honchkrow,Corboss
431,,Glameow,Chaglam
432,,Purugly,Chaffreux
433,,Chingling,Korillon
434,,Stunky,Moufouette
435,,Skuntank,Moufflair
436,,Bronzor,Archéomire
437,,Bronzong,Archéodong
438,,Bonsly,Manzaï
439,,Mime Jr.,Mime Jr.
440,,Happiny,Ptiravi
441,,Chatot,Pijako
442,,Spiritomb,Spiritomb
443,,Gible,Griknot
444,,Gabite,Carmache
445,,Garchomp,Carchacrok
446,,Munchlax,Goinfrex
447,,Riolu,Riolu
448,,Lucario,Lucario
449,,Hippopotas,Hippopotas
450,,Hippowdon,Hippodocus
451,,Skorupi,Rapion
452,,Drapion,Drascore
453,,Croagunk,Cradopaud
454,,Toxicroak,Coatox
455,,Carnivine,Vortente
456,,Finneon,Écayon
457,,Lumineon,Luminéon
458,,Mantyke,Babimanta
459,,Snover,Blizzi
460,,Abomasnow,Blizzaroi
461,,Weavile,Dimoret
462,,Magnezone,Magnézone
463,,Lickilicky,Coudlangue
464,,Rhyperior,Rhinastoc
465,,Tangrowth,Bouldeneu
466,,Electivire,Élekable
467,,Magmortar,Maganon
468,,Togekiss,Togekiss
469,,Yanmega,Yanméga
470,,Leafeon,Phyllali
471,,Glaceon,Givrali
472,,Gliscor,Scorvol
473,,Mamoswine,Mammochon
474,,Porygon-Z,Porygon-Z
475,,Gallade,Gallame
476,,Probopass,Tarinorme
477,,Dusknoir,Noctunoir
478,,Froslass,Momartik
479,,Rotom,Motisma
480,,Uxie,Créhelf
481,,Mesprit,Créfollet
482,,Azelf,Créfadet
483,,Dialga,Dialga
484,,Palkia,Palkia
485,,Heatran,Heatran
486,,Regigigas,Regigigas
487,,Giratina,Giratina
488,,Cresselia,Cresselia
489,,Phione,Phione
490,,Manaphy,Manaphy
491,,Darkrai,Darkrai
492,,Shaymin,Shaymin
493,,Arceus,Arceus
494,,Victini,Victini
495,,Snivy,Vipélierre
496,,Servine,Lianaja
497,,Serperior,Majaspic
498,,Tepig,Gruikui
499,,Pignite,Grotichon
500,,Emboar,Roitiflam
501,,Oshawott,Moustillon
502,,Dewott,Mateloutre
503,,Samurott,Clamiral
504,,Patrat,Ratentif
505,,Watchog,Miradar
506,,Lillipup,Ponchiot
507,,Herdier,Ponchien
508,,Stoutland,Mastouffe
509,,Purrloin,Chacripan
510,,Liepard,Léopardus
511,,Pansage,Feuillajou
512,,Simisage,Feuiloutan
513,,Pansear,Flamajou
514,,Simisear,Flamoutan
515,,Panpour,Flotajou
516,,Simipour,Flotoutan
517,,Munna,Munna
518,,Musharna,Mushana
519,,Pidove,Poichigeon
520,,Tranquill,Colombeau
521,,Unfezant,Déflaisan
522,,Blitzle,Zébribon
523,,Zebstrika,Zéblitz
524,,Roggenrola,Nodulithe
525,,Boldore,Géolithe
526,,Gigalith,Gigalithe
527,,Woobat,Chovsourir
528,,Swoobat,Rhinolove
529,,Drilbur,Rototaupe
530,,Excadrill,Minotaupe
531,,Audino,Nanméouïe
532,,Timburr,Charpenti
533,,Gurdurr,Ouvrifier
534,,Conkeldurr,Bétochef
535,,Tympole,Tritonde
536,,Palpitoad,Batracné
537,,Seismitoad,Crapustule
538,,Throh,Judokrak
539,,Sawk,Karaclée
540,,Sewaddle,Larveyette
541,,Swadloon,Couverdure
542,,Leavanny,Manternel
543,,Venipede,Venipatte
544,,Whirlipede,Scobolide
545,,Scolipede,Brutapode
546,,Cottonee,Doudouvet
547,,Whimsicott,Farfaduvet
548,,Petilil,Chlorobule
549,,Lilligant,Fragilady
550,,Basculin,Bargantua
551,,Sandile,Mascaïman
552,,Krokorok,Escroco
553,,Krookodile,Crocorible
554,,Darumaka,Darumarond
555,,Darmanitan,Darumacho
556,,Maractus,Maracachi
557,,Dwebble,Crabicoque
558,,Crustle,Crabaraque
559,,Scraggy,Baggiguane
560,,Scrafty,Baggaïd
561,,Sigilyph,Cryptéro
562,,Yamask,Tutafeh
563,,Cofagrigus,Tutankafer
564,,Tirtouga,Carapagos
565,,Carracosta,Mégapagos
566,,Archen,Arkéapti
567,,Archeops,Aéroptéryx
568,,Trubbish,Miamiasme
569,,Garbodor,Miasmax
570,,Zorua,Zorua
571,,Zoroark,Zoroark
572,,Minccino,Chinchidou
573,,Cinccino,Pashmilla
574,,Gothita,Scrutella
575,,Gothorita,Mesmérella
576,,Gothitelle,Sidérella
577,,Solosis,Nucléos
578,,Duosion,Méios
579,,Reuniclus,Symbios
580,,Ducklett,Couaneton
581,,Swanna,Lakmécygne
582,,Vanillite,Sorbébé
583,,Vanillish,Sorboul
584,,Vanilluxe,Sorbouboul
585,,Deerling,Vivaldaim
586,,Sawsbuck,Haydaim
587,,Emolga,Emolga
588,,Karrablast,Carabing
589,,Escavalier,Lançargot
590,,Foongus,Trompignon
591,,Amoonguss,Gaulet
592,,Frillish,Viskuse
593,,Jellicent,Moyade
594,,Alomomola,Mamanbo
595,,Joltik,Statitik
596,,Galvantula,Mygavolt
597,,Ferroseed,Grindur
598,,Ferrothorn,Noacier
599,,Klink,Tic
600,,Klang,Clic
601,,Klinklang,Cliticlic
602,,Tynamo,Anchwatt
603,,Eelektrik,Lampéroie
604,,Eelektross,Ohmassacre
605,,Elgyem,Lewsor
606,,Beheeyem,Neitram
607,,Litwick,Funécire
608,,Lampent,Mélancolux
609,,Chandelure,Lugulabre
610,,Axew,Coupenotte
611,,Fraxure,Incisache
612,,Haxorus,Tranchodon
613,,Cubchoo,Polarhume
614,,Beartic,Polagriffe
615,,Cryogonal,Hexagel
616,,Shelmet,Escargaume
617,,Accelgor,Limaspeed
618,,Stunfisk,Limonde
619,,Mienfoo,Kungfouine
620,,Mienshao,Shaofouine
621,,Druddigon,Drakkarmin
622,,Golett,Gringolem
623,,Golurk,Golemastoc
624,,Pawniard,Scalpion
625,,Bisharp,Scalproie
626,,Bouffalant,Frison
627,,Rufflet,Furaiglon
628,,Braviary,Gueriaigle
629,,Vullaby,Vostourno
630,,Mandibuzz,Vaututrice
631,,Heatmor,Aflamanoir
632,,Durant,Fermite
633,,Deino,Solochi
634,,Zweilous,Diamat
635,,Hydreigon,Trioxhydre
636,,Larvesta,Pyronille
637,,Volcarona,Pyrax
638,,Cobalion,Cobaltium
639,,Terrakion,Terrakium
640,,Virizion,Viridium
641,,Tornadus,Boréas
642,,Thundurus,Fulguris
643,,Reshiram,Reshiram
644,,Zekrom,Zekrom
645,,Landorus,Démétéros
646,,Kyurem,Kyurem
647,,Keldeo,Keldeo
648,,Meloetta,Meloetta
649,,Genesect,Genesect
650,,Chespin,Marisson
651,,Quilladin,Boguérisse
652,,Chesnaught,Blindépique
653,,Fennekin,Feunnec
654,,Braixen,Roussil
655,,Delphox,Goupelin
656,,Froakie,Grenousse
657,,Frogadier,Croâporal
658,,Greninja,Amphinobi
659,,Bunnelby,Sapereau
660,,Diggersby,Excavarenne
661,,Fletchling,Passerouge
662,,Fletchinder,Braisillon
663,,Talonflame,Flambusard
664,,Scatterbug,Lépidonille
665,,Spewpa,Pérégrain
666,,Vivillon,Prismillon
667,,Litleo,Hélionceau
668,,Pyroar,Némélios
669,,Flabébé,Flabébé
670,,Floette,Floette
671,,Florges,Florges
672,,Skiddo,Cabriolaine
673,,Gogoat,Chevroum
674,,Pancham,Pandespiègle
675,,Pangoro,Pandarbare
676,,Furfrou,Couafarel
677,,Espurr,Psystigri
678,,Meowstic,Mistigrix
679,,Honedge,Monorpale
680,,Doublade,Dimoclès
681,,Aegislash,Exagide
682,,Spritzee,Fluvetin
683,,Aromatisse,Cocotine
684,,Swirlix,Sucroquin
685,,Slurpuff,Cupcanaille
686,,Inkay,Sepiatop
687,,Malamar,Sepiatroce
688,,Binacle,Opermine
689,,Barbaracle,Golgopathe
690,,Skrelp,Venalgue
691,,Dragalge,Kravarech
692,,Clauncher,Flingouste
693,,Clawitzer,Gamblast
694,,Helioptile,Galvaran
695,,Heliolisk,Iguolta
696,,Tyrunt,Ptyranidur
697,,Tyrantrum,Rexillius
698,,Amaura,Amagara
699,,Aurorus,Dragmara
700,,Sylveon,Nymphali
701,,Hawlucha,Brutalibré
702,,Dedenne,Dedenne
703,,Carbink,Strassie
704,,Goomy,Mucuscule
705,,Sliggoo,Colimucus
706,,Goodra,Muplodocus
707,,Klefki,Trousselin
708,,Phantump,Brocélôme
709,,Trevenant,Desséliande
710,,Pumpkaboo,Pitrouille
711,,Gourgeist,Banshitrouye
712,,Bergmite,Grelaçon
713,,Avalugg,Séracrawl
714,,Noibat,Sonistrelle
715,,Noivern,Bruyverne
716,,Xerneas,Xerneas
717,,Yveltal,Yveltal
718,,Zygarde,Zygarde
719,,Diancie,Diancie
720,,Hoopa,Hoopa
721,,Volcanion,Volcanion
722,,Rowlet,Brindibou
723,,Dartrix,Efflèche
724,,Decidueye,Archéduc
725,,Litten,Flamiaou
726,,Torracat,Matoufeu
727,,Incineroar,Félinferno
728,,Popplio,Otaquin
729,,Brionne,Otarlette
730,,Primarina,Oratoria
731,,Pikipek,Picassaut
732,,Trumbeak,Piclairon
733,,Toucannon,Bazoucan
734,,Yungoos,Manglouton
735,,Gumshoos,Argouste
736,,Grubbin,Larvibule
737,,Charjabug,Chrysapile
738,,Vikavolt,Lucanon
739,,Crabrawler,Crabagarre
740,,Crabominable,Crabominable
741,,Oricorio,Plumeline
742,,Cutiefly,Bombydou
743,,Ribombee,Rubombelle
744,,Rockruff,Rocabot
745,,Lycanroc,Lougaroc
746,,Wishiwashi,Froussardine
747,,Mareanie,Vorastérie
748,,Toxapex,Prédastérie
749,,Mudbray,Tiboudet
750,,Mudsdale,Bourrinos
751,,Dewpider,Araqua
752,,Araquanid,Tarenbulle
753,,Fomantis,Mimantis
754,,Lurantis,Floramantis
755,,Morelull,Spododo
756,,Shiinotic,Lampignon
757,,Salandit,Tritox
758,,Salazzle,Malamandre
759,,Stufful,Nounourson
760,,Bewear,Chelours
761,,Bounsweet,Croquine
762,,Steenee,Candine
763,,Tsareena,Sucreine
764,,Comfey,Guérilande
765,,Oranguru,Gouroutan
766,,Passimian,Quartermac
767,,Wimpod,Sovkipou
768,,Golisopod,Sarmuraï
769,,Sandygast,Bacabouh
770,,Palossand,Trépassable
771,,Pyukumuku,Concombaffe
772,,Type: Null,Type:0
773,,Silvally,Silvallié
774,,Minior,Météno
775,,Komala,Dodoala
776,,Turtonator,Boumata
777,,Togedemaru,Togedemaru
778,,Mimikyu,Mimiqui
779,,Bruxish,Denticrisse
780,,Drampa,Draïeul
781,,Dhelmise,Sinistrail
782,,Jangmo-o,Bébécaille
783,,Hakamo-o,Écaïd
784,,Kommo-o,Ékaïser
785,,Tapu Koko,Tokorico
786,,Tapu Lele,Tokopiyon
787,,Tapu Bulu,Tokotoro
788,,Tapu Fini,Tokopisco
789,,Cosmog,Cosmog
790,,Cosmoem,Cosmovum
791,,Solgaleo,Solgaleo
792,,Lunala,Lunala
793,,Nihilego,Zéroïd
794,,Buzzwole,Mouscoto
795,,Pheromosa,Cancrelove
796,,Xurkitree,Câblifère
797,,Celesteela,Bamboiselle
798,,Kartana,Katagami
799,,Guzzlord,Engloutyran
800,,Necrozma,Necrozma
801,,Magearna,Magearna
802,,Marshadow,Marshadow
803,,Poipole,Vémini
804,,Naganadel,Mandrillon
805,,Stakataka,Ama-Ama
806,,Blacephalon,Pierroteknik
807,,Zeraora,Zeraora
808,,Meltan,Meltan
809,,Melmetal,Melmetal
810,,Grookey,Ouistempo
811,,Thwackey,Badabouin
812,,Rillaboom,Gorythmic
813,,Scorbunny,Flambino
814,,Raboot,Lapyro
815,,Cinderace,Pyrobut
816,,Sobble,Larméléon
817,,Drizzile,Arrozard
818,,Inteleon,Lézargus
819,,Skwovet,Rongourmand
820,,Greedent,Rongrigou
821,,Rookidee,Minisange
822,,Corvisquire,Bleuseille
823,,Corviknight,Corvaillus
824,,Blipbug,Larvadar
825,,Dottler,Coléodôme
826,,Orbeetle,Astronelle
827,,Nickit,Goupilou
828,,Thievul,Roublenard
829,,Gossifleur,Tournicoton
830,,Eldegoss,Blancoton
831,,Wooloo,Moumouton
832,,Dubwool,Moumouflon
833,,Chewtle,Khélocrok
834,,Drednaw,Torgamord
835,,Yamper,Voltoutou
836,,Boltund,Fulgudog
837,,Rolycoly,Charbi
838,,Carkol,Wagomine
839,,Coalossal,Monthracite
840,,Applin,Verpom
841,,Flapple,Pomdrapi
842,,Appletun,Dratatin
843,,Silicobra,Dunaja
844,,Sandaconda,Dunaconda
845,,Cramorant,Nigosier
846,,Arrokuda,Embrochet
847,,Barraskewda,Hastacuda
848,,Toxel,Toxizap
849,,Toxtricity,Salarsen
850,,Sizzlipede,Grillepattes
851,,Centiskorch,Scolocendre
852,,Clobbopus,Poulpaf
853,,Grapploct,Krakos
854,,Sinistea,Théffroi
855,,Polteageist,Polthégeist
856,,Hatenna,Bibichut
857,,Hattrem,Chapotus
858,,Hatterene,Sorcilence
859,,Impidimp,Grimalin
860,,Morgrem,Fourbelin
861,,Grimmsnarl,Angoliath
862,,Obstagoon,Ixon
863,,Perrserker,Berserkatt
864,,Cursola,Corayôme
865,,Sirfetch'd,Palarticho
866,,Mr. Rime,M. Glaquette
867,,Runerigus,Tutétékri
868,,Milcery,Crèmy
869,,Alcremie,Charmilly
870,,Falinks,Hexadron
871,,Pincurchin,Wattapik
872,,Snom,Frissonille
873,,Frosmoth,Beldeneige
874,,Stonjourner,Dolman
875,,Eiscue,Bekaglaçon
876,,Indeedee,Wimessir
877,,Morpeko,Morpeko
878,,Cufant,Charibari
879,,Copperajah,Pachyradjah
880,,Dracozolt,Galvagon
881,,Arctozolt,Galvagla
882,,Dracovish,Hydragon
883,,Arctovish,Hydragla
884,,Duraludon,Duralugon
885,,Dreepy,Fantyrm
886,,Drakloak,Dispareptil
887,,Dragapult,Lanssorien
888,,Zacian,Zacian
889,,Zamazenta,Zamazenta
890,,Eternatus,Éthernatos
891,,Kubfu,Wushours
892,,Urshifu,Shifours
893,,Zarude,Zarude
894,,Regieleki,Regieleki
895,,Regidrago,Regidrago
896,,Glastrier,Blizzeval
897,,Spectrier,Spectreval
898,,Calyrex,Sylveroy
899,,Wyrdeer,Cerbyllin
900,,Kleavor,Hachécateur
901,,Ursaluna,Ursaking
902,,Basculegion,Paragruel
903,,Sneasler,Farfurex
904,,Overqwil,Qwilpik
905,,Enamorus,Amovénus
