Ndex,Menu Sprite,English,Kana,Hepburn,Trademarked
63,,Abra,ケーシィ,Kēshī,Casey
64,,Kadabra,ユンゲラー,Yungerā,Yungerer
65,,Alakazam,フーディン,Fūdin,Foodin
66,,Machop,ワンリキー,Wanrikī,Wanriky
67,,Machoke,ゴーリキー,Gōrikī,Goriky
68,,Machamp,カイリキー,Kairikī,Kairiky
69,,Bellsprout,マダツボミ,Madatsubomi,Madatsubomi
70,,Weepinbell,ウツドン,Utsudon,Utsudon
71,,Victreebel,ウツボット,Utsubotto,Utsubot
72,,Tentacool,メノクラゲ,Menokurage,Menokurage
73,,Tentacruel,ドククラゲ,Dokukurage,Dokukurage
74,,Geodude,イシツブテ,Ishitsubute,Isitsubute
75,,Graveler,ゴローン,Gorōn,Golone
76,,Golem,ゴローニャ,Gorōnya,Golonya
77,,Ponyta,ポニータ,Ponīta,Ponyta
78,,Rapidash,ギャロップ,Gyaroppu,Gallop
79,,Slowpoke,ヤドン,Yadon,Yadon
80,,Slowbro,ヤドラン,Yadoran,Yadoran
81,,Magnemite,コイル,Koiru,Coil
82,,Magneton,レアコイル,Reakoiru,Rarecoil
83,,Farfetch'd,カモネギ,Kamonegi,Kamonegi
84,,Doduo,ドードー,Dōdō,Dodo
85,,Dodrio,ドードリオ,Dōdorio,Dodorio
86,,Seel,パウワウ,Pauwau,Pawou
87,,Dewgong,ジュゴン,Jugon,Jugon
88,,Grimer,ベトベター,Betobetā,Betbeter
89,,Muk,ベトベトン,Betobeton,Betbeton
90,,Shellder,シェルダー,Sherudā,Shellder
91,,Cloyster,パルシェン,Parushen,Parshen
92,,Gastly,ゴース,Gōsu,Ghos
93,,Haunter,ゴースト,Gōsuto,Ghost
94,,Gengar,ゲンガー,Gengā,Gangar
95,,Onix,イワーク,Iwāku,Iwark
96,,Drowzee,スリープ,Surīpu,Sleepe
97,,Hypno,スリーパー,Surīpā,Sleeper
98,,Krabby,クラブ,Kurabu,Crab
99,,Kingler,キングラー,Kingurā,Kingler
100,,Voltorb,ビリリダマ,Biriridama,Biriridama
101,,Electrode,マルマイン,Marumain,Marumine
102,,Exeggcute,タマタマ,Tamatama,Tamatama
103,,Exeggutor,ナッシー,Nasshī,Nassy
104,,Cubone,カラカラ,Karakara,Karakara
105,,Marowak,ガラガラ,Garagara,Garagara
106,,Hitmonlee,サワムラー,Sawamurā,Sawamular
107,,Hitmonchan,エビワラー,Ebiwarā,Ebiwalar
108,,Lickitung,ベロリンガ,Beroringa,Beroringa
109,,Koffing,ドガース,Dogāsu,Dogars
110,,Weezing,マタドガス,Matadogasu,Matadogas
111,,Rhyhorn,サイホーン,Saihōn,Sihorn
112,,Rhydon,サイドン,Saidon,Sidon
113,,Chansey,ラッキー,Rakkī,Lucky
114,,Tangela,モンジャラ,Monjara,Monjara
115,,Kangaskhan,ガルーラ,Garūra,Garura
116,,Horsea,タッツー,Tattsū,Tattu
117,,Seadra,シードラ,Shīdora,Seadra
118,,Goldeen,トサキント,Tosakinto,Tosakinto
119,,Seaking,アズマオウ,Azumaō,Azumao
120,,Staryu,ヒトデマン,Hitodeman,Hitodeman
121,,Starmie,スターミー,Sutāmī,Starmie
122,,Mr. Mime,バリヤード,Bariyādo,Barrierd
123,,Scyther,ストライク,Sutoraiku,Strike
124,,Jynx,ルージュラ,Rūjura,Rougela
125,,Electabuzz,エレブー,Erebū,Eleboo
126,,Magmar,ブーバー,Būbā,Boober
127,,Pinsir,カイロス,Kairosu,Kailios
128,,Tauros,ケンタロス,Kentarosu,Kentauros
129,,Magikarp,コイキング,Koikingu,Koiking
130,,Gyarados,ギャラドス,Gyaradosu,Gyarados
131,,Lapras,ラプラス,Rapurasu,Laplace
132,,Ditto,メタモン,Metamon,Metamon
133,,Eevee,イーブイ,Ībui,Eievui
134,,Vaporeon,シャワーズ,Shawāzu,Showers
135,,Jolteon,サンダース,Sandāsu,Thunders
136,,Flareon,ブースター,Būsutā,Booster
137,,Porygon,ポリゴン,Porigon,Porygon
138,,Omanyte,オムナイト,Omunaito,Omnite
139,,Omastar,オムスター,Omusutā,Omstar
140,,Kabuto,カブト,Kabuto,Kabuto
141,,Kabutops,カブトプス,Kabutopusu,Kabutops
142,,Aerodactyl,プテラ,Putera,Ptera
143,,Snorlax,カビゴン,Kabigon,Kabigon
144,,Articuno,フリーザー,Furīzā,Freezer
145,,Zapdos,サンダー,Sandā,Thunder
146,,Moltres,ファイヤー,Faiyā,Fire
147,,Dratini,ミニリュウ,Miniryū,Miniryu
148,,Dragonair,ハクリュー,Hakuryū,Hakuryu
149,,Dragonite,カイリュー,Kairyū,Kairyu
150,,Mewtwo,ミュウツー,Myūtsū,Mewtwo
151,,Mew,ミュウ,Myū,Mew
152,,Chikorita,チコリータ,Chikorīta,Chicorita
153,,Bayleef,ベイリーフ,Beirīfu,Bayleaf
154,,Meganium,メガニウム,Meganiumu,Meganium
155,,Cyndaquil,ヒノアラシ,Hinoarashi,Hinoarashi
156,,Quilava,マグマラシ,Magumarashi,Magmarashi
157,,Typhlosion,バクフーン,Bakufūn,Bakphoon
158,,Totodile,ワニノコ,Waninoko,Waninoko
159,,Croconaw,アリゲイツ,Arigeitsu,Alligates
160,,Feraligatr,オーダイル,Ōdairu,Ordile
161,,Sentret,オタチ,Otachi,Otachi
162,,Furret,オオタチ,Ōtachi,Ootachi
163,,Hoothoot,ホーホー,Hōhō,Hoho
164,,Noctowl,ヨルノズク,Yorunozuku,Yorunozuku
165,,Ledyba,レディバ,Rediba,Rediba
166,,Ledian,レディアン,Redian,Redian
167,,Spinarak,イトマル,Itomaru,Itomaru
168,,Ariados,アリアドス,Ariadosu,Ariados
169,,Crobat,クロバット,Kurobatto,Crobat
170,,Chinchou,チョンチー,Chonchī,Chonchie
171,,Lanturn,ランターン,Rantān,Lantern
172,,Pichu,ピチュー,Pichū,Pichu
173,,Cleffa,ピィ,Pī,Py
174,,Igglybuff,ププリン,Pupurin,Pupurin
175,,Togepi,トゲピー,Togepī,Togepy
176,,Togetic,トゲチック,Togechikku,Togechick
177,,Natu,ネイティ,Neiti,Naty
178,,Xatu,ネイティオ,Neitio,Natio
179,,Mareep,メリープ,Merīpu,Merriep
180,,Flaaffy,モココ,Mokoko,Mokoko
181,,Ampharos,デンリュウ,Denryū,Denryu
182,,Bellossom,キレイハナ,Kireihana,Kireihana
183,,Marill,マリル,Mariru,Maril
184,,Azumarill,マリルリ,Mariruri,Marilli
185,,Sudowoodo,ウソッキー,Usokkī,Usokkie
186,,Politoed,ニョロトノ,Nyorotono,Nyorotono
187,,Hoppip,ハネッコ,Hanekko,Hanecco
188,,Skiploom,ポポッコ,Popokko,Popocco
189,,Jumpluff,ワタッコ,Watakko,Watacco
190,,Aipom,エイパム,Eipamu,Eipam
191,,Sunkern,ヒマナッツ,Himanattsu,Himanuts
192,,Sunflora,キマワリ,Kimawari,Kimawari
193,,Yanma,ヤンヤンマ,Yan'yanma,Yanyanma
194,,Wooper,ウパー,Upā,Upah
195,,Quagsire,ヌオー,Nuō,Nuoh
196,,Espeon,エーフィ,Ēfi,Eifie
197,,Umbreon,ブラッキー,Burakkī,Blacky
198,,Murkrow,ヤミカラス,Yamikarasu,Yamikarasu
199,,Slowking,ヤドキング,Yadokingu,Yadoking
200,,Misdreavus,ムウマ,Mūma,Muma
201,,Unown,アンノーン,Annōn,Unknown
202,,Wobbuffet,ソーナンス,Sōnansu,Sonans
203,,Girafarig,キリンリキ,Kirinriki,Kirinriki
204,,Pineco,クヌギダマ,Kunugidama,Kunugidama
205,,Forretress,フォレトス,Foretosu,Foretos
206,,Dunsparce,ノコッチ,Nokotchi,Nokocchi
207,,Gligar,グライガー,Guraigā,Gliger
208,,Steelix,ハガネール,Haganēru,Haganeil
209,,Snubbull,ブルー,Burū,Bulu
210,,Granbull,グランブル,Guranburu,Granbulu
211,,Qwilfish,ハリーセン,Harīsen,Harysen
212,,Scizor,ハッサム,Hassamu,Hassam
213,,Shuckle,ツボツボ,Tsubotsubo,Tsubotsubo
214,,Heracross,ヘラクロス,Herakurosu,Heracros
215,,Sneasel,ニューラ,Nyūra,Nyula
216,,Teddiursa,ヒメグマ,Himeguma,Himeguma
217,,Ursaring,リングマ,Ringuma,Ringuma
218,,Slugma,マグマッグ,Magumaggu,Magmag
219,,Magcargo,マグカルゴ,Magukarugo,Magcargot
220,,Swinub,ウリムー,Urimū,Urimoo
221,,Piloswine,イノムー,Inomū,Inomoo
222,,Corsola,サニーゴ,Sanīgo,Sunnygo
223,,Remoraid,テッポウオ,Teppouo,Teppouo
224,,Octillery,オクタン,Okutan,Okutank
225,,Delibird,デリバード,Deribādo,Delibird
226,,Mantine,マンタイン,Mantain,Mantain
227,,Skarmory,エアームド,Eāmudo,Airmd
228,,Houndour,デルビル,Derubiru,Delvil
229,,Houndoom,ヘルガー,Herugā,Hellgar
230,,Kingdra,キングドラ,Kingudora,Kingdra
231,,Phanpy,ゴマゾウ,Gomazō,Gomazou
232,,Donphan,ドンファン,Donfan,Donfan
233,,Porygon2,ポリゴン２,Porigon Tsū,Porygon2
234,,Stantler,オドシシ,Odoshishi,Odoshishi
235,,Smeargle,ドーブル,Dōburu,Doble
236,,Tyrogue,バルキー,Barukī,Balkie
237,,Hitmontop,カポエラー,Kapoerā,Kapoerer
238,,Smoochum,ムチュール,Muchūru,Muchul
239,,Elekid,エレキッド,Erekiddo,Elekid
240,,Magby,ブビィ,Bubī,Buby
241,,Miltank,ミルタンク,Mirutanku,Miltank
242,,Blissey,ハピナス,Hapinasu,Happinas
243,,Raikou,ライコウ,Raikō,Raikou
244,,Entei,エンテイ,Entei,Entei
245,,Suicune,スイクン,Suikun,Suicune
246,,Larvitar,ヨーギラス,Yōgirasu,Yogiras
247,,Pupitar,サナギラス,Sanagirasu,Sanagiras
248,,Tyranitar,バンギラス,Bangirasu,Bangiras
249,,Lugia,ルギア,Rugia,Lugia
250,,Ho-Oh,ホウオウ,Hōō,Houou
251,,Celebi,セレビィ,Serebī,Celebi
252,,Treecko,キモリ,Kimori,Kimori
253,,Grovyle,ジュプトル,Juputoru,Juptile
254,,Sceptile,ジュカイン,Jukain,Jukain
255,,Torchic,アチャモ,Achamo,Achamo
256,,Combusken,ワカシャモ,Wakashamo,Wakasyamo
257,,Blaziken,バシャーモ,Bashāmo,Bursyamo
258,,Mudkip,ミズゴロウ,Mizugorō,Mizugorou
259,,Marshtomp,ヌマクロー,Numakurō,Numacraw
260,,Swampert,ラグラージ,Ragurāji,Laglarge
261,,Poochyena,ポチエナ,Pochiena,Pochiena
262,,Mightyena,グラエナ,Guraena,Graena
263,,Zigzagoon,ジグザグマ,Jiguzaguma,Jiguzaguma
264,,Linoone,マッスグマ,Massuguma,Massuguma
265,,Wurmple,ケムッソ,Kemusso,Kemusso
266,,Silcoon,カラサリス,Karasarisu,Karasalis
267,,Beautifly,アゲハント,Agehanto,Agehunt
268,,Cascoon,マユルド,Mayurudo,Mayuld
269,,Dustox,ドクケイル,Dokukeiru,Dokucale
270,,Lotad,ハスボー,Hasubō,Hassboh
271,,Lombre,ハスブレロ,Hasuburero,Hasubrero
272,,Ludicolo,ルンパッパ,Runpappa,Runpappa
273,,Seedot,タネボー,Tanebō,Taneboh
274,,Nuzleaf,コノハナ,Konohana,Konohana
275,,Shiftry,ダーテング,Dātengu,Dirteng
276,,Taillow,スバメ,Subame,Subame
277,,Swellow,オオスバメ,Ōsubame,Ohsubame
278,,Wingull,キャモメ,Kyamome,Camome
279,,Pelipper,ペリッパー,Perippā,Pelipper
280,,Ralts,ラルトス,Rarutosu,Ralts
281,,Kirlia,キルリア,Kiruria,Kirlia
282,,Gardevoir,サーナイト,Sānaito,Sirnight
283,,Surskit,アメタマ,Ametama,Ametama
284,,Masquerain,アメモース,Amemōsu,Amemoth
285,,Shroomish,キノココ,Kinokoko,Kinococo
286,,Breloom,キノガッサ,Kinogassa,Kinogassa
287,,Slakoth,ナマケロ,Namakero,Namakero
288,,Vigoroth,ヤルキモノ,Yarukimono,Yarukimono
289,,Slaking,ケッキング,Kekkingu,Kekking
290,,Nincada,ツチニン,Tsuchinin,Tutinin
291,,Ninjask,テッカニン,Tekkanin,Tekkanin
292,,Shedinja,ヌケニン,Nukenin,Nukenin
293,,Whismur,ゴニョニョ,Gonyonyo,Gonyonyo
294,,Loudred,ドゴーム,Dogōmu,Dogohmb
295,,Exploud,バクオング,Bakuongu,Bakuong
296,,Makuhita,マクノシタ,Makunoshita,Makunoshita
297,,Hariyama,ハリテヤマ,Hariteyama,Hariteyama
298,,Azurill,ルリリ,Ruriri,Ruriri
299,,Nosepass,ノズパス,Nozupasu,Nosepass
300,,Skitty,エネコ,Eneko,Eneco
301,,Delcatty,エネコロロ,Enekororo,Enekororo
302,,Sableye,ヤミラミ,Yamirami,Yamirami
303,,Mawile,クチート,Kuchīto,Kucheat
304,,Aron,ココドラ,Kokodora,Cokodora
305,,Lairon,コドラ,Kodora,Kodora
306,,Aggron,ボスゴドラ,Bosugodora,Bossgodora
307,,Meditite,アサナン,Asanan,Asanan
308,,Medicham,チャーレム,Chāremu,Charem
309,,Electrike,ラクライ,Rakurai,Rakurai
310,,Manectric,ライボルト,Raiboruto,Livolt
311,,Plusle,プラスル,Purasuru,Prasle
312,,Minun,マイナン,Mainan,Minun
313,,Volbeat,バルビート,Barubīto,Barubeat
314,,Illumise,イルミーゼ,Irumīze,Illumise
315,,Roselia,ロゼリア,Rozeria,Roselia
316,,Gulpin,ゴクリン,Gokurin,Gokulin
317,,Swalot,マルノーム,Marunōmu,Marunoom
318,,Carvanha,キバニア,Kibania,Kibanha
319,,Sharpedo,サメハダー,Samehadā,Samehader
320,,Wailmer,ホエルコ,Hoeruko,Hoeruko
321,,Wailord,ホエルオー,Hoeruō,Whaloh
322,,Numel,ドンメル,Donmeru,Donmel
323,,Camerupt,バクーダ,Bakūda,Bakuuda
324,,Torkoal,コータス,Kōtasu,Cotoise
325,,Spoink,バネブー,Banebū,Baneboo
326,,Grumpig,ブーピッグ,Būpiggu,Boopig
327,,Spinda,パッチール,Patchīru,Patcheel
328,,Trapinch,ナックラー,Nakkurā,Nuckrar
329,,Vibrava,ビブラーバ,Biburāba,Vibrava
330,,Flygon,フライゴン,Furaigon,Flygon
331,,Cacnea,サボネア,Sabonea,Sabonea
332,,Cacturne,ノクタス,Nokutasu,Noctus
333,,Swablu,チルット,Chirutto,Tyltto
334,,Altaria,チルタリス,Chirutarisu,Tyltalis
335,,Zangoose,ザングース,Zangūsu,Zangoose
336,,Seviper,ハブネーク,Habunēku,Habunake
337,,Lunatone,ルナトーン,Runatōn,Lunatone
338,,Solrock,ソルロック,Sorurokku,Solrock
339,,Barboach,ドジョッチ,Dojotchi,Dojoach
340,,Whiscash,ナマズン,Namazun,Namazun
341,,Corphish,ヘイガニ,Heigani,Heigani
342,,Crawdaunt,シザリガー,Shizarigā,Shizariger
343,,Baltoy,ヤジロン,Yajiron,Yajilon
344,,Claydol,ネンドール,Nendōru,Nendoll
345,,Lileep,リリーラ,Rirīra,Lilyla
346,,Cradily,ユレイドル,Yureidoru,Yuradle
347,,Anorith,アノプス,Anopusu,Anopth
348,,Armaldo,アーマルド,Āmarudo,Armaldo
349,,Feebas,ヒンバス,Hinbasu,Hinbass
350,,Milotic,ミロカロス,Mirokarosu,Milokaross
351,,Castform,ポワルン,Powarun,Powalen
352,,Kecleon,カクレオン,Kakureon,Kakureon
353,,Shuppet,カゲボウズ,Kagebōzu,Kagebouzu
354,,Banette,ジュペッタ,Jupetta,Juppeta
355,,Duskull,ヨマワル,Yomawaru,Yomawaru
356,,Dusclops,サマヨール,Samayōru,Samayouru
357,,Tropius,トロピウス,Toropiusu,Tropius
358,,Chimecho,チリーン,Chirīn,Chirean
359,,Absol,アブソル,Abusoru,Absol
360,,Wynaut,ソーナノ,Sōnano,Sohnano
361,,Snorunt,ユキワラシ,Yukiwarashi,Yukiwarashi
362,,Glalie,オニゴーリ,Onigōri,Onigohri
363,,Spheal,タマザラシ,Tamazarashi,Tamazarashi
364,,Sealeo,トドグラー,Todogurā,Todoggler
365,,Walrein,トドゼルガ,Todozeruga,Todoseruga
366,,Clamperl,パールル,Pāruru,Pearlulu
367,,Huntail,ハンテール,Hantēru,Huntail
368,,Gorebyss,サクラビス,Sakurabisu,Sakurabyss
369,,Relicanth,ジーランス,Jīransu,Glanth
370,,Luvdisc,ラブカス,Rabukasu,Lovecus
371,,Bagon,タツベイ,Tatsubei,Tatsubay
372,,Shelgon,コモルー,Komorū,Komoruu
373,,Salamence,ボーマンダ,Bōmanda,Bohmander
374,,Beldum,ダンバル,Danbaru,Dumbber
375,,Metang,メタング,Metangu,Metang
376,,Metagross,メタグロス,Metagurosu,Metagross
377,,Regirock,レジロック,Rejirokku,Regirock
378,,Regice,レジアイス,Rejiaisu,Regice
379,,Registeel,レジスチル,Rejisuchiru,Registeel
380,,Latias,ラティアス,Ratiasu,Latias
381,,Latios,ラティオス,Ratiosu,Latios
382,,Kyogre,カイオーガ,Kaiōga,Kyogre
383,,Groudon,グラードン,Gurādon,Groudon
384,,Rayquaza,レックウザ,Rekkūza,Rayquaza
385,,Jirachi,ジラーチ,Jirāchi,Jirachi
386,,Deoxys,デオキシス,Deokishisu,Deoxys
387,,Turtwig,ナエトル,Naetoru,Naetle
388,,Grotle,ハヤシガメ,Hayashigame,Hayashigame
389,,Torterra,ドダイトス,Dodaitosu,Dodaitose
390,,Chimchar,ヒコザル,Hikozaru,Hikozaru
391,,Monferno,モウカザル,Mōkazaru,Moukazaru
392,,Infernape,ゴウカザル,Gōkazaru,Goukazaru
393,,Piplup,ポッチャマ,Potchama,Pochama
394,,Prinplup,ポッタイシ,Pottaishi,Pottaishi
395,,Empoleon,エンペルト,Enperuto,Emperte
396,,Starly,ムックル,Mukkuru,Mukkuru
397,,Staravia,ムクバード,Mukubādo,Mukubird
398,,Staraptor,ムクホーク,Mukuhōku,Mukuhawk
399,,Bidoof,ビッパ,Bippa,Bippa
400,,Bibarel,ビーダル,Bīdaru,Beadaru
401,,Kricketot,コロボーシ,Korobōshi,Korobohshi
402,,Kricketune,コロトック,Korotokku,Korotock
403,,Shinx,コリンク,Korinku,Kolink
404,,Luxio,ルクシオ,Rukushio,Luxio
405,,Luxray,レントラー,Rentorā,Rentorar
406,,Budew,スボミー,Subomī,Subomie
407,,Roserade,ロズレイド,Rozureido,Roserade
408,,Cranidos,ズガイドス,Zugaidosu,Zugaidos
409,,Rampardos,ラムパルド,Ramuparudo,Rampald
410,,Shieldon,タテトプス,Tatetopusu,Tatetops
411,,Bastiodon,トリデプス,Toridepusu,Torideps
412,,Burmy,ミノムッチ,Minomutchi,Minomucchi
413,,Wormadam,ミノマダム,Minomadamu,Minomadam
414,,Mothim,ガーメイル,Gāmeiru,Gamale
415,,Combee,ミツハニー,Mitsuhanī,Mitsuhoney
416,,Vespiquen,ビークイン,Bīkuin,Beequen
417,,Pachirisu,パチリス,Pachirisu,Pachirisu
418,,Buizel,ブイゼル,Buizeru,Buoysel
419,,Floatzel,フローゼル,Furōzeru,Floazel
420,,Cherubi,チェリンボ,Cherinbo,Cherinbo
421,,Cherrim,チェリム,Cherimu,Cherrim
422,,Shellos,カラナクシ,Karanakushi,Karanakushi
423,,Gastrodon,トリトドン,Toritodon,Tritodon
424,,Ambipom,エテボース,Etebōsu,Eteboth
425,,Drifloon,フワンテ,Fuwante,Fuwante
426,,Drifblim,フワライド,Fuwaraido,Fuwaride
427,,Buneary,ミミロル,Mimiroru,Mimirol
428,,Lopunny,ミミロップ,Mimiroppu,Mimilop
429,,Mismagius,ムウマージ,Mūmāji,Mumargi
430,,Honchkrow,ドンカラス,Donkarasu,Dongkarasu
431,,Glameow,ニャルマー,Nyarumā,Nyarmar
432,,Purugly,ブニャット,Bunyatto,Bunyatto
433,,Chingling,リーシャン,Rīshan,Lisyan
434,,Stunky,スカンプー,Sukanpū,Skunpuu
435,,Skuntank,スカタンク,Sukatanku,Skutank
436,,Bronzor,ドーミラー,Dōmirā,Dohmirror
437,,Bronzong,ドータクン,Dōtakun,Dohtakun
438,,Bonsly,ウソハチ,Usohachi,Usohachi
439,,Mime Jr.,マネネ,Manene,Manene
440,,Happiny,ピンプク,Pinpuku,Pinpuku
441,,Chatot,ペラップ,Perappu,Perap
442,,Spiritomb,ミカルゲ,Mikaruge,Mikaruge
443,,Gible,フカマル,Fukamaru,Fukamaru
444,,Gabite,ガバイト,Gabaito,Gabite
445,,Garchomp,ガブリアス,Gaburiasu,Gaburias
446,,Munchlax,ゴンベ,Gonbe,Gonbe
447,,Riolu,リオル,Rioru,Riolu
448,,Lucario,ルカリオ,Rukario,Lucario
449,,Hippopotas,ヒポポタス,Hipopotasu,Hippopotas
450,,Hippowdon,カバルドン,Kabarudon,Kabaldon
451,,Skorupi,スコルピ,Sukorupi,Scorupi
452,,Drapion,ドラピオン,Dorapion,Dorapion
453,,Croagunk,グレッグル,Guregguru,Gureggru
454,,Toxicroak,ドクロッグ,Dokuroggu,Dokurog
455,,Carnivine,マスキッパ,Masukippa,Muskippa
456,,Finneon,ケイコウオ,Keiko'uo,Keikouo
457,,Lumineon,ネオラント,Neoranto,Neolant
458,,Mantyke,タマンタ,Tamanta,Tamanta
459,,Snover,ユキカブリ,Yukikaburi,Yukikaburi
460,,Abomasnow,ユキノオー,Yukinoō,Yukinooh
461,,Weavile,マニューラ,Manyūra,Manyula
462,,Magnezone,ジバコイル,Jibakoiru,Jibacoil
463,,Lickilicky,ベロベルト,Beroberuto,Berobelt
464,,Rhyperior,ドサイドン,Dosaidon,Dosidon
465,,Tangrowth,モジャンボ,Mojanbo,Mojumbo
466,,Electivire,エレキブル,Erekiburu,Elekible
467,,Magmortar,ブーバーン,Būbān,Booburn
468,,Togekiss,トゲキッス,Togekissu,Togekiss
469,,Yanmega,メガヤンマ,Megayanma,Megayanma
470,,Leafeon,リーフィア,Rīfia,Leafia
471,,Glaceon,グレイシア,Gureishia,Glacia
472,,Gliscor,グライオン,Guraion,Glion
473,,Mamoswine,マンムー,Manmū,Mammoo
474,,Porygon-Z,ポリゴンＺ,Porigon Zetto,Porygon-Z
475,,Gallade,エルレイド,Erureido,Erureido
476,,Probopass,ダイノーズ,Dainōzu,Dainose
477,,Dusknoir,ヨノワール,Yonowāru,Yonoir
478,,Froslass,ユキメノコ,Yukimenoko,Yukimenoko
479,,Rotom,ロトム,Rotomu,Rotom
480,,Uxie,ユクシー,Yukushī,Yuxie
481,,Mesprit,エムリット,Emuritto,Emrit
482,,Azelf,アグノム,Agunomu,Agnome
483,,Dialga,ディアルガ,Diaruga,Dialga
484,,Palkia,パルキア,Parukia,Palkia
485,,Heatran,ヒードラン,Hīdoran,Heatran
486,,Regigigas,レジギガス,Rejigigasu,Regigigas
487,,Giratina,ギラティナ,Giratina,Giratina
488,,Cresselia,クレセリア,Kureseria,Cresselia
489,,Phione,フィオネ,Fione,Phione
490,,Manaphy,マナフィ,Manafi,Manaphy
491,,Darkrai,ダークライ,Dākurai,Darkrai
492,,Shaymin,シェイミ,Sheimi,Shaymin
493,,Arceus,アルセウス,Aruseusu,Arceus
494,,Victini,ビクティニ,Bikutini,Victini
495,,Snivy,ツタージャ,Tsutāja,Tsutarja
496,,Servine,ジャノビー,Janobī,Janovy
497,,Serperior,ジャローダ,Jarōda,Jalorda
498,,Tepig,ポカブ,Pokabu,Pokabu
499,,Pignite,チャオブー,Chaobū,Chaoboo
500,,Emboar,エンブオー,Enbuō,Enbuoh
501,,Oshawott,ミジュマル,Mijumaru,Mijumaru
502,,Dewott,フタチマル,Futachimaru,Futachimaru
503,,Samurott,ダイケンキ,Daikenki,Daikenki
504,,Patrat,ミネズミ,Minezumi,Minezumi
505,,Watchog,ミルホッグ,Miruhoggu,Miruhog
506,,Lillipup,ヨーテリー,Yōterī,Yorterrie
507,,Herdier,ハーデリア,Hāderia,Herderrie
508,,Stoutland,ムーランド,Mūrando,Mooland
509,,Purrloin,チョロネコ,Choroneko,Choroneko
510,,Liepard,レパルダス,Reparudasu,Lepardas
511,,Pansage,ヤナップ,Yanappu,Yanappu
512,,Simisage,ヤナッキー,Yanakkī,Yanakkie
513,,Pansear,バオップ,Baoppu,Baoppu
514,,Simisear,バオッキー,Baokkī,Baokkie
515,,Panpour,ヒヤップ,Hiyappu,Hiyappu
