Ndex,Menu Sprite,English,Hangul,Revised,McCune-Reischauer,Official
125,,Electabuzz,에레브,Erebeu,Erebŭ,Elev
126,,Magmar,마그마,Mageuma,Magŭma,Magmar
127,,Pinsir,쁘사이저,Ppeusaijeo,Ppŭsaijŏ,Ppeusaizeo
128,,Tauros,켄타로스,Kentaroseu,K'ent'arosŭ,Kentaros
129,,Magikarp,잉어킹,Ingeoking,Ingŏk'ing,Ingeoking
130,,Gyarados,갸라도스,Gyaradoseu,Kyaradosŭ,Gyarados
131,,Lapras,라프라스,Rapeuraseu,Rap'ŭrasŭ,Lapras
132,,Ditto,메타몽,Metamong,Met'among,Metamong
133,,Eevee,이브이,Ibeui,Ibŭ'i,Eevee
134,,Vaporeon,샤미드,Syamideu,Syamidŭ,Shamid
135,,Jolteon,쥬피썬더,Jyupisseondeo,Chyup'issŏndŏ,Jupithunder
136,,Flareon,부스터,Buseuteo,Busŭt'ŏ,Booster
137,,Porygon,폴리곤,Polligon,P'olligon,Porygon
138,,Omanyte,암나이트,Amnaiteu,Amnait'ŭ,Amnait
139,,Omastar,암스타,Amseuta,Amsŭt'a,Amsta
140,,Kabuto,투구,Tugu,T'ugu,Toogu
141,,Kabutops,투구푸스,Tugupuseu,T'ugup'usŭ,Tooguphus
142,,Aerodactyl,프테라,Peutera,Pŭt'era,Ptera
143,,Snorlax,잠만보,Jammanbo,Chammanbo,Jammanbo
144,,Articuno,프리져,Peurijyeo,Pŭrijyŏ,Freeser
145,,Zapdos,썬더,Sseondeo,Ssŏndŏ,Sunder
146,,Moltres,파이어,Paieo,P'aiŏ,Faier
147,,Dratini,미뇽,Minyong,Minyong,Minyong
148,,Dragonair,신뇽,Sinnyong,Sinnyong,Sinnyong
149,,Dragonite,망나뇽,Mangnanyong,Mangnanyong,Mangnanyong
150,,Mewtwo,뮤츠,Myucheu,Myuch'ŭ,Mewtwo
151,,Mew,뮤,Myu,Myu,Mew
152,,Chikorita,치코리타,Chikorita,Ch'ik'orit'a,Chikorita
153,,Bayleef,베이리프,Beiripeu,Peiripŭ,Bayleef
154,,Meganium,메가니움,Meganium,Meganium,Meganium
155,,Cyndaquil,브케인,Beukein,Pŭk'ein,Beukein
156,,Quilava,마그케인,Mageukein,Magŭk'ein,Mageukein
157,,Typhlosion,블레이범,Beulleibeom,Bŭlleibŏm,Bleibeom
158,,Totodile,리아코,Riako,Riak'o,Liako
159,,Croconaw,엘리게이,Elligei,Elligei,Elligei
160,,Feraligatr,장크로다일,Jangkeurodail,Changk'ŭrodail,Jangkrodail
161,,Sentret,꼬리선,Kkoriseon,Kkorisŏn,Kkoriseon
162,,Furret,다꼬리,Dakkori,Takkori,Dakkori
163,,Hoothoot,부우부,Buubu,Puubu,Buubu
164,,Noctowl,야부엉,Yabueong,Yabuŏng,Yabueong
165,,Ledyba,레디바,Rediba,Rediba,Ledyba
166,,Ledian,레디안,Redian,Redian,Ledian
167,,Spinarak,페이검,Peigeom,P'eigŏm,Peigeom
168,,Ariados,아리아도스,Ariadoseu,Ariadosŭ,Ariados
169,,Crobat,크로뱃,Keurobaet,K'ŭrobaet,Crobat
170,,Chinchou,초라기,Choragi,Ch'oragi,Choragi
171,,Lanturn,랜턴,Raenteon,Raent'ŏn,Lanturn
172,,Pichu,피츄,Pichyu,P'ich'yu,Pichu
173,,Cleffa,삐,Ppi,Ppi,Ppi
174,,Igglybuff,푸푸린,Pupurin,P'up'urin,Pupurin
175,,Togepi,토게피,Togepi,T'ogep'i,Togepi
176,,Togetic,토게틱,Togetik,T'oget'ik,Togetic
177,,Natu,네이티,Neiti,Neit'i,Neiti
178,,Xatu,네이티오,Neitio,Neit'io,Neitio
179,,Mareep,메리프,Meripeu,Merip'ŭ,Meleep
180,,Flaaffy,보송송,Bosongsong,Posongsong,Bosongsong
181,,Ampharos,전룡,Jeonnyong,Chŏnnyong,Jeonryong
182,,Bellossom,아르코,Areuko,Arŭk'o,Areuko
183,,Marill,마릴,Maril,Maril,Marill
184,,Azumarill,마릴리,Marilli,Marilli,Marilly
185,,Sudowoodo,꼬지모,Kkojimo,Kkojimo,Kkojimo
186,,Politoed,왕구리,Wangguri,Wangguri,Wangguri
187,,Hoppip,통통코,Tongtongko,T'ongt'ongk'o,Tongtongko
188,,Skiploom,두코,Duko,Tuk'o,Duko
189,,Jumpluff,솜솜코,Somsomko,Somsomk'o,Somsomko
190,,Aipom,에이팜,Eipam,Eip'am,Eipam
191,,Sunkern,해너츠,Haeneocheu,Haenŏch'ŭ,Haenuts
192,,Sunflora,해루미,Haerumi,Haerumi,Haerumi
193,,Yanma,왕자리,Wangjari,Wangjari,Wangjari
194,,Wooper,우파,Upa,Up'a,Woopa
195,,Quagsire,누오,Nuo,Nuo,Nuo
196,,Espeon,에브이,Ebeui,Ebŭi,Ebeui
197,,Umbreon,블래키,Beullaeki,Bŭllaek'i,Blacky
198,,Murkrow,니로우,Nirou,Nirou,Nirou
199,,Slowking,야도킹,Yadoking,Yadok'ing,Yadoking
200,,Misdreavus,무우마,Muuma,Muuma,Muuma
201,,Unown,안농,Annong,Annong,Annown
202,,Wobbuffet,마자용,Majayong,Majayong,Mazayong
203,,Girafarig,키링키,Kiringki,K'iringk'i,Kilingki
204,,Pineco,피콘,Pikon,P'ik'on,Pikon
205,,Forretress,쏘콘,Ssokon,Ssok'on,Ssokon
206,,Dunsparce,노고치,Nogochi,Nogoch'i,Nogochi
207,,Gligar,글라이거,Geullaigeo,Kŭllaigŏ,Glaiger
208,,Steelix,강철톤,Gangcheolton,Kangch'ŏlt'on,Gangcheolton
209,,Snubbull,블루,Beullu,Pŭllu,Bullu
210,,Granbull,그랑블루,Geurangbeullu,Kŭrangbŭllu,Granbullu
211,,Qwilfish,침바루,Chimbaru,Ch'imbaru,Chimbaru
212,,Scizor,핫삼,Hatsam,Hatsam,Hatsam
213,,Shuckle,단단지,Dandanji,Tandanji,Dandanji
214,,Heracross,헤라크로스,Herakeuroseu,Herak'ŭrosŭ,Heracross
215,,Sneasel,포푸니,Popuni,P'op'uni,Popuni
216,,Teddiursa,깜지곰,Kkamjigom,Kkamjigom,Kkamjigom
217,,Ursaring,링곰,Ringgom,Ringgom,Ringgom
218,,Slugma,마그마그,Mageumageu,Magŭmagŭ,Magmag
219,,Magcargo,마그카르고,Mageukareugo,Magŭk'arŭgo,Magcargo
220,,Swinub,꾸꾸리,Kkukkuri,Kkukkuri,Kkukkuri
221,,Piloswine,메꾸리,Mekkuri,Mekkuri,Mekkuri
222,,Corsola,코산호,Kosanho,K'osanho,Kosanho
223,,Remoraid,총어,Chongeo,Ch'ongŏ,Chongeo
224,,Octillery,대포무노,Daepomuno,Taep'omuno,Daepomuno
225,,Delibird,딜리버드,Dillibeodeu,Tillibŏdŭ,Delibird
226,,Mantine,만타인,Mantain,Mant'ain,Mantine
227,,Skarmory,무장조,Mujangjo,Mujangjo,Mujangjo
228,,Houndour,델빌,Delbil,Delbil,Delvil
229,,Houndoom,헬가,Helga,Helga,Helga
230,,Kingdra,킹드라,Kingdeura,K'ingdŭra,Kingdra
231,,Phanpy,코코리,Kokori,K'ok'ori,Kokori
232,,Donphan,코리갑,Korigap,K'origap,Korigap
233,,Porygon2,폴리곤2,Polligontu,P'olligont'u,Porygon2
234,,Stantler,노라키,Noraki,Norak'i,Noraki
235,,Smeargle,루브도,Rubeudo,Rubŭdo,Rubeudo
236,,Tyrogue,배루키,Baeruki,Paeruk'i,Baeruki
237,,Hitmontop,카포에라,Kapoera,K'ap'oëra,Kapoera
238,,Smoochum,뽀뽀라,Ppoppora,Ppoppora,Ppoppora
239,,Elekid,에레키드,Erekideu,Erek'idŭ,Elekid
240,,Magby,마그비,Mageubi,Magŭbi,Magby
241,,Miltank,밀탱크,Miltaengkeu,Milt'aengk'ŭ,Miltank
242,,Blissey,해피너스,Haepineoseu,Haep'inŏsŭ,Happynus
243,,Raikou,라이코,Raiko,Raik'o,Raikou
244,,Entei,앤테이,Aentei,Aent'ei,Entei
245,,Suicune,스이쿤,Seuikun,Sŭik'un,Suicune
246,,Larvitar,애버라스,Aebeoraseu,Aebŏrasŭ,Aebeoras
247,,Pupitar,데기라스,Degiraseu,Tegirasŭ,Degiras
248,,Tyranitar,마기라스,Magiraseu,Magirasŭ,Magiras
249,,Lugia,루기아,Rugia,Rugia,Rugia
250,,Ho-Oh,칠색조,Chilsaekjo,Ch'ilsaekcho,Chilsaeckjo
251,,Celebi,세레비,Serebi,Serebi,Celebi
252,,Treecko,나무지기,Namujigi,Namujigi,Namujigi
253,,Grovyle,나무돌이,Namudori,Namudori,Namudori
254,,Sceptile,나무킹,Namuking,Namuk'ing,Namuking
255,,Torchic,아차모,Achamo,Ach'amo,Achamo
256,,Combusken,영치코,Yeongchiko,Yŏngchi'ik'o,Youngchiko
257,,Blaziken,번치코,Beonchiko,Pŏnch'ik'o,Bunchiko
258,,Mudkip,물짱이,Muljjangi,Multchangi,Muljjangi
259,,Marshtomp,늪짱이,Neupjjangi,Nŭptchangi,Nupjjangi
260,,Swampert,대짱이,Daejjangi,Taetchangi,Daejjangi
261,,Poochyena,포챠나,Pochyana,P'och'yana,Pochana
262,,Mightyena,그라에나,Geuraena,Gŭraëna,Guraeana
263,,Zigzagoon,지그제구리,Jigeujeguri,Chigŭjeguri,Jigujaeguri
264,,Linoone,직구리,Jikguri,Chikkuri,Jikguli
265,,Wurmple,개무소,Gaemuso,Kaemuso,Gaemuso
266,,Silcoon,실쿤,Silkun,Silk'un,Silcoon
267,,Beautifly,뷰티플라이,Byutipeullai,Pyut'ip'ŭllai,Beautifly
268,,Cascoon,카스쿤,Kaseukun,K'asŭk'un,Cascoon
269,,Dustox,독케일,Dokkeil,Tokk'eil,Dokkeil
270,,Lotad,연꽃몬,Yeonkkonmon,Yŏnkkonmon,Yeonkkotmon
271,,Lombre,로토스,Rotoseu,Rot'osŭ,Rotosu
272,,Ludicolo,로파파,Ropapa,Rop'ap'a,Ropapa
273,,Seedot,도토링,Dotoring,Tot'oring,Dotoring
274,,Nuzleaf,잎새코,Ipsaeko,Ipsaek'o,Ipseko
275,,Shiftry,다탱구,Dataenggu,Tat'aenggu,Datenggu
276,,Taillow,테일로,Teillo,T'eillo,Tailow
277,,Swellow,스왈로,Seuwallo,Sŭwallo,Swalow
278,,Wingull,갈모매,Galmomae,Kalmomae,Galmomae
279,,Pelipper,패리퍼,Paeripeo,P'aerip'ŏ,Pelipper
280,,Ralts,랄토스,Raltoseu,Ralt'osŭ,Raltos
281,,Kirlia,킬리아,Killia,K'illia,Kirlia
282,,Gardevoir,가디안,Gadian,Kadian,Gadian
283,,Surskit,비구술,Bigusul,Pigusul,Bigusul
284,,Masquerain,비나방,Binabang,Pinabang,Binabang
285,,Shroomish,버섯꼬,Beoseotkko,Pŏsŏtkko,Bosotkko
286,,Breloom,버섯모,Beoseonmo,Pŏsŏnmo,Bosotmo
287,,Slakoth,게을로,Geeullo,Keŭllo,Geulro
288,,Vigoroth,발바로,Balbaro,Palbaro,Balbaro
289,,Slaking,게을킹,Geeulking,Geŭlk'ing,Geulking
290,,Nincada,토중몬,Tojungmon,T'ojungmon,Tojungmon
291,,Ninjask,아이스크,Aiseukeu,Aisŭk'ŭ,Aisukeu
292,,Shedinja,껍질몬,Kkeopjilmon,Kkŏpchilmon,Kkubjilmon
293,,Whismur,소곤룡,Sogonnyong,Sogonnyong,Sogonryong
294,,Loudred,노공룡,Nogongnyong,Nogongnyong,Nogonryong
295,,Exploud,폭음룡,Pogeumnyong,P'ogŭmnyong,Pokumryong
296,,Makuhita,마크탕,Makeutang,Mak'ŭt'ang,Makeutang
297,,Hariyama,하리뭉,Harimung,Harimung,Harimung
298,,Azurill,루리리,Ruriri,Ruriri,Ruriri
299,,Nosepass,코코파스,Kokopaseu,K'ok'op'asŭ,Kokopas
300,,Skitty,에나비,Enabi,Enabi,Enabi
301,,Delcatty,델케티,Delketi,Telk'et'i,Delcatty
302,,Sableye,깜까미,Kkamkkami,Kkamkkami,Kamkami
303,,Mawile,입치트,Ipchiteu,Ipch'it'ŭ,Ipchitt
304,,Aron,가보리,Gabori,Kabori,Gabori
305,,Lairon,갱도라,Gaengdora,Kaengdora,Gaengdora
306,,Aggron,보스로라,Boseurora,Posŭrora,Bosrora
307,,Meditite,요가랑,Yogarang,Yogarang,Yogarang
308,,Medicham,요가램,Yogaraem,Yogaraem,Yogaram
309,,Electrike,썬더라이,Sseondeorai,Ssŏndŏrai,Thunderai
310,,Manectric,썬더볼트,Sseondeobolteu,Ssŏndŏbolt'ŭ,Thundervolt
311,,Plusle,플러시,Peulleosi,P'ŭllŏsi,Plusy
312,,Minun,마이농,Mainong,Mainong,Mainong
313,,Volbeat,볼비트,Bolbiteu,Polbit'ŭ,Volbeat
314,,Illumise,네오비트,Neobiteu,Neobit'ŭ,Neobeat
315,,Roselia,로젤리아,Rojellia,Rojellia,Rozelia
316,,Gulpin,꼴깍몬,Kkolkkangmon,Kkolkkangmon,Kolkkakmon
317,,Swalot,꿀꺽몬,Kkulkkeongmon,Kkulkkŏngmon,Koolkkokmon
318,,Carvanha,샤프니아,Syapeunia,Syap'ŭnia,Sharpnia
319,,Sharpedo,샤크니아,Syakeunia,Syak'ŭnia,Sharknia
320,,Wailmer,고래왕자,Goraewangja,Koraewangja,Goraewangja
321,,Wailord,고래왕,Goraewang,Koraewang,Goraewang
322,,Numel,둔타,Dunta,Tunt'a,Doonta
323,,Camerupt,폭타,Pokta,P'okt'a,Pokta
324,,Torkoal,코터스,Koteoseu,K'otŏsŭ,Kotas
325,,Spoink,피그점프,Pigeujeompeu,P'igŭjŏmp'ŭ,Pigjump
326,,Grumpig,피그킹,Pigeuking,P'igŭk'ing,Pigking
327,,Spinda,얼루기,Eollugi,Ŏllugi,Ollugi
328,,Trapinch,톱치,Topchi,T'opch'i,Topchi
329,,Vibrava,비브라바,Bibeuraba,Bibŭraba,Vibrava
330,,Flygon,플라이곤,Peullaigon,P'ŭllaigon,Flygon
331,,Cacnea,선인왕,Seoninwang,Sŏninwang,Seoninwang
332,,Cacturne,밤선인,Bamseonin,Bamsŏnin,Bamseonin
333,,Swablu,파비코,Pabiko,P'abik'o,Pavico
334,,Altaria,파비코리,Pabikori,P'abik'ori,Pavicori
335,,Zangoose,쟝고,Jyanggo,Chyanggo,Zanggo
336,,Seviper,세비퍼,Sebipeo,Sebip'ŏ,Seviper
337,,Lunatone,루나톤,Runaton,Runat'on,Lunatone
338,,Solrock,솔록,Sollok,Sollok,Solrock
339,,Barboach,미꾸리,Mikkuri,Mikkuri,Mikuri
340,,Whiscash,메깅,Meging,Meging,Meging
341,,Corphish,가재군,Gajaegun,Kajaegun,Gazegun
342,,Crawdaunt,가재장군,Gajaejanggun,Kajaejanggun,Gazezanggun
343,,Baltoy,오뚝군,Ottukgun,Ottukkun,Ohttukgun
344,,Claydol,점토도리,Jeomtodori,Chŏmt'odori,Zeumtodori
345,,Lileep,릴링,Rilling,Rilling,Lilring
346,,Cradily,릴리요,Rilliyo,Rilliyo,Lilriyo
347,,Anorith,아노딥스,Anodipseu,Anodipsŭ,Anodeeps
348,,Armaldo,아말도,Amaldo,Amaldo,Amaldo
349,,Feebas,빈티나,Bintina,Pint'ina,Vintina
350,,Milotic,밀로틱,Millotik,Millot'ik,Milotic
351,,Castform,캐스퐁,Kaeseupong,K'aesŭp'ong,Castpong
352,,Kecleon,켈리몬,Kellimon,K'ellimon,Kelimon
353,,Shuppet,어둠대신,Eodumdaesin,Ŏdumdaesin,Udumdaesin
354,,Banette,다크펫,Dakeupet,Tak'ŭp'et,Darkpet
355,,Duskull,해골몽,Haegolmong,Haegolmong,Haegolmong
356,,Dusclops,미라몽,Miramong,Miramong,Miramong
357,,Tropius,트로피우스,Teuropiuseu,T'ŭrop'iusŭ,Tropius
358,,Chimecho,치렁,Chireong,Ch'irŏng,Chirung
359,,Absol,앱솔,Aepsol,Aepsol,Absol
360,,Wynaut,마자,Maja,Maja,Maza
361,,Snorunt,눈꼬마,Nunkkoma,Nunkkoma,Nunkoma
362,,Glalie,얼음귀신,Eoreumgwisin,Ŏrŭmgwisin,Urumkisin
363,,Spheal,대굴레오,Daegulleo,Taegulleo,Degulleo
364,,Sealeo,씨레오,Ssireo,Ssireo,Sealeo
365,,Walrein,씨카이저,Ssikaijeo,Ssik'aijŏ,Seakaiser
366,,Clamperl,진주몽,Jinjumong,Chinjumong,Zinzumong
367,,Huntail,헌테일,Heonteil,Hŏnt'eil,Huntail
368,,Gorebyss,분홍장이,Bunhongjangi,Punhongjangi,Bunhongzangi
369,,Relicanth,시라칸,Sirakan,Sirak'an,Searakan
370,,Luvdisc,사랑동이,Sarangdongi,Sarangdongi,Sarangdongi
371,,Bagon,아공이,Agongi,Agongi,Agongi
372,,Shelgon,쉘곤,Swelgon,Swelgon,Shelgon
373,,Salamence,보만다,Bomanda,Pomanda,Bomanda
374,,Beldum,메탕,Metang,Met'ang,Metan
375,,Metang,메탕구,Metanggu,Met'anggu,Metangoo
376,,Metagross,메타그로스,Metageuroseu,Metagŭrosŭ,Metagross
377,,Regirock,레지락,Rejirak,Rejirak,Regirock
378,,Regice,레지아이스,Rejiaiseu,Rejiaisŭ,Regice
379,,Registeel,레지스틸,Rejiseutil,Rejisŭt'il,Registeel
380,,Latias,라티아스,Ratiaseu,Ratiasŭ,Latias
381,,Latios,라티오스,Ratioseu,Ratiosŭ,Latios
382,,Kyogre,가이오가,Gaioga,Kaioga,Kyogre
383,,Groudon,그란돈,Geurandon,Kŭrandon,Groudon
384,,Rayquaza,레쿠쟈,Rekujya,Rek'ujya,Rayquaza
385,,Jirachi,지라치,Jirachi,Chirach'i,Jirachi
386,,Deoxys,테오키스,Teokiseu,T'eok'isŭ,Teoxys
387,,Turtwig,모부기,Mobugi,Mobugi,Mobugi
388,,Grotle,수풀부기,Supulbugi,Sup'ulbugi,Supulbugi
389,,Torterra,토대부기,Todaebugi,T'odaebugi,Todaibugi
390,,Chimchar,불꽃숭이,Bulkkotsungi,Pulkkotsungi,Bulkotsoongi
391,,Monferno,파이숭이,Paisungi,P'aisungi,Paisoongi
392,,Infernape,초염몽,Choyeommong,Ch'oyŏmmong,Choyeommong
393,,Piplup,팽도리,Paengdori,P'aengdori,Pengdori
394,,Prinplup,팽태자,Paengtaeja,P'aengt'aeja,Pengtaiza
395,,Empoleon,엠페르트,Empereuteu,Emp'erŭt'ŭ,Emperut
396,,Starly,찌르꼬,Jjireukko,Tchirŭkko,Jjiruko
397,,Staravia,찌르버드,Jjireubeodeu,Tchirŭbŏdŭ,Jjirubird
398,,Staraptor,찌르호크,Jjireuhokeu,Tchirŭhok'ŭ,Jjiruhawk
399,,Bidoof,비버니,Bibeoni,Pibŏni,Bibeoni
400,,Bibarel,비버통,Bibeotong,Pibŏtong,Bibeotong
401,,Kricketot,귀뚤뚜기,Gwittulttugi,Kwittulttugi,Gwittulttugi
402,,Kricketune,귀뚤톡크,Gwittultokkeu,Kwittult'okk'ŭ,Gwittultock
403,,Shinx,꼬링크,Kkoringkeu,Kkoringk'ŭ,Koringku
404,,Luxio,럭시오,Reoksio,Rŏksio,Leoksio
