Sdex,Ndex,Menu Sprite,Pokémon,Type 1,Type 2
#055,#417,,Pachirisu,Electric,
#056,#418,,Buizel,Water,
#057,#419,,Floatzel,Water,
#058,#420,,Cherubi,Grass,
#059,#421,,Cherrim,Grass,
#060,#422,,Shellos,Water,
#060,#422,,Shellos,Water,
#061,#423,,Gastrodon,Water,Ground
#061,#423,,Gastrodon,Water,Ground
#062,#214,,Heracross,Bug,Fighting
#063,#190,,Aipom,Normal,
#064,#424,,Ambipom,Normal,
#065,#425,,Drifloon,Ghost,Flying
#066,#426,,Drifblim,Ghost,Flying
#067,#427,,Buneary,Normal,
#068,#428,,Lopunny,Normal,
#069,#092,,Gastly,Ghost,Poison
#070,#093,,Haunter,Ghost,Poison
#071,#094,,Gengar,Ghost,Poison
#072,#200,,Misdreavus,Ghost,
#073,#429,,Mismagius,Ghost,
#074,#198,,Murkrow,Dark,Flying
#075,#430,,Honchkrow,Dark,Flying
#076,#431,,Glameow,Normal,
#077,#432,,Purugly,Normal,
#078,#118,,Goldeen,Water,
#079,#119,,Seaking,Water,
#080,#339,,Barboach,Water,Ground
#081,#340,,Whiscash,Water,Ground
#082,#433,,Chingling,Psychic,
#083,#358,,Chimecho,Psychic,
#084,#434,,Stunky,Poison,Dark
#085,#435,,Skuntank,Poison,Dark
#086,#307,,Meditite,Fighting,Psychic
#087,#308,,Medicham,Fighting,Psychic
#088,#436,,Bronzor,Steel,Psychic
#089,#437,,Bronzong,Steel,Psychic
#090,#077,,Ponyta,Fire,
#091,#078,,Rapidash,Fire,
#092,#438,,Bonsly,Rock,
#093,#185,,Sudowoodo,Rock,
#094,#439,,Mime Jr.,Psychic,Fairy
#095,#122,,Mr. Mime,Psychic,Fairy
#096,#440,,Happiny,Normal,
#097,#113,,Chansey,Normal,
#098,#242,,Blissey,Normal,
#099,#173,,Cleffa,Fairy,
#100,#035,,Clefairy,Fairy,
#101,#036,,Clefable,Fairy,
#102,#441,,Chatot,Normal,Flying
#103,#172,,Pichu,Electric,
#104,#025,,Pikachu,Electric,
#105,#026,,Raichu,Electric,
#106,#163,,Hoothoot,Normal,Flying
#107,#164,,Noctowl,Normal,Flying
#108,#442,,Spiritomb,Ghost,Dark
#109,#443,,Gible,Dragon,Ground
#110,#444,,Gabite,Dragon,Ground
#111,#445,,Garchomp,Dragon,Ground
#112,#446,,Munchlax,Normal,
#113,#143,,Snorlax,Normal,
#114,#201,,Unown,Psychic,
#115,#447,,Riolu,Fighting,
#116,#448,,Lucario,Fighting,Steel
#117,#194,,Wooper,Water,Ground
#118,#195,,Quagsire,Water,Ground
#119,#278,,Wingull,Water,Flying
#120,#279,,Pelipper,Water,Flying
#121,#203,,Girafarig,Normal,Psychic
#122,#449,,Hippopotas,Ground,
#123,#450,,Hippowdon,Ground,
#124,#298,,Azurill,Normal,Fairy
#125,#183,,Marill,Water,Fairy
#126,#184,,Azumarill,Water,Fairy
#127,#451,,Skorupi,Poison,Bug
#128,#452,,Drapion,Poison,Dark
#129,#453,,Croagunk,Poison,Fighting
#130,#454,,Toxicroak,Poison,Fighting
#131,#455,,Carnivine,Grass,
#132,#223,,Remoraid,Water,
#133,#224,,Octillery,Water,
#134,#456,,Finneon,Water,
#135,#457,,Lumineon,Water,
#136,#072,,Tentacool,Water,Poison
#137,#073,,Tentacruel,Water,Poison
#138,#349,,Feebas,Water,
#139,#350,,Milotic,Water,
#140,#458,,Mantyke,Water,Flying
#141,#226,,Mantine,Water,Flying
#142,#459,,Snover,Grass,Ice
#143,#460,,Abomasnow,Grass,Ice
#144,#215,,Sneasel,Dark,Ice
#145,#461,,Weavile,Dark,Ice
#146,#480,,Uxie,Psychic,
#147,#481,,Mesprit,Psychic,
#148,#482,,Azelf,Psychic,
#149,#483,,Dialga,Steel,Dragon
#150,#484,,Palkia,Water,Dragon
#151,#490,,Manaphy,Water,
#152,#479,,Rotom,Electric,Ghost
#152,#479,,Rotom,Electric,Ghost
#152,#479,,Rotom,Electric,Ghost
#152,#479,,Rotom,Electric,Ghost
#152,#479,,Rotom,Electric,Ghost
#152,#479,,Rotom,Electric,Ghost
#153,#207,,Gligar,Ground,Flying
#154,#472,,Gliscor,Ground,Flying
#155,#299,,Nosepass,Rock,
#156,#476,,Probopass,Rock,Steel
#157,#280,,Ralts,Psychic,
#158,#281,,Kirlia,Psychic,
#159,#282,,Gardevoir,Psychic,
#160,#475,,Gallade,Psychic,Fighting
#161,#108,,Lickitung,Normal,
#162,#463,,Lickilicky,Normal,
#163,#133,,Eevee,Normal,
#164,#134,,Vaporeon,Water,
#165,#135,,Jolteon,Electric,
#166,#136,,Flareon,Fire,
#167,#196,,Espeon,Psychic,
#168,#197,,Umbreon,Dark,
#169,#470,,Leafeon,Grass,
#170,#471,,Glaceon,Ice,
#171,#333,,Swablu,Normal,Flying
#172,#334,,Altaria,Dragon,Flying
#173,#175,,Togepi,Normal,
#174,#176,,Togetic,Normal,Flying
#175,#468,,Togekiss,Normal,Flying
#176,#228,,Houndour,Dark,Fire
#177,#229,,Houndoom,Dark,Fire
#178,#081,,Magnemite,Electric,Steel
#179,#082,,Magneton,Electric,Steel
#180,#462,,Magnezone,Electric,Steel
#181,#114,,Tangela,Grass,
#182,#465,,Tangrowth,Grass,
#183,#193,,Yanma,Bug,Flying
#184,#469,,Yanmega,Bug,Flying
#185,#357,,Tropius,Grass,Flying
#186,#111,,Rhyhorn,Ground,Rock
#187,#112,,Rhydon,Ground,Rock
#188,#464,,Rhyperior,Ground,Rock
#189,#355,,Duskull,Ghost,
#190,#356,,Dusclops,Ghost,
#191,#477,,Dusknoir,Ghost,
#192,#137,,Porygon,Normal,
#193,#233,,Porygon2,Normal,
#194,#474,,Porygon-Z,Normal,
#195,#123,,Scyther,Bug,Flying
#196,#212,,Scizor,Bug,Steel
#197,#239,,Elekid,Electric,
#198,#125,,Electabuzz,Electric,
#199,#466,,Electivire,Electric,
#200,#240,,Magby,Fire,
#201,#126,,Magmar,Fire,
#202,#467,,Magmortar,Fire,
#203,#220,,Swinub,Ice,Ground
#204,#221,,Piloswine,Ice,Ground
#205,#473,,Mamoswine,Ice,Ground
#206,#361,,Snorunt,Ice,
#207,#362,,Glalie,Ice,
#208,#478,,Froslass,Ice,Ghost
#209,#359,,Absol,Dark,
#210,#487,,Giratina,Ghost,Dragon
#210,#487,,Giratina,Ghost,Dragon
