Gdex,Ndex,Menu Sprite,Pokémon,Type 1,Type 2
#131,#435,,Skuntank,Poison,Dark
#132,#535,,Tympole,Water,
#133,#536,,Palpitoad,Water,Ground
#134,#537,,Seismitoad,Water,Ground
#135,#355,,Duskull,Ghost,
#136,#356,,Dusclops,Ghost,
#137,#477,,Dusknoir,Ghost,
#138,#066,,Machop,Fighting,
#139,#067,,Machoke,Fighting,
#140,#068,,Machamp,Fighting,
#141,#092,,Gastly,Ghost,Poison
#142,#093,,Haunter,Ghost,Poison
#143,#094,,Gengar,Ghost,Poison
#144,#129,,Magikarp,Water,
#145,#130,,Gyarados,Water,Flying
#146,#118,,Goldeen,Water,
#147,#119,,Seaking,Water,
#148,#223,,Remoraid,Water,
#149,#224,,Octillery,Water,
#150,#090,,Shellder,Water,
#151,#091,,Cloyster,Water,Ice
#152,#349,,Feebas,Water,
#153,#350,,Milotic,Water,
#154,#550,,Basculin,Water,
#154,#550,,Basculin,Water,
#155,#746,,Wishiwashi,Water,
#156,#771,,Pyukumuku,Water,
#157,#568,,Trubbish,Poison,
#158,#569,,Garbodor,Poison,
#159,#850,,Sizzlipede,Fire,Bug
#160,#851,,Centiskorch,Fire,Bug
#161,#837,,Rolycoly,Rock,
#162,#838,,Carkol,Rock,Fire
#163,#839,,Coalossal,Rock,Fire
#164,#050,,Diglett,Ground,
#164,#050,,Diglett,Ground,Steel
#165,#051,,Dugtrio,Ground,
#165,#051,,Dugtrio,Ground,Steel
#166,#529,,Drilbur,Ground,
#167,#530,,Excadrill,Ground,Steel
#168,#524,,Roggenrola,Rock,
#169,#525,,Boldore,Rock,
#170,#526,,Gigalith,Rock,
#171,#532,,Timburr,Fighting,
#172,#533,,Gurdurr,Fighting,
#173,#534,,Conkeldurr,Fighting,
#174,#527,,Woobat,Psychic,Flying
#175,#528,,Swoobat,Psychic,Flying
#176,#714,,Noibat,Flying,Dragon
#177,#715,,Noivern,Flying,Dragon
#178,#095,,Onix,Rock,Ground
#179,#208,,Steelix,Steel,Ground
#180,#846,,Arrokuda,Water,
#181,#847,,Barraskewda,Water,
#182,#052,,Meowth,Steel,
#182,#052,,Meowth,Normal,
#182,#052,,Meowth,Dark,
#183,#863,,Perrserker,Steel,
#184,#053,,Persian,Normal,
#184,#053,,Persian,Dark,
#185,#868,,Milcery,Fairy,
#186,#869,,Alcremie,Fairy,
#187,#742,,Cutiefly,Bug,Fairy
#188,#743,,Ribombee,Bug,Fairy
#189,#597,,Ferroseed,Grass,Steel
#190,#598,,Ferrothorn,Grass,Steel
#191,#710,,Pumpkaboo,Ghost,Grass
#192,#711,,Gourgeist,Ghost,Grass
#193,#172,,Pichu,Electric,
#194,#025,,Pikachu,Electric,
#195,#026,,Raichu,Electric,
#195,#026,,Raichu,Electric,Psychic
#196,#133,,Eevee,Normal,
#197,#134,,Vaporeon,Water,
#198,#135,,Jolteon,Electric,
#199,#136,,Flareon,Fire,
#200,#196,,Espeon,Psychic,
#201,#197,,Umbreon,Dark,
#202,#470,,Leafeon,Grass,
#203,#471,,Glaceon,Ice,
#204,#700,,Sylveon,Fairy,
#205,#840,,Applin,Grass,Dragon
#206,#841,,Flapple,Grass,Dragon
#207,#842,,Appletun,Grass,Dragon
#208,#677,,Espurr,Psychic,
#209,#678,,Meowstic,Psychic,
#209,#678,,Meowstic,Psychic,
#210,#684,,Swirlix,Fairy,
#211,#685,,Slurpuff,Fairy,
#212,#682,,Spritzee,Fairy,
#213,#683,,Aromatisse,Fairy,
#214,#751,,Dewpider,Water,Bug
#215,#752,,Araquanid,Water,Bug
#216,#360,,Wynaut,Psychic,
#217,#202,,Wobbuffet,Psychic,
#218,#083,,Farfetch'd,Fighting,
#218,#083,,Farfetch'd,Normal,Flying
#219,#865,,Sirfetch'd,Fighting,
#220,#170,,Chinchou,Water,Electric
#221,#171,,Lanturn,Water,Electric
#222,#453,,Croagunk,Poison,Fighting
#223,#454,,Toxicroak,Poison,Fighting
#224,#559,,Scraggy,Dark,Fighting
#225,#560,,Scrafty,Dark,Fighting
#226,#618,,Stunfisk,Ground,Steel
#226,#618,,Stunfisk,Ground,Electric
#227,#213,,Shuckle,Bug,Rock
#228,#339,,Barboach,Water,Ground
#229,#340,,Whiscash,Water,Ground
#230,#422,,Shellos,Water,
#230,#422,,Shellos,Water,
#231,#423,,Gastrodon,Water,Ground
#231,#423,,Gastrodon,Water,Ground
#232,#767,,Wimpod,Bug,Water
#233,#768,,Golisopod,Bug,Water
#234,#688,,Binacle,Rock,Water
#235,#689,,Barbaracle,Rock,Water
#236,#222,,Corsola,Ghost,
#236,#222,,Corsola,Water,Rock
#237,#864,,Cursola,Ghost,
#238,#859,,Impidimp,Dark,Fairy
#239,#860,,Morgrem,Dark,Fairy
#240,#861,,Grimmsnarl,Dark,Fairy
#241,#856,,Hatenna,Psychic,
#242,#857,,Hattrem,Psychic,
#243,#858,,Hatterene,Psychic,Fairy
#244,#757,,Salandit,Poison,Fire
#245,#758,,Salazzle,Poison,Fire
#246,#624,,Pawniard,Dark,Steel
#247,#625,,Bisharp,Dark,Steel
#248,#538,,Throh,Fighting,
#249,#539,,Sawk,Fighting,
#250,#109,,Koffing,Poison,
#251,#110,,Weezing,Poison,Fairy
#251,#110,,Weezing,Poison,
#252,#438,,Bonsly,Rock,
#253,#185,,Sudowoodo,Rock,
#254,#173,,Cleffa,Fairy,
#255,#035,,Clefairy,Fairy,
#256,#036,,Clefable,Fairy,
#257,#175,,Togepi,Fairy,
#258,#176,,Togetic,Fairy,Flying
#259,#468,,Togekiss,Fairy,Flying
#260,#446,,Munchlax,Normal,
#261,#143,,Snorlax,Normal,
#262,#546,,Cottonee,Grass,Fairy
#263,#547,,Whimsicott,Grass,Fairy
#264,#111,,Rhyhorn,Ground,Rock
#265,#112,,Rhydon,Ground,Rock
#266,#464,,Rhyperior,Ground,Rock
#267,#574,,Gothita,Psychic,
#268,#575,,Gothorita,Psychic,
#269,#576,,Gothitelle,Psychic,
#270,#577,,Solosis,Psychic,
#271,#578,,Duosion,Psychic,
#272,#579,,Reuniclus,Psychic,
#273,#588,,Karrablast,Bug,
#274,#589,,Escavalier,Bug,Steel
#275,#616,,Shelmet,Bug,
#276,#617,,Accelgor,Bug,
#277,#605,,Elgyem,Psychic,
#278,#606,,Beheeyem,Psychic,
#279,#613,,Cubchoo,Ice,
#280,#614,,Beartic,Ice,
#281,#627,,Rufflet,Normal,Flying
#282,#628,,Braviary,Normal,Flying
#283,#629,,Vullaby,Dark,Flying
#284,#630,,Mandibuzz,Dark,Flying
#285,#451,,Skorupi,Poison,Bug
#286,#452,,Drapion,Poison,Dark
#287,#607,,Litwick,Ghost,Fire
#288,#608,,Lampent,Ghost,Fire
#289,#609,,Chandelure,Ghost,Fire
#290,#686,,Inkay,Dark,Psychic
#291,#687,,Malamar,Dark,Psychic
#292,#215,,Sneasel,Dark,Ice
#293,#461,,Weavile,Dark,Ice
#294,#302,,Sableye,Dark,Ghost
#295,#303,,Mawile,Steel,Fairy
#296,#556,,Maractus,Grass,
#297,#561,,Sigilyph,Psychic,Flying
#298,#447,,Riolu,Fighting,
#299,#448,,Lucario,Fighting,Steel
#300,#324,,Torkoal,Fire,
#301,#778,,Mimikyu,Ghost,Fairy
#302,#878,,Cufant,Steel,
#303,#879,,Copperajah,Steel,
#304,#211,,Qwilfish,Water,Poison
#305,#592,,Frillish,Water,Ghost
#306,#593,,Jellicent,Water,Ghost
#307,#747,,Mareanie,Poison,Water
#308,#748,,Toxapex,Poison,Water
#309,#845,,Cramorant,Flying,Water
#310,#848,,Toxel,Electric,Poison
#311,#849,,Toxtricity,Electric,Poison
#311,#849,,Toxtricity,Electric,Poison
#312,#843,,Silicobra,Ground,
#313,#844,,Sandaconda,Ground,
#314,#449,,Hippopotas,Ground,
#315,#450,,Hippowdon,Ground,
#316,#632,,Durant,Bug,Steel
#317,#631,,Heatmor,Fire,
#318,#694,,Helioptile,Electric,Normal
#319,#695,,Heliolisk,Electric,Normal
#320,#701,,Hawlucha,Fighting,Flying
#321,#328,,Trapinch,Ground,
#322,#329,,Vibrava,Ground,Dragon
#323,#330,,Flygon,Ground,Dragon
#324,#610,,Axew,Dragon,
#325,#611,,Fraxure,Dragon,
#326,#612,,Haxorus,Dragon,
#327,#562,,Yamask,Ground,Ghost
#327,#562,,Yamask,Ghost,
#328,#867,,Runerigus,Ground,Ghost
#329,#563,,Cofagrigus,Ghost,
#330,#679,,Honedge,Steel,Ghost
#331,#680,,Doublade,Steel,Ghost
#332,#681,,Aegislash,Steel,Ghost
#333,#077,,Ponyta,Psychic,
#333,#077,,Ponyta,Fire,
#334,#078,,Rapidash,Psychic,Fairy
#334,#078,,Rapidash,Fire,
#335,#854,,Sinistea,Ghost,
#336,#855,,Polteageist,Ghost,
#337,#876,,Indeedee,Psychic,Normal
#337,#876,,Indeedee,Psychic,Normal
#338,#708,,Phantump,Ghost,Grass
#339,#709,,Trevenant,Ghost,Grass
#340,#755,,Morelull,Grass,Fairy
#341,#756,,Shiinotic,Grass,Fairy
#342,#765,,Oranguru,Normal,Psychic
#343,#766,,Passimian,Fighting,
#344,#877,,Morpeko,Electric,Dark
#345,#870,,Falinks,Fighting,
#346,#780,,Drampa,Normal,Dragon
#347,#776,,Turtonator,Fire,Dragon
#348,#777,,Togedemaru,Electric,Steel
#349,#872,,Snom,Ice,Bug
#350,#873,,Frosmoth,Ice,Bug
#351,#852,,Clobbopus,Fighting,
#352,#853,,Grapploct,Fighting,
#353,#871,,Pincurchin,Electric,
#354,#458,,Mantyke,Water,Flying
#355,#226,,Mantine,Water,Flying
#356,#320,,Wailmer,Water,
#357,#321,,Wailord,Water,
#358,#712,,Bergmite,Ice,
#359,#713,,Avalugg,Ice,
#360,#781,,Dhelmise,Ghost,Grass
#361,#131,,Lapras,Water,Ice
#362,#337,,Lunatone,Rock,Psychic
#363,#338,,Solrock,Rock,Psychic
#364,#439,,Mime Jr.,Psychic,Fairy
#365,#122,,Mr. Mime,Ice,Psychic
#365,#122,,Mr. Mime,Psychic,Fairy
#366,#866,,Mr. Rime,Ice,Psychic
#367,#554,,Darumaka,Ice,
#367,#554,,Darumaka,Fire,
#368,#555,,Darmanitan,Ice,
#368,#555,,Darmanitan,Ice,Fire
#368,#555,,Darmanitan,Fire,
#368,#555,,Darmanitan,Fire,Psychic
#369,#874,,Stonjourner,Rock,
#370,#875,,Eiscue,Ice,
#371,#884,,Duraludon,Steel,Dragon
#372,#479,,Rotom,Electric,Ghost
#372,#479,,Rotom,Electric,Fire
#372,#479,,Rotom,Electric,Water
#372,#479,,Rotom,Electric,Ice
#372,#479,,Rotom,Electric,Flying
#372,#479,,Rotom,Electric,Grass
#373,#132,,Ditto,Normal,
#374,#880,,Dracozolt,Electric,Dragon
#375,#881,,Arctozolt,Electric,Ice
#376,#882,,Dracovish,Water,Dragon
#377,#883,,Arctovish,Water,Ice
#378,#004,,Charmander,Fire,
#379,#005,,Charmeleon,Fire,
#380,#006,,Charizard,Fire,Flying
#381,#772,,Type: Null,Normal,
#382,#773,,Silvally,Normal,
#383,#246,,Larvitar,Rock,Ground
#384,#247,,Pupitar,Rock,Ground
#385,#248,,Tyranitar,Rock,Dark
#386,#633,,Deino,Dark,Dragon
#387,#634,,Zweilous,Dark,Dragon
#388,#635,,Hydreigon,Dark,Dragon
#389,#704,,Goomy,Dragon,
#390,#705,,Sliggoo,Dragon,
#391,#706,,Goodra,Dragon,
#392,#782,,Jangmo-o,Dragon,
#393,#783,,Hakamo-o,Dragon,Fighting
#394,#784,,Kommo-o,Dragon,Fighting
#395,#885,,Dreepy,Dragon,Ghost
#396,#886,,Drakloak,Dragon,Ghost
#397,#887,,Dragapult,Dragon,Ghost
#398,#888,,Zacian,Fairy,
#398,#888,,Zacian,Fairy,Steel
#399,#889,,Zamazenta,Fighting,
#399,#889,,Zamazenta,Fighting,Steel
#400,#890,,Eternatus,Poison,Dragon
