Adex,Melemele,Akala,Ula'ula,Poni,Ndex,Menu Sprite,Pokémon,Type 1,Type 2
#082,#082,#031,#042,#032,#741,,Oricorio,Fire,Flying
#083,#083,-,#043,#033,#742,,Cutiefly,Bug,Fairy
#084,#084,-,#044,#034,#743,,Ribombee,Bug,Fairy
#085,#085,-,#045,#035,#548,,Petilil,Grass,
#086,#086,-,#046,#036,#549,,Lilligant,Grass,
#087,#087,-,#047,#037,#546,,Cottonee,Grass,Fairy
#088,#088,-,#048,#038,#547,,Whimsicott,Grass,Fairy
#089,#089,#032,#049,#039,#054,,Psyduck,Water,
#090,#090,#033,#050,#040,#055,,Golduck,Water,
#091,#091,#034,#051,#041,#129,,Magikarp,Water,
#092,#092,#035,#052,#042,#130,,Gyarados,Water,Flying
#093,#093,#036,-,#043,#339,,Barboach,Water,Ground
#094,#094,#037,-,#044,#340,,Whiscash,Water,Ground
#095,#095,-,-,#045,#066,,Machop,Fighting,
#096,#096,-,-,#046,#067,,Machoke,Fighting,
#097,#097,-,-,#047,#068,,Machamp,Fighting,
#098,#098,-,-,#048,#524,,Roggenrola,Rock,
#099,#099,-,-,#049,#525,,Boldore,Rock,
#100,#100,-,-,#050,#526,,Gigalith,Rock,
#101,#101,-,-,#051,#703,,Carbink,Rock,Fairy
#102,#102,-,-,#052,#302,,Sableye,Dark,Ghost
#103,#103,-,-,#053,#744,,Rockruff,Rock,
#104,#104,-,-,#054,#745,,Lycanroc,Rock,
#105,#105,-,-,-,#327,,Spinda,Normal,
#106,#106,#038,#053,#055,#072,,Tentacool,Water,Poison
#107,#107,#039,#054,#056,#073,,Tentacruel,Water,Poison
#108,#108,#040,#055,#057,#456,,Finneon,Water,
#109,#109,#041,#056,#058,#457,,Lumineon,Water,
#110,#110,#042,#057,-,#746,,Wishiwashi,Water,
#111,#111,#043,-,-,#370,,Luvdisc,Water,
#112,#112,#044,-,-,#222,,Corsola,Water,Rock
#113,#113,#045,-,-,#747,,Mareanie,Poison,Water
#114,#114,#046,-,-,#748,,Toxapex,Poison,Water
#115,#115,-,-,-,#090,,Shellder,Water,
#116,#116,-,-,-,#091,,Cloyster,Water,Ice
#117,#117,-,-,-,#371,,Bagon,Dragon,
#118,#118,-,-,-,#372,,Shelgon,Dragon,
#119,#119,-,-,-,#373,,Salamence,Dragon,Flying
#120,-,#047,-,-,#506,,Lillipup,Normal,
#121,-,#048,-,-,#507,,Herdier,Normal,
#122,-,#049,-,-,#508,,Stoutland,Normal,
#123,-,#050,-,-,#133,,Eevee,Normal,
#124,-,#051,-,-,#134,,Vaporeon,Water,
#125,-,#052,-,-,#135,,Jolteon,Electric,
#126,-,#053,-,-,#136,,Flareon,Fire,
#127,-,#054,-,-,#196,,Espeon,Psychic,
#128,-,#055,-,-,#197,,Umbreon,Dark,
#129,-,#056,-,-,#470,,Leafeon,Grass,
#130,-,#057,-,-,#471,,Glaceon,Ice,
#131,-,#058,-,-,#700,,Sylveon,Fairy,
#132,-,#059,#058,#059,#749,,Mudbray,Ground,
#133,-,#060,#059,#060,#750,,Mudsdale,Ground,
#134,-,#061,-,-,#174,,Igglybuff,Normal,Fairy
#135,-,#062,-,-,#039,,Jigglypuff,Normal,Fairy
#136,-,#063,-,-,#040,,Wigglytuff,Normal,Fairy
#137,-,#064,-,#061,#128,,Tauros,Normal,
#138,-,#065,-,#062,#241,,Miltank,Normal,
#139,-,#066,#060,-,#283,,Surskit,Bug,Water
#140,-,#067,#061,-,#284,,Masquerain,Bug,Flying
#141,-,#068,#062,-,#751,,Dewpider,Water,Bug
#142,-,#069,#063,-,#752,,Araquanid,Water,Bug
#143,-,#070,-,-,#753,,Fomantis,Grass,
#144,-,#071,-,-,#754,,Lurantis,Grass,
#145,-,#072,#064,-,#755,,Morelull,Grass,Fairy
#146,-,#073,#065,-,#756,,Shiinotic,Grass,Fairy
#147,-,#074,#066,-,#046,,Paras,Bug,Grass
#148,-,#075,#067,-,#047,,Parasect,Bug,Grass
#149,-,#076,#068,-,#060,,Poliwag,Water,
#150,-,#077,#069,-,#061,,Poliwhirl,Water,
#151,-,#078,#070,-,#062,,Poliwrath,Water,Fighting
#152,-,#079,#071,-,#186,,Politoed,Water,
#153,-,#080,#072,-,#118,,Goldeen,Water,
#154,-,#081,#073,-,#119,,Seaking,Water,
#155,-,#082,-,-,#349,,Feebas,Water,
#156,-,#083,-,-,#350,,Milotic,Water,
#157,-,#084,-,-,#594,,Alomomola,Water,
#158,-,#085,-,-,#661,,Fletchling,Normal,Flying
#159,-,#086,-,-,#662,,Fletchinder,Fire,Flying
#160,-,#087,-,-,#663,,Talonflame,Fire,Flying
#161,-,#088,-,-,#757,,Salandit,Poison,Fire
#162,-,#089,-,-,#758,,Salazzle,Poison,Fire
#163,-,#090,-,-,#104,,Cubone,Ground,
#164,-,#091,-,-,#105,,Marowak,Fire,Ghost
#165,-,#092,-,-,#115,,Kangaskhan,Normal,
#166,-,#093,-,-,#240,,Magby,Fire,
#167,-,#094,-,-,#126,,Magmar,Fire,
#168,-,#095,-,-,#467,,Magmortar,Fire,
#169,-,#096,-,#063,#759,,Stufful,Normal,Fighting
#170,-,#097,-,#064,#760,,Bewear,Normal,Fighting
#171,-,#098,-,-,#761,,Bounsweet,Grass,
#172,-,#099,-,-,#762,,Steenee,Grass,
#173,-,#100,-,-,#763,,Tsareena,Grass,
#174,-,#101,-,-,#764,,Comfey,Fairy,
#175,-,#102,-,#065,#127,,Pinsir,Bug,
#176,-,#103,-,-,#765,,Oranguru,Normal,Psychic
#177,-,#104,-,-,#766,,Passimian,Fighting,
#178,-,#105,#074,#066,#704,,Goomy,Dragon,
#179,-,#106,#075,#067,#705,,Sliggoo,Dragon,
#180,-,#107,#076,#068,#706,,Goodra,Dragon,
#181,-,#108,#077,#069,#351,,Castform,Normal,
#182,-,#109,-,#070,#767,,Wimpod,Bug,Water
#183,-,#110,-,#071,#768,,Golisopod,Bug,Water
#184,-,#111,-,-,#120,,Staryu,Water,
#185,-,#112,-,-,#121,,Starmie,Water,Psychic
#186,-,#113,-,-,#769,,Sandygast,Ghost,Ground
#187,-,#114,-,-,#770,,Palossand,Ghost,Ground
#188,-,#115,-,-,#408,,Cranidos,Rock,
#189,-,#116,-,-,#409,,Rampardos,Rock,
#190,-,#117,-,-,#410,,Shieldon,Rock,Steel
#191,-,#118,-,-,#411,,Bastiodon,Rock,Steel
#192,-,#119,-,-,#566,,Archen,Rock,Flying
#193,-,#120,-,-,#567,,Archeops,Rock,Flying
#194,-,#121,-,-,#564,,Tirtouga,Water,Rock
#195,-,#122,-,-,#565,,Carracosta,Water,Rock
#196,-,#123,-,-,#708,,Phantump,Ghost,Grass
#197,-,#124,-,-,#709,,Trevenant,Ghost,Grass
#198,-,#125,-,-,#299,,Nosepass,Rock,
#199,-,#126,-,-,#476,,Probopass,Rock,Steel
#200,-,#127,-,-,#771,,Pyukumuku,Water,
#201,-,#128,-,-,#170,,Chinchou,Water,Electric
#202,-,#129,-,-,#171,,Lanturn,Water,Electric
#203,-,-,-,-,#772,,Type: Null,Normal,
#204,-,-,-,-,#773,,Silvally,Normal,
#205,-,-,-,-,#718,,Zygarde,Dragon,Ground
#206,-,-,#078,-,#568,,Trubbish,Poison,
#207,-,-,#079,-,#569,,Garbodor,Poison,
#208,-,-,#080,#072,#227,,Skarmory,Steel,Flying
#209,-,-,#081,-,#132,,Ditto,Normal,
#210,-,-,#082,-,#173,,Cleffa,Fairy,
#211,-,-,#083,-,#035,,Clefairy,Fairy,
#212,-,-,#084,-,#036,,Clefable,Fairy,
#213,-,-,#085,-,#774,,Minior,Rock,Flying
#214,-,-,#086,-,#374,,Beldum,Steel,Psychic
#215,-,-,#087,-,#375,,Metang,Steel,Psychic
#216,-,-,#088,-,#376,,Metagross,Steel,Psychic
#217,-,-,#089,-,#137,,Porygon,Normal,
#218,-,-,#090,-,#233,,Porygon2,Normal,
#219,-,-,#091,-,#474,,Porygon-Z,Normal,
#220,-,-,#092,-,#674,,Pancham,Fighting,
#221,-,-,#093,-,#675,,Pangoro,Fighting,Dark
#222,-,-,#094,-,#775,,Komala,Normal,
#223,-,-,#095,-,#324,,Torkoal,Fire,
#224,-,-,#096,-,#776,,Turtonator,Fire,Dragon
#225,-,-,#097,-,#777,,Togedemaru,Electric,Steel
#226,-,-,#098,-,#239,,Elekid,Electric,
#227,-,-,#099,-,#125,,Electabuzz,Electric,
#228,-,-,#100,-,#466,,Electivire,Electric,
#229,-,-,#101,-,#074,,Geodude,Rock,Electric
#230,-,-,#102,-,#075,,Graveler,Rock,Electric
#231,-,-,#103,-,#076,,Golem,Rock,Electric
#232,-,-,#104,-,#551,,Sandile,Ground,Dark
#233,-,-,#105,-,#552,,Krokorok,Ground,Dark
#234,-,-,#106,-,#553,,Krookodile,Ground,Dark
#235,-,-,#107,-,#328,,Trapinch,Ground,
#236,-,-,#108,-,#329,,Vibrava,Ground,Dragon
#237,-,-,#109,-,#330,,Flygon,Ground,Dragon
#238,-,-,#110,-,#443,,Gible,Dragon,Ground
#239,-,-,#111,-,#444,,Gabite,Dragon,Ground
#240,-,-,#112,-,#445,,Garchomp,Dragon,Ground
#241,-,-,#113,-,#707,,Klefki,Steel,Fairy
#242,-,-,#114,-,#778,,Mimikyu,Ghost,Fairy
#243,-,-,#115,-,#779,,Bruxish,Water,Psychic
#244,-,-,#116,-,#780,,Drampa,Normal,Dragon
#245,-,-,#117,-,#359,,Absol,Dark,
#246,-,-,#118,-,#361,,Snorunt,Ice,
#247,-,-,#119,-,#362,,Glalie,Ice,
#248,-,-,#120,-,#478,,Froslass,Ice,Ghost
#249,-,-,#121,-,#215,,Sneasel,Dark,Ice
#250,-,-,#122,-,#461,,Weavile,Dark,Ice
#251,-,-,#123,-,#027,,Sandshrew,Ice,Steel
#252,-,-,#124,-,#028,,Sandslash,Ice,Steel
#253,-,-,#125,-,#037,,Vulpix,Ice,
#254,-,-,#126,-,#038,,Ninetales,Ice,Fairy
#255,-,-,#127,-,#582,,Vanillite,Ice,
#256,-,-,#128,-,#583,,Vanillish,Ice,
#257,-,-,#129,-,#584,,Vanilluxe,Ice,
#258,-,-,-,#073,#209,,Snubbull,Fairy,
#259,-,-,-,#074,#210,,Granbull,Fairy,
#260,-,-,-,#075,#422,,Shellos,Water,
#261,-,-,-,#076,#423,,Gastrodon,Water,Ground
#262,-,-,-,#077,#369,,Relicanth,Water,Rock
#263,-,-,-,#078,#781,,Dhelmise,Ghost,Grass
#264,-,-,-,#079,#318,,Carvanha,Water,Dark
#265,-,-,-,#080,#319,,Sharpedo,Water,Dark
#266,-,-,-,#081,#320,,Wailmer,Water,
#267,-,-,-,#082,#321,,Wailord,Water,
#268,-,-,-,#083,#131,,Lapras,Water,Ice
#269,-,-,-,#084,#102,,Exeggcute,Grass,Psychic
#270,-,-,-,#085,#103,,Exeggutor,Grass,Dragon
#271,-,-,-,#086,#782,,Jangmo-o,Dragon,
#272,-,-,-,#087,#783,,Hakamo-o,Dragon,Fighting
#273,-,-,-,#088,#784,,Kommo-o,Dragon,Fighting
#274,-,-,-,#089,#587,,Emolga,Electric,Flying
#275,-,-,-,#090,#123,,Scyther,Bug,Flying
#276,-,-,-,#091,#212,,Scizor,Bug,Steel
#277,-,-,-,#092,#198,,Murkrow,Dark,Flying
#278,-,-,-,#093,#430,,Honchkrow,Dark,Flying
#279,-,-,-,#094,#447,,Riolu,Fighting,
#280,-,-,-,#095,#448,,Lucario,Fighting,Steel
#281,-,-,-,#096,#147,,Dratini,Dragon,
#282,-,-,-,#097,#148,,Dragonair,Dragon,
#283,-,-,-,#098,#149,,Dragonite,Dragon,Flying
#284,-,-,-,#099,#142,,Aerodactyl,Rock,Flying
#285,#120,-,-,-,#785,,Tapu Koko,Electric,Fairy
#286,-,#130,-,-,#786,,Tapu Lele,Psychic,Fairy
#287,-,-,#130,-,#787,,Tapu Bulu,Grass,Fairy
#288,-,-,-,#100,#788,,Tapu Fini,Water,Fairy
#289,-,-,-,-,#789,,Cosmog,Psychic,
#290,-,-,-,-,#790,,Cosmoem,Psychic,
#291,-,-,-,-,#791,,Solgaleo,Psychic,Steel
#292,-,-,-,-,#792,,Lunala,Psychic,Ghost
#293,-,-,-,-,#793,,Nihilego,Rock,Poison
#294,-,-,-,-,#794,,Buzzwole,Bug,Fighting
#295,-,-,-,-,#795,,Pheromosa,Bug,Fighting
#296,-,-,-,-,#796,,Xurkitree,Electric,
#297,-,-,-,-,#797,,Celesteela,Steel,Flying
#298,-,-,-,-,#798,,Kartana,Grass,Steel
#299,-,-,-,-,#799,,Guzzlord,Dark,Dragon
#300,-,-,-,-,#800,,Necrozma,Psychic,
#301,-,-,-,-,#801,,Magearna,Steel,Fairy
#302,-,-,-,-,#802,,Marshadow,Fighting,Ghost
