Hdex,Ndex,Menu Sprite,Pokémon,Type 1,Type 2
#057,#184,,Azumarill,Water,Fairy
#058,#074,,Geodude,Rock,Ground
#059,#075,,Graveler,Rock,Ground
#060,#076,,Golem,Rock,Ground
#061,#299,,Nosepass,Rock,
#062,#476,,Probopass,Rock,Steel
#063,#300,,Skitty,Normal,
#064,#301,,Delcatty,Normal,
#065,#041,,Zubat,Poison,Flying
#066,#042,,Golbat,Poison,Flying
#067,#169,,Crobat,Poison,Flying
#068,#072,,Tentacool,Water,Poison
#069,#073,,Tentacruel,Water,Poison
#070,#302,,Sableye,Dark,Ghost
#071,#303,,Mawile,Steel,Fairy
#072,#304,,Aron,Steel,Rock
#073,#305,,Lairon,Steel,Rock
#074,#306,,Aggron,Steel,Rock
#075,#066,,Machop,Fighting,
#076,#067,,Machoke,Fighting,
#077,#068,,Machamp,Fighting,
#078,#307,,Meditite,Fighting,Psychic
#079,#308,,Medicham,Fighting,Psychic
#080,#309,,Electrike,Electric,
#081,#310,,Manectric,Electric,
#082,#311,,Plusle,Electric,
#083,#312,,Minun,Electric,
#084,#081,,Magnemite,Electric,Steel
#085,#082,,Magneton,Electric,Steel
#086,#462,,Magnezone,Electric,Steel
#087,#100,,Voltorb,Electric,
#088,#101,,Electrode,Electric,
#089,#313,,Volbeat,Bug,
#090,#314,,Illumise,Bug,
#091,#043,,Oddish,Grass,Poison
#092,#044,,Gloom,Grass,Poison
#093,#045,,Vileplume,Grass,Poison
#094,#182,,Bellossom,Grass,
#095,#084,,Doduo,Normal,Flying
#096,#085,,Dodrio,Normal,Flying
#097,#406,,Budew,Grass,Poison
#098,#315,,Roselia,Grass,Poison
#099,#407,,Roserade,Grass,Poison
#100,#316,,Gulpin,Poison,
#101,#317,,Swalot,Poison,
#102,#318,,Carvanha,Water,Dark
#103,#319,,Sharpedo,Water,Dark
#104,#320,,Wailmer,Water,
#105,#321,,Wailord,Water,
#106,#322,,Numel,Fire,Ground
#107,#323,,Camerupt,Fire,Ground
#108,#218,,Slugma,Fire,
#109,#219,,Magcargo,Fire,Rock
#110,#324,,Torkoal,Fire,
#111,#088,,Grimer,Poison,
#112,#089,,Muk,Poison,
#113,#109,,Koffing,Poison,
#114,#110,,Weezing,Poison,
#115,#325,,Spoink,Psychic,
#116,#326,,Grumpig,Psychic,
#117,#027,,Sandshrew,Ground,
#118,#028,,Sandslash,Ground,
#119,#327,,Spinda,Normal,
#120,#227,,Skarmory,Steel,Flying
#121,#328,,Trapinch,Ground,
#122,#329,,Vibrava,Ground,Dragon
#123,#330,,Flygon,Ground,Dragon
#124,#331,,Cacnea,Grass,
#125,#332,,Cacturne,Grass,Dark
#126,#333,,Swablu,Normal,Flying
#127,#334,,Altaria,Dragon,Flying
#128,#335,,Zangoose,Normal,
#129,#336,,Seviper,Poison,
#130,#337,,Lunatone,Rock,Psychic
#131,#338,,Solrock,Rock,Psychic
#132,#339,,Barboach,Water,Ground
#133,#340,,Whiscash,Water,Ground
#134,#341,,Corphish,Water,
#135,#342,,Crawdaunt,Water,Dark
#136,#343,,Baltoy,Ground,Psychic
#137,#344,,Claydol,Ground,Psychic
#138,#345,,Lileep,Rock,Grass
#139,#346,,Cradily,Rock,Grass
#140,#347,,Anorith,Rock,Bug
#141,#348,,Armaldo,Rock,Bug
#142,#174,,Igglybuff,Normal,Fairy
#143,#039,,Jigglypuff,Normal,Fairy
#144,#040,,Wigglytuff,Normal,Fairy
#145,#349,,Feebas,Water,
#146,#350,,Milotic,Water,
#147,#351,,Castform,Normal,
#148,#120,,Staryu,Water,
#149,#121,,Starmie,Water,Psychic
#150,#352,,Kecleon,Normal,
#151,#353,,Shuppet,Ghost,
#152,#354,,Banette,Ghost,
#153,#355,,Duskull,Ghost,
#154,#356,,Dusclops,Ghost,
#155,#477,,Dusknoir,Ghost,
#156,#357,,Tropius,Grass,Flying
#157,#433,,Chingling,Psychic,
#158,#358,,Chimecho,Psychic,
#159,#359,,Absol,Dark,
#160,#037,,Vulpix,Fire,
#161,#038,,Ninetales,Fire,
#162,#172,,Pichu,Electric,
#163,#025,,Pikachu,Electric,
#164,#026,,Raichu,Electric,
#165,#054,,Psyduck,Water,
#166,#055,,Golduck,Water,
#167,#360,,Wynaut,Psychic,
#168,#202,,Wobbuffet,Psychic,
#169,#177,,Natu,Psychic,Flying
#170,#178,,Xatu,Psychic,Flying
#171,#203,,Girafarig,Normal,Psychic
#172,#231,,Phanpy,Ground,
#173,#232,,Donphan,Ground,
#174,#127,,Pinsir,Bug,
#175,#214,,Heracross,Bug,Fighting
#176,#111,,Rhyhorn,Ground,Rock
#177,#112,,Rhydon,Ground,Rock
#178,#464,,Rhyperior,Ground,Rock
#179,#361,,Snorunt,Ice,
#180,#362,,Glalie,Ice,
#181,#478,,Froslass,Ice,Ghost
#182,#363,,Spheal,Ice,Water
#183,#364,,Sealeo,Ice,Water
#184,#365,,Walrein,Ice,Water
#185,#366,,Clamperl,Water,
#186,#367,,Huntail,Water,
#187,#368,,Gorebyss,Water,
#188,#369,,Relicanth,Water,Rock
#189,#222,,Corsola,Water,Rock
#190,#170,,Chinchou,Water,Electric
#191,#171,,Lanturn,Water,Electric
#192,#370,,Luvdisc,Water,
#193,#116,,Horsea,Water,
#194,#117,,Seadra,Water,
#195,#230,,Kingdra,Water,Dragon
#196,#371,,Bagon,Dragon,
#197,#372,,Shelgon,Dragon,
#198,#373,,Salamence,Dragon,Flying
#199,#374,,Beldum,Steel,Psychic
#200,#375,,Metang,Steel,Psychic
#201,#376,,Metagross,Steel,Psychic
#202,#377,,Regirock,Rock,
#203,#378,,Regice,Ice,
#204,#379,,Registeel,Steel,
#205,#380,,Latias,Dragon,Psychic
#206,#381,,Latios,Dragon,Psychic
#207,#382,,Kyogre,Water,
#208,#383,,Groudon,Ground,
#209,#384,,Rayquaza,Dragon,Flying
#210,#385,,Jirachi,Steel,Psychic
#211,#386,,Deoxys,Psychic,
#211,#386,,Deoxys,Psychic,
#211,#386,,Deoxys,Psychic,
#211,#386,,Deoxys,Psychic,
