Ndex,Menu Sprite,Pokémon,Type 1,Type 2,Habitat
#318,318,Carvanha,Water,Dark,Sea
#319,319,Sharpedo,Water,Dark,Sea
#320,320,Wailmer,Water,,Sea
#321,321,Wailord,Water,,Sea
#116,116,Horsea,Water,,Sea
#117,117,Seadra,Water,,Sea
#230,230,Kingdra,Water,Dragon,Sea
#369,369,Relicanth,Water,Rock,Sea
#131,131,Lapras,Water,Ice,Sea
#138,138,Omanyte,Rock,Water,Sea
#139,139,Omastar,Rock,Water,Sea
#140,140,Kabuto,Rock,Water,Sea
#141,141,Kabutops,Rock,Water,Sea
#345,345,Lileep,Rock,Grass,Sea
#346,346,Cradily,Rock,Grass,Sea
#382,382,Kyogre,Water,,Sea
#041,41,Zubat,Poison,Flying,Cave
#042,42,Golbat,Poison,Flying,Cave
#169,169,Crobat,Poison,Flying,Cave
#050,50,Diglett,Ground,,Cave
#051,51,Dugtrio,Ground,,Cave
#095,95,Onix,Rock,Ground,Cave
#208,208,Steelix,Steel,Ground,Cave
#220,220,Swinub,Ice,Ground,Cave
#221,221,Piloswine,Ice,Ground,Cave
#361,361,Snorunt,Ice,,Cave
#362,362,Glalie,Ice,,Cave
#293,293,Whismur,Normal,,Cave
#294,294,Loudred,Normal,,Cave
#295,295,Exploud,Normal,,Cave
#200,200,Misdreavus,Ghost,,Cave
#206,206,Dunsparce,Normal,,Cave
#299,299,Nosepass,Rock,,Cave
#302,302,Sableye,Dark,Ghost,Cave
#303,303,Mawile,Steel,,Cave
#092,92,Gastly,Ghost,Poison,Cave
#093,93,Haunter,Ghost,Poison,Cave
#094,94,Gengar,Ghost,Poison,Cave
#360,360,Wynaut,Psychic,,Cave
#202,202,Wobbuffet,Psychic,,Cave
#337,337,Lunatone,Rock,Psychic,Cave
#338,338,Solrock,Rock,Psychic,Cave
#377,377,Regirock,Rock,,Cave
#378,378,Regice,Ice,,Cave
#379,379,Registeel,Steel,,Cave
#074,74,Geodude,Rock,Ground,Mountain
#075,75,Graveler,Rock,Ground,Mountain
#076,76,Golem,Rock,Ground,Mountain
#056,56,Mankey,Fighting,,Mountain
#057,57,Primeape,Fighting,,Mountain
#325,325,Spoink,Psychic,,Mountain
#326,326,Grumpig,Psychic,,Mountain
#066,66,Machop,Fighting,,Mountain
#067,67,Machoke,Fighting,,Mountain
#068,68,Machamp,Fighting,,Mountain
#173,173,Cleffa,Normal,,Mountain
#035,35,Clefairy,Normal,,Mountain
#036,36,Clefable,Normal,,Mountain
#104,104,Cubone,Ground,,Mountain
#105,105,Marowak,Ground,,Mountain
#218,218,Slugma,Fire,,Mountain
#219,219,Magcargo,Fire,Rock,Mountain
#322,322,Numel,Fire,Ground,Mountain
#323,323,Camerupt,Fire,Ground,Mountain
#296,296,Makuhita,Fighting,,Mountain
#297,297,Hariyama,Fighting,,Mountain
#307,307,Meditite,Fighting,Psychic,Mountain
#308,308,Medicham,Fighting,Psychic,Mountain
#213,213,Shuckle,Bug,Rock,Mountain
#216,216,Teddiursa,Normal,,Mountain
#217,217,Ursaring,Normal,,Mountain
#225,225,Delibird,Ice,Flying,Mountain
#207,207,Gligar,Ground,Flying,Mountain
#327,327,Spinda,Normal,,Mountain
#240,240,Magby,Fire,,Mountain
#126,126,Magmar,Fire,,Mountain
#324,324,Torkoal,Fire,,Mountain
#304,304,Aron,Steel,Rock,Mountain
#305,305,Lairon,Steel,Rock,Mountain
#306,306,Aggron,Steel,Rock,Mountain
#246,246,Larvitar,Rock,Ground,Mountain
#247,247,Pupitar,Rock,Ground,Mountain
#248,248,Tyranitar,Rock,Dark,Mountain
#143,143,Snorlax,Normal,,Mountain
#359,359,Absol,Dark,,Mountain
#142,142,Aerodactyl,Rock,Flying,Mountain
#004,4,Charmander,Fire,,Mountain
#005,5,Charmeleon,Fire,,Mountain
#006,6,Charizard,Fire,Flying,Mountain
#385,385,Jirachi,Steel,Psychic,Mountain
#021,21,Spearow,Normal,Flying,Rough Terrain
#022,22,Fearow,Normal,Flying,Rough Terrain
#027,27,Sandshrew,Ground,,Rough Terrain
#028,28,Sandslash,Ground,,Rough Terrain
#111,111,Rhyhorn,Ground,Rock,Rough Terrain
#112,112,Rhydon,Ground,Rock,Rough Terrain
#081,81,Magnemite,Electric,Steel,Rough Terrain
#082,82,Magneton,Electric,Steel,Rough Terrain
#228,228,Houndour,Dark,Fire,Rough Terrain
#229,229,Houndoom,Dark,Fire,Rough Terrain
#231,231,Phanpy,Ground,,Rough Terrain
#232,232,Donphan,Ground,,Rough Terrain
#331,331,Cacnea,Grass,,Rough Terrain
#332,332,Cacturne,Grass,Dark,Rough Terrain
#328,328,Trapinch,Ground,,Rough Terrain
#329,329,Vibrava,Ground,Dragon,Rough Terrain
#330,330,Flygon,Ground,Dragon,Rough Terrain
#227,227,Skarmory,Steel,Flying,Rough Terrain
#343,343,Baltoy,Ground,Psychic,Rough Terrain
#344,344,Claydol,Ground,Psychic,Rough Terrain
#371,371,Bagon,Dragon,,Rough Terrain
#372,372,Shelgon,Dragon,,Rough Terrain
#373,373,Salamence,Dragon,Flying,Rough Terrain
#374,374,Beldum,Steel,Psychic,Rough Terrain
#375,375,Metang,Steel,Psychic,Rough Terrain
#376,376,Metagross,Steel,Psychic,Rough Terrain
#383,383,Groudon,Ground,,Rough Terrain
#052,52,Meowth,Normal,,Urban Area
#053,53,Persian,Normal,,Urban Area
#209,209,Snubbull,Normal,,Urban Area
#210,210,Granbull,Normal,,Urban Area
#088,88,Grimer,Poison,,Urban Area
#089,89,Muk,Poison,,Urban Area
#109,109,Koffing,Poison,,Urban Area
#110,110,Weezing,Poison,,Urban Area
#353,353,Shuppet,Ghost,,Urban Area
#354,354,Banette,Ghost,,Urban Area
#063,63,Abra,Psychic,,Urban Area
#064,64,Kadabra,Psychic,,Urban Area
#065,65,Alakazam,Psychic,,Urban Area
#280,280,Ralts,Psychic,,Urban Area
#281,281,Kirlia,Psychic,,Urban Area
#282,282,Gardevoir,Psychic,,Urban Area
#238,238,Smoochum,Ice,Psychic,Urban Area
#124,124,Jynx,Ice,Psychic,Urban Area
#122,122,Mr. Mime,Psychic,,Urban Area
#235,235,Smeargle,Normal,,Urban Area
#236,236,Tyrogue,Fighting,,Urban Area
#106,106,Hitmonlee,Fighting,,Urban Area
#107,107,Hitmonchan,Fighting,,Urban Area
#237,237,Hitmontop,Fighting,,Urban Area
#113,113,Chansey,Normal,,Urban Area
#242,242,Blissey,Normal,,Urban Area
#100,100,Voltorb,Electric,,Urban Area
#101,101,Electrode,Electric,,Urban Area
#137,137,Porygon,Normal,,Urban Area
#233,233,Porygon2,Normal,,Urban Area
#132,132,Ditto,Normal,,Urban Area
#133,133,Eevee,Normal,,Urban Area
#134,134,Vaporeon,Water,,Urban Area
#135,135,Jolteon,Electric,,Urban Area
#136,136,Flareon,Fire,,Urban Area
#196,196,Espeon,Psychic,,Urban Area
#197,197,Umbreon,Dark,,Urban Area
#201,201,Unown,Psychic,,Rare Location
#144,144,Articuno,Ice,Flying,Rare Location
#145,145,Zapdos,Electric,Flying,Rare Location
#146,146,Moltres,Fire,Flying,Rare Location
#249,249,Lugia,Psychic,Flying,Rare Location
#250,250,Ho-Oh,Fire,Flying,Rare Location
#384,384,Rayquaza,Dragon,Flying,Rare Location
#386,386,Deoxys,Psychic,,Rare Location
#150,150,Mewtwo,Psychic,,Rare Location
#151,151,Mew,Psychic,,Rare Location
