Menu Sprite,Pokémon,Color
,Pyukumuku,Black
,Xurkitree,Black
,Guzzlord,Black
,Necrozma,Black
,Rolycoly,Black
,Carkol,Black
,Coalossal,Black
,Zarude,Black
,Spectrier,Black
,Calyrex,Black
,Overqwil,Black
,Weedle,Brown
,Pidgey,Brown
,Pidgeotto,Brown
,Pidgeot,Brown
,Raticate,Brown
,Spearow,Brown
,Fearow,Brown
,Raichu,Brown
,Vulpix,Brown
,Diglett,Brown
,Dugtrio,Brown
,Meowth,Brown
,Mankey,Brown
,Primeape,Brown
,Growlithe,Brown
,Arcanine,Brown
,Abra,Brown
,Kadabra,Brown
,Alakazam,Brown
,Geodude,Brown
,Graveler,Brown
,Golem,Brown
,Farfetch'd,Brown
,Doduo,Brown
,Dodrio,Brown
,Cubone,Brown
,Marowak,Brown
,Hitmonlee,Brown
,Hitmonchan,Brown
,Kangaskhan,Brown
,Staryu,Brown
,Pinsir,Brown
,Tauros,Brown
,Eevee,Brown
,Kabuto,Brown
,Kabutops,Brown
,Dragonite,Brown
,Sentret,Brown
,Furret,Brown
,Hoothoot,Brown
,Noctowl,Brown
,Sudowoodo,Brown
,Teddiursa,Brown
,Ursaring,Brown
,Swinub,Brown
,Piloswine,Brown
,Stantler,Brown
,Hitmontop,Brown
,Entei,Brown
,Zigzagoon,Brown
,Seedot,Brown
,Nuzleaf,Brown
,Shiftry,Brown
,Shroomish,Brown
,Slakoth,Brown
,Slaking,Brown
,Shedinja,Brown
,Hariyama,Brown
,Torkoal,Brown
,Spinda,Brown
,Trapinch,Brown
,Baltoy,Brown
,Feebas,Brown
,Regirock,Brown
,Chimchar,Brown
,Monferno,Brown
,Infernape,Brown
,Starly,Brown
,Staravia,Brown
,Staraptor,Brown
,Bidoof,Brown
,Bibarel,Brown
,Burmy,Brown
,Wormadam,Brown
,Buizel,Brown
,Floatzel,Brown
,Buneary,Brown
,Lopunny,Brown
,Bonsly,Brown
,Hippopotas,Brown
,Hippowdon,Brown
,Mamoswine,Brown
,Heatran,Brown
,Patrat,Brown
,Watchog,Brown
,Lillipup,Brown
,Conkeldurr,Brown
,Sandile,Brown
,Krokorok,Brown
,Deerling,Brown
,Sawsbuck,Brown
,Beheeyem,Brown
,Stunfisk,Brown
,Bouffalant,Brown
,Vullaby,Brown
,Mandibuzz,Brown
,Landorus,Brown
,Bunnelby,Brown
,Diggersby,Brown
,Vivillon,Brown
,Vivillon,Brown
,Vivillon,Brown
,Vivillon,Brown
,Litleo,Brown
,Pyroar,Brown
,Skiddo,Brown
,Gogoat,Brown
,Honedge,Brown
,Doublade,Brown
,Aegislash,Brown
,Binacle,Brown
,Barbaracle,Brown
,Skrelp,Brown
,Dragalge,Brown
,Tyrunt,Brown
,Phantump,Brown
,Trevenant,Brown
,Pumpkaboo,Brown
,Gourgeist,Brown
,Volcanion,Brown
,Rowlet,Brown
,Dartrix,Brown
,Decidueye,Brown
,Yungoos,Brown
,Gumshoos,Brown
,Rockruff,Brown
,Lycanroc,Brown
,Lycanroc,Brown
,Mudbray,Brown
,Mudsdale,Brown
,Sandygast,Brown
,Palossand,Brown
,Minior,Brown
,Skwovet,Brown
,Greedent,Brown
,Nickit,Brown
,Thievul,Brown
,Arrokuda,Brown
,Barraskewda,Brown
,Clobbopus,Brown
,Perrserker,Brown
,Alcremie,Brown
,Kleavor,Brown
,Ursaluna,Brown
,Rattata,Purple
,Ekans,Purple
,Arbok,Purple
,Nidoran♂,Purple
,Nidorino,Purple
,Nidoking,Purple
,Zubat,Purple
,Golbat,Purple
,Venonat,Purple
,Venomoth,Purple
,Grimer,Purple
,Muk,Purple
,Shellder,Purple
,Cloyster,Purple
,Gastly,Purple
,Haunter,Purple
,Gengar,Purple
,Marowak,Purple
,Koffing,Purple
,Weezing,Purple
,Starmie,Purple
,Ditto,Purple
,Aerodactyl,Purple
,Articuno,Purple
,Mewtwo,Purple
,Crobat,Purple
,Aipom,Purple
,Espeon,Purple
,Forretress,Purple
,Gligar,Purple
,Granbull,Purple
,Mantine,Purple
,Tyrogue,Purple
,Cascoon,Purple
,Delcatty,Purple
,Sableye,Purple
,Illumise,Purple
,Swalot,Purple
,Grumpig,Purple
,Lileep,Purple
,Latias,Purple
,Latios,Purple
,Cherrim,Purple
,Shellos,Purple
,Gastrodon,Purple
,Ambipom,Purple
,Drifloon,Purple
,Drifblim,Purple
,Mismagius,Purple
,Stunky,Purple
,Skuntank,Purple
,Spiritomb,Purple
,Skorupi,Purple
,Drapion,Purple
,Gliscor,Purple
,Palkia,Purple
,Purrloin,Purple
,Liepard,Purple
,Gothita,Purple
,Gothorita,Purple
,Gothitelle,Purple
,Mienshao,Purple
,Genesect,Purple
,Vivillon,Purple
,Goomy,Purple
,Sliggoo,Purple
,Goodra,Purple
,Noibat,Purple
,Noivern,Purple
,Hoopa,Purple
,Crabrawler,Purple
,Oricorio,Purple
,Morelull,Purple
,Shiinotic,Purple
,Bounsweet,Purple
,Steenee,Purple
,Tsareena,Purple
,Minior,Purple
,Tapu Fini,Purple
,Lunala,Purple
,Poipole,Purple
,Naganadel,Purple
,Corviknight,Purple
,Toxel,Purple
,Toxtricity,Purple
,Sinistea,Purple
,Polteageist,Purple
,Grimmsnarl,Purple
,Mr. Rime,Purple
,Pincurchin,Purple
,Indeedee,Purple
,Morpeko,Purple
,Eternatus,Purple
,Machop,Gray
,Machoke,Gray
,Machamp,Gray
,Geodude,Gray
,Graveler,Gray
,Golem,Gray
,Magnemite,Gray
,Magneton,Gray
,Onix,Gray
,Weezing,Gray
,Rhyhorn,Gray
,Rhydon,Gray
,Misdreavus,Gray
,Pineco,Gray
,Steelix,Gray
,Qwilfish,Gray
,Sneasel,Gray
,Remoraid,Gray
,Skarmory,Gray
,Donphan,Gray
,Pupitar,Gray
,Poochyena,Gray
,Mightyena,Gray
,Nincada,Gray
,Nosepass,Gray
,Aron,Gray
,Lairon,Gray
,Aggron,Gray
,Volbeat,Gray
,Barboach,Gray
,Anorith,Gray
,Armaldo,Gray
,Castform,Gray
,Snorunt,Gray
,Glalie,Gray
,Relicanth,Gray
,Registeel,Gray
,Shieldon,Gray
,Bastiodon,Gray
,Glameow,Gray
,Purugly,Gray
,Magnezone,Gray
,Rhyperior,Gray
,Probopass,Gray
,Herdier,Gray
,Stoutland,Gray
,Pidove,Gray
,Tranquill,Gray
,Unfezant,Gray
,Drilbur,Gray
,Excadrill,Gray
,Timburr,Gray
,Gurdurr,Gray
,Whirlipede,Gray
,Zorua,Gray
,Zoroark,Gray
,Minccino,Gray
,Cinccino,Gray
,Escavalier,Gray
,Ferroseed,Gray
,Ferrothorn,Gray
,Klink,Gray
,Klang,Gray
,Klinklang,Gray
,Durant,Gray
,Terrakion,Gray
,Kyurem,Gray
,Vivillon,Gray
,Espurr,Gray
,Carbink,Gray
,Klefki,Gray
,Grubbin,Gray
,Wimpod,Gray
,Golisopod,Gray
,Type: Null,Gray
,Silvally,Gray
,Togedemaru,Gray
,Jangmo-o,Gray
,Hakamo-o,Gray
,Kommo-o,Gray
,Magearna,Gray
,Marshadow,Gray
,Stakataka,Gray
,Meltan,Gray
,Melmetal,Gray
,Raboot,Gray
,Obstagoon,Gray
,Runerigus,Gray
,Stonjourner,Gray
,Kubfu,Gray
,Urshifu,Gray
,Wyrdeer,Gray
,Butterfree,White
,Sandshrew,White
,Vulpix,White
,Ponyta,White
,Rapidash,White
,Seel,White
,Dewgong,White
,Mr. Mime,White
,Togepi,White
,Togetic,White
,Mareep,White
,Corsola,White
,Smeargle,White
,Lugia,White
,Zigzagoon,White
,Linoone,White
,Silcoon,White
,Wingull,White
,Ralts,White
,Kirlia,White
,Gardevoir,White
,Vigoroth,White
,Zangoose,White
,Castform,White
,Absol,White
,Shelgon,White
,Pachirisu,White
,Snover,White
,Abomasnow,White
,Togekiss,White
,Gallade,White
,Froslass,White
,Dialga,White
,Regigigas,White
,Arceus,White
,Audino,White
,Darumaka,White
,Darmanitan,White
,Darmanitan,White
,Swanna,White
,Vanillite,White
,Vanillish,White
,Vanilluxe,White
,Emolga,White
,Foongus,White
,Amoonguss,White
,Frillish,White
,Jellicent,White
,Tynamo,White
,Litwick,White
,Cubchoo,White
,Beartic,White
,Rufflet,White
,Braviary,White
,Larvesta,White
,Volcarona,White
,Reshiram,White
,Meloetta,White
,Vivillon,White
,Flabébé,White
,Floette,White
,Florges,White
,Pancham,White
,Pangoro,White
,Furfrou,White
,Meowstic,White
,Swirlix,White
,Slurpuff,White
,Crabominable,White
,Oranguru,White
,Passimian,White
,Drampa,White
,Solgaleo,White
,Nihilego,White
,Pheromosa,White
,Kartana,White
,Blacephalon,White
,Scorbunny,White
,Cinderace,White
,Wooloo,White
,Dubwool,White
,Cursola,White
,Sirfetch'd,White
,Milcery,White
,Alcremie,White
,Alcremie,White
,Snom,White
,Frosmoth,White
,Duraludon,White
,Glastrier,White
,Calyrex,White
,Clefairy,Pink
,Clefable,Pink
,Jigglypuff,Pink
,Wigglytuff,Pink
,Slowpoke,Pink
,Slowbro,Pink
,Exeggcute,Pink
,Lickitung,Pink
,Chansey,Pink
,Mr. Mime,Pink
,Porygon,Pink
,Mew,Pink
,Cleffa,Pink
,Igglybuff,Pink
,Flaaffy,Pink
,Hoppip,Pink
,Slowking,Pink
,Snubbull,Pink
,Corsola,Pink
,Smoochum,Pink
,Miltank,Pink
,Blissey,Pink
,Whismur,Pink
,Skitty,Pink
,Milotic,Pink
,Gorebyss,Pink
,Luvdisc,Pink
,Cherubi,Pink
,Cherrim,Pink
,Mime Jr.,Pink
,Happiny,Pink
,Lickilicky,Pink
,Mesprit,Pink
,Munna,Pink
,Musharna,Pink
,Audino,Pink
,Deerling,Pink
,Alomomola,Pink
,Vivillon,Pink
,Vivillon,Pink
,Spritzee,Pink
,Aromatisse,Pink
,Sylveon,Pink
,Diancie,Pink
,Oricorio,Pink
,Fomantis,Pink
,Lurantis,Pink
,Stufful,Pink
,Bewear,Pink
,Bruxish,Pink
,Tapu Lele,Pink
,Hatenna,Pink
,Hattrem,Pink
,Hatterene,Pink
,Impidimp,Pink
,Morgrem,Pink
,Alcremie,Pink
,Enamorus,Pink
